case,date,station,displacement,dt_days,displacement_valid,time_status,velocity,velocity_status,delta_v,delta_v_status,acceleration,acceleration_status
ootang,2016-07-01,MJ9,262.42367,,True,warmup,,warmup,,warmup,,warmup
ootang,2016-07-02,MJ9,262.42711,1.0,True,valid,0.003440000000011878,valid,,warmup,,warmup
ootang,2016-07-03,MJ9,262.43055,1.0,True,valid,0.0034399999999550346,valid,-5.684341886080802e-14,valid,-5.684341886080802e-14,valid
ootang,2016-07-04,MJ9,262.43399,1.0,True,valid,0.003440000000011878,valid,5.684341886080802e-14,valid,5.684341886080802e-14,valid
ootang,2016-07-05,MJ9,262.43743,1.0,True,valid,0.003440000000011878,valid,0.0,valid,0.0,valid
ootang,2016-07-06,MJ9,262.44087,1.0,True,valid,0.003440000000011878,valid,0.0,valid,0.0,valid
ootang,2016-07-07,MJ9,262.44431,1.0,True,valid,0.0034399999999550346,valid,-5.684341886080802e-14,valid,-5.684341886080802e-14,valid
ootang,2016-07-08,MJ9,262.44775,1.0,True,valid,0.003440000000011878,valid,5.684341886080802e-14,valid,5.684341886080802e-14,valid
ootang,2016-07-09,MJ9,262.45119,1.0,True,valid,0.003440000000011878,valid,0.0,valid,0.0,valid
ootang,2016-07-10,MJ9,262.45463,1.0,True,valid,0.003440000000011878,valid,0.0,valid,0.0,valid
ootang,2016-07-11,MJ9,262.45808,1.0,True,valid,0.0034499999999866304,valid,9.999999974752427e-06,valid,9.999999974752427e-06,valid
ootang,2016-07-12,MJ9,262.46152,1.0,True,valid,0.003440000000011878,valid,-9.999999974752427e-06,valid,-9.999999974752427e-06,valid
ootang,2016-07-13,MJ9,262.46496,1.0,True,valid,0.003440000000011878,valid,0.0,valid,0.0,valid
ootang,2016-07-14,MJ9,262.4684,1.0,True,valid,0.0034399999999550346,valid,-5.684341886080802e-14,valid,-5.684341886080802e-14,valid
ootang,2016-07-15,MJ9,262.47184,1.0,True,valid,0.003440000000011878,valid,5.684341886080802e-14,valid,5.684341886080802e-14,valid
ootang,2016-07-16,MJ9,262.47528,1.0,True,valid,0.003440000000011878,valid,0.0,valid,0.0,valid
ootang,2016-07-17,MJ9,262.47872,1.0,True,valid,0.003440000000011878,valid,0.0,valid,0.0,valid
ootang,2016-07-18,MJ9,262.48216,1.0,True,valid,0.003440000000011878,valid,0.0,valid,0.0,valid
ootang,2016-07-19,MJ9,262.4856,1.0,True,valid,0.0034399999999550346,valid,-5.684341886080802e-14,valid,-5.684341886080802e-14,valid
ootang,2016-07-20,MJ9,262.48904,1.0,True,valid,0.003440000000011878,valid,5.684341886080802e-14,valid,5.684341886080802e-14,valid
ootang,2016-07-21,MJ9,262.49248,1.0,True,valid,0.003440000000011878,valid,0.0,valid,0.0,valid
ootang,2016-07-22,MJ9,262.49592,1.0,True,valid,0.003440000000011878,valid,0.0,valid,0.0,valid
ootang,2016-07-23,MJ9,262.49937,1.0,True,valid,0.0034499999999866304,valid,9.999999974752427e-06,valid,9.999999974752427e-06,valid
ootang,2016-07-24,MJ9,262.50281,1.0,True,valid,0.003440000000011878,valid,-9.999999974752427e-06,valid,-9.999999974752427e-06,valid
ootang,2016-07-25,MJ9,262.50625,1.0,True,valid,0.003440000000011878,valid,0.0,valid,0.0,valid
ootang,2016-07-26,MJ9,262.50969,1.0,True,valid,0.0034399999999550346,valid,-5.684341886080802e-14,valid,-5.684341886080802e-14,valid
ootang,2016-07-27,MJ9,262.51313,1.0,True,valid,0.003440000000011878,valid,5.684341886080802e-14,valid,5.684341886080802e-14,valid
ootang,2016-07-28,MJ9,262.51657,1.0,True,valid,0.003440000000011878,valid,0.0,valid,0.0,valid
