version,strategy,role,outer_days,prediction_days,train_rmse_mm,train_mae_mm,train_crps_mm,train_coverage_90,train_width_90_mm,train_interval_score_90_mm,prediction_rmse_mm,prediction_mae_mm,prediction_crps_mm,prediction_coverage_90,prediction_width_90_mm,prediction_interval_score_90_mm,strict_mean_count,source_metrics
v1.5,IN,learned_method,432,180,11.00993173846232,9.063457998320175,9.106548721641575,0.9129353233830846,101.02813631281782,106.16229539573368,62.62325224199825,59.42136466955187,46.55369690625885,0.4666666666666667,101.32810046474174,491.8383607356414,2,results/ootang_bplus_v1_5/20260911_sample_learning/metrics.csv
v1.5,IN,learned_method,612,180,8.814303050837326,7.24487590142951,15.083569267552182,1.0,201.26752972056818,201.26752972056818,22.947254347156147,18.883677288426117,24.878349368057663,0.8458333333333333,200.88104547595307,338.40210416468244,0,results/ootang_bplus_v1_5/20260911_sample_learning/metrics.csv
v1.5,OOF,learned_method,432,180,17.467137777917376,13.008611144558714,10.0327055266746,0.9135572139303483,68.77512454765093,81.00939898417164,58.11605143888461,55.16515740989406,45.097691714217085,0.4736111111111111,68.4346833334717,601.1852345383086,0,results/ootang_bplus_v1_5/20260911_sample_learning/metrics.csv
v1.5,OOF,learned_method,612,180,14.875364606133097,11.057398811347287,14.937955070559568,0.9995704467353952,181.58890240193162,181.59478790101696,42.1026490070853,36.29793258409128,31.78515379370576,0.7930555555555556,183.18625060638593,379.4320175952578,0,results/ootang_bplus_v1_5/20260911_sample_learning/metrics.csv
v1.7,U,learned_method,432,180,1.0073904900232522,0.7115125234109805,6.932819586172721,1.0,97.69212344489742,97.69212344489742,60.590176314097604,57.8598118568701,44.61920884683965,0.45000000000000007,100.03536647255204,449.76251044175376,2,results/ootang_bplus_v1_7/20260911_synchronized_correction/metrics.csv
v1.7,U,learned_method,612,180,1.1600757253730207,0.8386808336808125,14.229999204134314,1.0,200.83960813943042,200.83960813943042,23.216102680503713,19.20951031589137,26.51200734552034,0.7527777777777778,201.6896149379652,364.219214708481,1,results/ootang_bplus_v1_7/20260911_synchronized_correction/metrics.csv
v1.7,L,learned_method,432,180,1.837996271489598,1.094331807634599,6.868919893750942,1.0,96.07113716936307,96.07113716936307,59.51264486359,56.80238491102894,43.71893164322059,0.4513888888888889,97.1680174260395,437.9302548406695,2,results/ootang_bplus_v1_7/20260911_synchronized_correction/metrics.csv
v1.7,L,learned_method,612,180,1.6810381159212249,1.1463090174197226,13.964801584737097,1.0,196.4444809298798,196.4444809298798,23.60795681967684,19.474113353304972,26.76847058520488,0.7402777777777777,197.27018790095457,372.9646813728892,1,results/ootang_bplus_v1_7/20260911_synchronized_correction/metrics.csv
v1.9,R,learned_method,432,180,4.9480378815298875,3.484798282795194,7.9473127116148214,1.0,109.24189180936953,109.24189180936953,57.79849611481467,55.2430209809472,41.625291015078076,0.6652777777777777,109.26359320871512,378.3257690202361,2,results/ootang_bplus_v1_9/20260911_state_pinn/metrics.csv
v1.9,R,learned_method,612,180,13.64431916417282,10.181016599680435,14.959342132740504,1.0,190.22079624629,190.22079624629,45.864555426118635,41.837652305638414,33.03843743031943,0.6638888888888889,190.37089525349253,433.2928782683402,0,results/ootang_bplus_v1_9/20260911_state_pinn/metrics.csv
v1.12,S,learned_method,432,180,4.42546076126234,3.112592642437619,7.969338750149123,0.9713930348258706,105.78814449451973,106.29927247392035,58.84305620024841,56.34698496203437,41.924893016494984,0.6791666666666667,105.78486406031209,379.8396647880164,2,results/ootang_bplus_v1_12/20260911_rate_learning/metrics.csv
v1.12,S,learned_method,612,180,6.724298529008581,5.307876261119409,14.352635759427487,0.9965635738831615,193.58236619792638,193.6635419010738,24.71921914783169,20.83019521931641,28.25675959574412,0.6805555555555556,193.62391673216572,414.3419146960691,0,results/ootang_bplus_v1_12/20260911_rate_learning/metrics.csv
v1.17,C,learned_method,432,180,0.9625502292612654,0.7134592170163826,7.240954263888045,1.0,101.83326617745332,101.83326617745332,60.07900717217256,57.2918401882196,44.00373074321463,0.4916666666666667,102.57238178710544,430.3968360064924,2,results/ootang_bplus_v1_17/20260911_history_learning/metrics.csv
v1.17,C,learned_method,612,180,1.267054916991118,0.8978759556841892,14.100712798075811,1.0,198.3813971704079,198.3813971704079,25.338513858465504,20.996739306080634,27.542523192633528,0.7111111111111111,199.19048084303301,390.0164257504487,0,results/ootang_bplus_v1_17/20260911_history_learning/metrics.csv
v1.17,H,learned_method,432,180,1.168957232240168,0.9034410182485975,7.354808876114771,1.0,103.28243216687461,103.28243216687461,58.912733309418044,56.147726526728846,42.95494268147144,0.5694444444444444,104.31780209287619,409.12780429346907,2,results/ootang_bplus_v1_17/20260911_history_learning/metrics.csv
v1.17,H,learned_method,612,180,1.6132088758433651,1.2085902140521325,13.878867078756675,1.0,195.13153452871703,195.13153452871703,24.82982703832655,20.64461298355006,27.37109046897884,0.7152777777777778,195.37493503878952,393.0614401345151,1,results/ootang_bplus_v1_17/20260911_history_learning/metrics.csv
v1.19,IN,learned_method,432,180,1.4239889626892306,1.11867676526914,7.259590917790592,1.0,101.67223527003465,101.67223527003465,58.96121153662458,56.11481186739494,43.04463140532181,0.5277777777777778,102.34917747223257,415.08926491153346,2,results/ootang_bplus_v1_19/20260911_origin_learning/metrics.csv
v1.19,IN,learned_method,612,180,1.9407884930124515,1.481860334063497,13.884944369141728,1.0,194.89802506062097,194.89802506062097,25.11380145449497,20.936529408861418,27.20769493899852,0.7222222222222223,195.27642552446497,385.60937830875866,0,results/ootang_bplus_v1_19/20260911_origin_learning/metrics.csv
v1.19,OOF,learned_method,432,180,4.865199202690938,3.901992846729545,7.116041905876436,0.9950248756218906,92.66927295784659,92.698234937458,59.65285793254228,56.816988023924665,43.55967975577635,0.5402777777777779,92.83509381555882,443.00906692433307,1,results/ootang_bplus_v1_19/20260911_origin_learning/metrics.csv
v1.19,OOF,learned_method,612,180,7.442992396889101,5.7766700767098556,14.67535092828347,1.0,197.0665135427586,197.0665135427586,33.612433721523765,25.88724542409014,27.16662980201852,0.8527777777777777,200.6145831222031,340.64600403619727,0,results/ootang_bplus_v1_19/20260911_origin_learning/metrics.csv
v1.21,IN,learned_method,432,180,1.3637044849581537,1.081196680563401,7.261571006773725,1.0,101.74941515037463,101.74941515037463,59.031139797304014,56.20995335950268,43.05130177168324,0.5180555555555556,102.53987193398552,413.75039017930635,2,results/ootang_bplus_v1_21/20260911_balanced_origin/metrics.csv
v1.21,IN,learned_method,612,180,1.9599786671184585,1.4961980949178302,13.900236682643278,1.0,195.16060694702566,195.16060694702566,24.917579270435226,20.799755953658778,27.14513441271166,0.7222222222222223,195.50565355936862,384.0917192086534,1,results/ootang_bplus_v1_21/20260911_balanced_origin/metrics.csv
v1.21,OOF,learned_method,432,180,1.415030478022249,1.1081353723767922,6.827844757908381,1.0,95.72002208928772,95.72002208928772,59.11062261018756,56.41826570206155,43.473848424319335,0.4916666666666667,96.36837631915688,435.00495475061956,2,results/ootang_bplus_v1_21/20260911_balanced_origin/metrics.csv
v1.21,OOF,learned_method,612,180,1.6352850930035976,1.2857550417961334,13.867333603291826,1.0,195.04824495378222,195.04824495378222,26.902734782610693,22.268406571686928,27.37795425027684,0.7375,196.01982147761717,376.1962843405385,1,results/ootang_bplus_v1_21/20260911_balanced_origin/metrics.csv
v1.25,IN_CARRY,learned_method,432,180,1.185216899776743,0.9020859042704288,7.079455022193952,1.0,99.26705289938256,99.26705289938256,59.29668956644941,56.52863264375057,43.32310937209568,0.4847222222222222,100.39340231561359,422.1320979081158,2,results/ootang_bplus_v1_25/20260911_sequence_learning/metrics.csv
v1.25,IN_CARRY,learned_method,612,180,1.4949490981752256,1.0129160337062677,13.922124742889313,1.0,195.83997627315716,195.83997627315716,25.407113084533957,21.012607223094054,27.139415198963,0.7569444444444444,196.4667103323558,377.8021628120871,0,results/ootang_bplus_v1_25/20260911_sequence_learning/metrics.csv
v1.25,IN_RESET,learned_method,432,180,1.7872391652514554,1.2870464242597475,7.155486695209535,0.9993781094527363,99.43013862247241,99.45477063724908,59.548544917935686,56.774637569703096,43.56779699629568,0.4833333333333333,101.09993596690873,426.6141475554979,2,results/ootang_bplus_v1_25/20260911_sequence_learning/metrics.csv
v1.25,IN_RESET,learned_method,612,180,2.1145945569569884,1.4034666172712866,14.029672159558702,1.0,197.09444063158475,197.09444063158475,25.875717586273424,21.297493984527165,27.56226850501489,0.7180555555555556,197.89023523753926,387.7380867902755,0,results/ootang_bplus_v1_25/20260911_sequence_learning/metrics.csv
v1.25,OOF_CARRY,learned_method,432,180,1.1779987288594038,0.8969945952945955,6.747998087587389,1.0,95.39765552774726,95.39765552774726,59.45461127877285,56.81284326195744,43.94764984841683,0.48888888888888893,96.12122041588876,447.7326380060976,2,results/ootang_bplus_v1_25/20260911_sequence_learning/metrics.csv
v1.25,OOF_CARRY,learned_method,612,180,1.480926335506071,1.0696302879080517,13.944868751975733,1.0,196.33467885716635,196.33467885716635,28.894718386246986,23.628731615998195,28.303249674295166,0.7,197.9214753699864,394.4218702617277,0,results/ootang_bplus_v1_25/20260911_sequence_learning/metrics.csv
v1.25,OOF_RESET,learned_method,432,180,1.7216261511385431,1.2648142933899604,7.019980951259672,1.0,98.50716802504594,98.50716802504594,60.29344865632756,57.481244915665364,44.48512286159514,0.49583333333333335,98.83578113875876,450.35626202726814,2,results/ootang_bplus_v1_25/20260911_sequence_learning/metrics.csv
v1.25,OOF_RESET,learned_method,612,180,2.0170327288215733,1.4333392407443388,14.170469150665035,1.0,198.73505923137512,198.73505923137512,29.34236908191178,24.290189961848277,28.860346436035,0.6902777777777778,201.55222130571778,404.37979831244905,0,results/ootang_bplus_v1_25/20260911_sequence_learning/metrics.csv
v1.25,P0,baseline,432,180,7.123039387176306,5.722069264949527,8.43379475889341,0.871268656716418,97.07595173388478,106.84583452463103,58.01217449884722,54.95261030157084,42.011323088700955,0.5833333333333333,97.07595173388461,427.0917939550213,,results/ootang_bplus_v1_25/20260911_sequence_learning/metrics.csv
v1.25,P0,baseline,612,180,7.1929512450532975,5.722293636742206,14.085054872169797,1.0,190.84307130504664,190.84307130504664,22.244794833549626,18.30212570672975,25.114045869601284,0.8333333333333334,190.84307130504672,343.4771053942398,,results/ootang_bplus_v1_25/20260911_sequence_learning/metrics.csv
