outer_prefix,training_origin,cached_teacher,refresh_teacher,maximum_mature_horizon,complete_293,new_teacher
612,432,432,432,180,False,False
612,492,432,492,120,False,True
612,552,432,552,60,False,True
792,432,432,432,293,True,False
792,492,432,492,293,True,True
792,552,432,552,240,False,True
792,612,612,612,180,False,False
792,672,612,672,120,False,True
792,732,612,732,60,False,True
972,432,432,432,293,True,False
972,492,432,492,293,True,True
972,552,432,552,293,True,True
972,612,612,612,293,True,False
972,672,612,672,293,True,True
972,732,612,732,240,False,True
972,792,792,792,180,False,False
972,852,792,852,120,False,True
972,912,792,912,60,False,True
1168,432,432,432,293,True,False
1168,492,432,492,293,True,True
1168,552,432,552,293,True,True
1168,612,612,612,293,True,False
1168,672,612,672,293,True,True
1168,732,612,732,293,True,True
1168,792,792,792,293,True,False
1168,852,792,852,293,True,True
1168,912,792,912,256,False,True
1168,972,792,972,196,False,True
1168,1032,792,1032,136,False,True
1168,1092,792,1092,76,False,True
1168,1152,792,1152,16,False,True
