fold,validation_method,fit_start_date,fit_end_date,fit_windows,calibration_start_date,calibration_end_date,calibration_windows,train_windows,test_start_date,test_end_date,test_windows,lookback_days,horizon_days,calibration_fraction_within_train,target_coverage,seed,model,hidden_channels,kernel_size,epochs,learning_rate,test_length_basis,test_length_selected_from_results,confirmatory_external_validation,model_input_schema,model_input_channels,station_geometry_sha256,analysis_method,hyperparameter_tuning,best_seed_selected,seed_set_predeclared,qhat_MJ9_mm,qhat_MJ1_mm,qhat_MJ3_mm,qhat_ATU1_mm,qhat_ATU2_mm,qhat_ATU3_mm,qhat_ATU4_mm,qhat_ATU5_mm,delta_scale_MJ9_mm,delta_scale_MJ1_mm,delta_scale_MJ3_mm,delta_scale_ATU1_mm,delta_scale_ATU2_mm,delta_scale_ATU3_mm,delta_scale_ATU4_mm,delta_scale_ATU5_mm
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,0,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.09040096544407561,0.0,0.0,0.0,0.0,0.0,0.04276534414753996,0.0,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,0,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.09810131630985097,0.2698342583929616,0.15236235015231614,0.3013031036088023,0.24859905052159093,0.20692768931905903,0.09836844734383021,0.564921562338327,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,0,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.03217206303935427,0.06099344833990017,0.0030984934478510695,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,1,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.2503983604966038,0.5181594822221314,0.706741374744297,0.08921945264233955,1.2139352423378114,2.205019172879986,1.4369324167263642,1.8158502538316839,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,1,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.08205739257266487,0.19264683467486066,0.08958403033670947,0.24816841030491332,0.3528024158369476,0.49103611503699085,0.28122928021957705,0.4874498761917039,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,1,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.006836698074380365,0.019873016520818965,0.019239672064031765,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,2,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.06698372270699338,0.20500653280305414,0.10697745169522932,0.0,0.0,0.41572959638631346,0.4316385435831478,0.0540712482041954,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,2,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.12842801991706665,0.33205606640444785,0.2657313099462044,0.6328976152426549,0.5470895893915326,0.6172062215379128,0.3397981228141589,0.6126537090871125,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,2,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.03602349726668308,0.06321169296688822,0.012791002391622897,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,3,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,displacement_elevation_exog_v1,7,17dac7c5985891f27905e7056b45626a0d6f4dbf34f336534c17bb76ecd32f09,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.14709747479275848,0.34860613801845375,0.30231299542492707,0.0,0.0,0.6131989148514663,0.5342562605791557,0.4132021104472301,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
