column,role,precision_group,months_total,months_passing_cubic_fingerprint,all_months_pass_cubic_fingerprint,monthly_cubic_rmse_median,monthly_cubic_max_residual_global,monthly_quadratic_rmse_median,within_month_d4_windows,cross_month_d4_windows,within_month_d4_exceedances,cross_month_d4_exceedances,all_d4_exceedances_cross_month,cross_month_exceedance_endpoint_days
MJ9/mm,fingerprint_target,five_decimal_rounded,48,48,True,2.5799239824324883e-06,6.182039896884817e-06,0.010021844522032426,1269,188,0,111,True,"2,3,4"
MJ1/mm,fingerprint_target,high_precision,48,48,True,3.2024422969779414e-13,1.3642420526593924e-12,0.02760275531199876,1269,188,0,141,True,"2,3,4"
MJ3/mm,fingerprint_target,high_precision,48,48,True,5.189138348780286e-13,2.2737367544323206e-12,0.01635616387632721,1269,188,0,141,True,"2,3,4"
ATU4/mm,fingerprint_target,five_decimal_rounded,48,48,True,2.6527266454552417e-06,6.0465484352789645e-06,0.006975614555640687,1269,188,0,120,True,"2,3,4"
ATU5/mm,fingerprint_target,high_precision,48,48,True,1.5077671020588218e-13,9.094947017729282e-13,0.024963419691862773,1269,188,0,141,True,"2,3,4"
ATU3/mm,fingerprint_target,five_decimal_rounded,48,48,True,2.6548719643483797e-06,6.316372719084029e-06,0.015915711408488922,1269,188,0,124,True,"2,3,4"
ATU2/mm,fingerprint_target,five_decimal_rounded,48,48,True,2.6755033884209703e-06,6.570736843514169e-06,0.009122384343262218,1269,188,0,115,True,"2,3,4"
ATU1/mm,fingerprint_target,high_precision,48,48,True,1.448884698809208e-13,7.958078640513122e-13,0.041717583828032194,1269,188,0,141,True,"2,3,4"
GWT/m,fingerprint_target,high_precision,48,48,True,1.2792931999185763e-13,3.979039320256561e-13,0.019016421917292713,1269,188,0,141,True,"2,3,4"
Rainfall/mm,negative_control,negative_control,48,0,False,10.100597497891421,140.344658901639,10.381601945528555,1269,188,945,125,False,"1,2,3,4"
RWL/m,negative_control,negative_control,48,0,False,0.2376171842563401,2.9858302480283214,0.3259017556120095,1269,188,1247,184,False,"1,2,3,4"
aveT/℃,negative_control,negative_control,48,0,False,2.125919354635318,9.101036734085806,2.2918078549213474,1269,188,1264,188,False,"1,2,3,4"
minT/℃,negative_control,negative_control,48,0,False,1.3764236347949783,6.808502561858148,1.4867208539108896,1269,188,1263,187,False,"1,2,3,4"
maxT/℃,negative_control,negative_control,48,0,False,3.158515416994202,9.675625422582842,3.406580003185315,1269,188,1265,187,False,"1,2,3,4"
