boundary,boundary_date,month,column,precision_group,rows_before_boundary_in_month,rows_on_or_after_boundary_in_month,max_abs_cubic_residual,cubic_residual_tolerance,same_monthly_cubic_segment_across_boundary
first_model_target,2016-08-06,2016-08,MJ9/mm,five_decimal_rounded,5,26,4.738479560728592e-06,1e-05,True
first_model_target,2016-08-06,2016-08,MJ1/mm,high_precision,5,26,4.547473508864641e-13,1e-09,True
first_model_target,2016-08-06,2016-08,MJ3/mm,high_precision,5,26,4.547473508864641e-13,1e-09,True
first_model_target,2016-08-06,2016-08,ATU4/mm,five_decimal_rounded,5,26,4.739446094248478e-06,1e-05,True
first_model_target,2016-08-06,2016-08,ATU5/mm,high_precision,5,26,5.684341886080802e-14,1e-09,True
first_model_target,2016-08-06,2016-08,ATU3/mm,five_decimal_rounded,5,26,5.892353627245939e-06,1e-05,True
first_model_target,2016-08-06,2016-08,ATU2/mm,five_decimal_rounded,5,26,5.244716341223921e-06,1e-05,True
first_model_target,2016-08-06,2016-08,ATU1/mm,high_precision,5,26,2.842170943040401e-14,1e-09,True
first_model_target,2016-08-06,2016-08,GWT/m,high_precision,5,26,1.7053025658242404e-13,1e-09,True
fit_to_calibration,2019-02-03,2019-02,MJ9/mm,five_decimal_rounded,2,26,3.896930877544946e-06,1e-05,True
fit_to_calibration,2019-02-03,2019-02,MJ1/mm,high_precision,2,26,1.0231815394945443e-12,1e-09,True
fit_to_calibration,2019-02-03,2019-02,MJ3/mm,high_precision,2,26,2.2737367544323206e-12,1e-09,True
fit_to_calibration,2019-02-03,2019-02,ATU4/mm,five_decimal_rounded,2,26,5.8494513268669834e-06,1e-05,True
fit_to_calibration,2019-02-03,2019-02,ATU5/mm,high_precision,2,26,9.094947017729282e-13,1e-09,True
fit_to_calibration,2019-02-03,2019-02,ATU3/mm,five_decimal_rounded,2,26,5.1355663117647055e-06,1e-05,True
fit_to_calibration,2019-02-03,2019-02,ATU2/mm,five_decimal_rounded,2,26,5.038225992848311e-06,1e-05,True
fit_to_calibration,2019-02-03,2019-02,ATU1/mm,high_precision,2,26,7.958078640513122e-13,1e-09,True
fit_to_calibration,2019-02-03,2019-02,GWT/m,high_precision,2,26,2.2737367544323206e-13,1e-09,True
calibration_to_test,2019-09-18,2019-09,MJ9/mm,five_decimal_rounded,17,13,5.0607642947397835e-06,1e-05,True
calibration_to_test,2019-09-18,2019-09,MJ1/mm,high_precision,17,13,6.821210263296962e-13,1e-09,True
calibration_to_test,2019-09-18,2019-09,MJ3/mm,high_precision,17,13,1.1368683772161603e-12,1e-09,True
calibration_to_test,2019-09-18,2019-09,ATU4/mm,five_decimal_rounded,17,13,5.209110952364426e-06,1e-05,True
calibration_to_test,2019-09-18,2019-09,ATU5/mm,high_precision,17,13,4.547473508864641e-13,1e-09,True
calibration_to_test,2019-09-18,2019-09,ATU3/mm,five_decimal_rounded,17,13,5.37773712494527e-06,1e-05,True
calibration_to_test,2019-09-18,2019-09,ATU2/mm,five_decimal_rounded,17,13,5.020700143631984e-06,1e-05,True
calibration_to_test,2019-09-18,2019-09,ATU1/mm,high_precision,17,13,3.979039320256561e-13,1e-09,True
calibration_to_test,2019-09-18,2019-09,GWT/m,high_precision,17,13,1.7053025658242404e-13,1e-09,True
