boundary,boundary_date,month,column,precision_group,direction,fit_rows,evaluation_rows,mean_absolute_error,max_absolute_error,month_value_range,max_error_fraction_of_month_range,interpretation
first_model_target,2016-08-06,2016-08,MJ9/mm,five_decimal_rounded,pre_boundary_to_on_or_after_boundary,5,26,0.005415318742988207,0.018712571648336507,0.10322999999999638,0.1812706737221463,algebraic_dependence_diagnostic_not_forecast_evaluation
first_model_target,2016-08-06,2016-08,MJ1/mm,high_precision,pre_boundary_to_on_or_after_boundary,5,26,1.0063034166635659e-10,3.509512680466287e-10,6.366958261154082,5.512071128027387e-11,algebraic_dependence_diagnostic_not_forecast_evaluation
first_model_target,2016-08-06,2016-08,MJ3/mm,high_precision,pre_boundary_to_on_or_after_boundary,5,26,1.9480676900667066e-10,6.881464287289418e-10,6.3527856050124,1.0832199786279402e-10,algebraic_dependence_diagnostic_not_forecast_evaluation
first_model_target,2016-08-06,2016-08,ATU4/mm,five_decimal_rounded,pre_boundary_to_on_or_after_boundary,5,26,0.003948868134593762,0.013819142866733358,3.074580000000001,0.004494644103172906,algebraic_dependence_diagnostic_not_forecast_evaluation
first_model_target,2016-08-06,2016-08,ATU5/mm,high_precision,pre_boundary_to_on_or_after_boundary,5,26,1.3389357998396289e-11,4.661160346586257e-11,20.548718911317536,2.268345957089835e-12,algebraic_dependence_diagnostic_not_forecast_evaluation
first_model_target,2016-08-06,2016-08,ATU3/mm,five_decimal_rounded,pre_boundary_to_on_or_after_boundary,5,26,0.0023665384592553426,0.008319999992814076,12.301720000000003,0.0006763281876692099,algebraic_dependence_diagnostic_not_forecast_evaluation
first_model_target,2016-08-06,2016-08,ATU2/mm,five_decimal_rounded,pre_boundary_to_on_or_after_boundary,5,26,0.0070361318686734415,0.024270857144813363,2.3154500000000002,0.010482133988992792,algebraic_dependence_diagnostic_not_forecast_evaluation
first_model_target,2016-08-06,2016-08,ATU1/mm,high_precision,pre_boundary_to_on_or_after_boundary,5,26,7.86188208551791e-12,2.7611690711637493e-11,8.132031828076183,3.395423345037456e-12,algebraic_dependence_diagnostic_not_forecast_evaluation
first_model_target,2016-08-06,2016-08,GWT/m,high_precision,pre_boundary_to_on_or_after_boundary,5,26,2.6211374950854897e-11,8.71978045324795e-11,1.6821557974150778,5.1836937260195486e-11,algebraic_dependence_diagnostic_not_forecast_evaluation
fit_to_calibration,2019-02-03,2019-02,MJ9/mm,five_decimal_rounded,on_or_after_boundary_to_pre_boundary_backcast,26,2,4.156076499839401e-06,4.498328394220152e-06,1.722159999999974,2.612026986006074e-06,algebraic_dependence_diagnostic_not_forecast_evaluation
fit_to_calibration,2019-02-03,2019-02,MJ1/mm,high_precision,on_or_after_boundary_to_pre_boundary_backcast,26,2,1.3073986337985843e-12,1.3642420526593924e-12,5.118118564247197,2.665514750262635e-13,algebraic_dependence_diagnostic_not_forecast_evaluation
fit_to_calibration,2019-02-03,2019-02,MJ3/mm,high_precision,on_or_after_boundary_to_pre_boundary_backcast,26,2,1.2505552149377763e-12,1.3642420526593924e-12,4.251259081501075,3.2090306107095515e-13,algebraic_dependence_diagnostic_not_forecast_evaluation
fit_to_calibration,2019-02-03,2019-02,ATU4/mm,five_decimal_rounded,on_or_after_boundary_to_pre_boundary_backcast,26,2,3.2088436796584574e-07,3.4448203223291785e-07,0.18039999999996326,1.909545633220554e-06,algebraic_dependence_diagnostic_not_forecast_evaluation
fit_to_calibration,2019-02-03,2019-02,ATU5/mm,high_precision,on_or_after_boundary_to_pre_boundary_backcast,26,2,7.958078640513122e-13,9.094947017729282e-13,2.00456992279112,4.537106395902456e-13,algebraic_dependence_diagnostic_not_forecast_evaluation
fit_to_calibration,2019-02-03,2019-02,ATU3/mm,five_decimal_rounded,on_or_after_boundary_to_pre_boundary_backcast,26,2,2.872167328860087e-06,2.9048690066701965e-06,0.26077999999995427,1.113915563567262e-05,algebraic_dependence_diagnostic_not_forecast_evaluation
fit_to_calibration,2019-02-03,2019-02,ATU2/mm,five_decimal_rounded,on_or_after_boundary_to_pre_boundary_backcast,26,2,7.204756343526242e-06,7.479747011984728e-06,2.2425499999999943,3.3353758052149326e-06,algebraic_dependence_diagnostic_not_forecast_evaluation
fit_to_calibration,2019-02-03,2019-02,ATU1/mm,high_precision,on_or_after_boundary_to_pre_boundary_backcast,26,2,5.684341886080802e-14,5.684341886080802e-14,0.4216804969726127,1.3480210554888405e-13,algebraic_dependence_diagnostic_not_forecast_evaluation
fit_to_calibration,2019-02-03,2019-02,GWT/m,high_precision,on_or_after_boundary_to_pre_boundary_backcast,26,2,3.410605131648481e-13,3.410605131648481e-13,1.5044361540373075,2.267032151876818e-13,algebraic_dependence_diagnostic_not_forecast_evaluation
calibration_to_test,2019-09-18,2019-09,MJ9/mm,five_decimal_rounded,pre_boundary_to_on_or_after_boundary,17,13,7.730016070931575e-06,2.156347062509667e-05,1.1182100000000332,1.9283918606608804e-05,algebraic_dependence_diagnostic_not_forecast_evaluation
calibration_to_test,2019-09-18,2019-09,MJ1/mm,high_precision,pre_boundary_to_on_or_after_boundary,17,13,2.072598503078692e-12,4.661160346586257e-12,1.1456086633569385,4.0687195337086716e-12,algebraic_dependence_diagnostic_not_forecast_evaluation
calibration_to_test,2019-09-18,2019-09,MJ3/mm,high_precision,pre_boundary_to_on_or_after_boundary,17,13,3.6204885243653105e-12,7.958078640513122e-12,5.186995361416848,1.534236698900641e-12,algebraic_dependence_diagnostic_not_forecast_evaluation
calibration_to_test,2019-09-18,2019-09,ATU4/mm,five_decimal_rounded,pre_boundary_to_on_or_after_boundary,17,13,2.7896919229638464e-05,6.65789456775201e-05,3.0602700000000027,2.1755905746068168e-05,algebraic_dependence_diagnostic_not_forecast_evaluation
calibration_to_test,2019-09-18,2019-09,ATU5/mm,high_precision,pre_boundary_to_on_or_after_boundary,17,13,5.334536231552752e-13,1.2505552149377763e-12,3.037484499512516,4.1170752151606935e-13,algebraic_dependence_diagnostic_not_forecast_evaluation
calibration_to_test,2019-09-18,2019-09,ATU3/mm,five_decimal_rounded,pre_boundary_to_on_or_after_boundary,17,13,4.187227428841512e-05,0.00010139835626432614,2.015899999999988,5.029929870743924e-05,algebraic_dependence_diagnostic_not_forecast_evaluation
calibration_to_test,2019-09-18,2019-09,ATU2/mm,five_decimal_rounded,pre_boundary_to_on_or_after_boundary,17,13,2.4743391962217105e-05,6.988390276774226e-05,1.463890000000049,4.773849317075731e-05,algebraic_dependence_diagnostic_not_forecast_evaluation
calibration_to_test,2019-09-18,2019-09,ATU1/mm,high_precision,pre_boundary_to_on_or_after_boundary,17,13,2.4442670110147446e-12,5.7411853049416095e-12,0.14352683358475815,4.000078007400071e-11,algebraic_dependence_diagnostic_not_forecast_evaluation
calibration_to_test,2019-09-18,2019-09,GWT/m,high_precision,pre_boundary_to_on_or_after_boundary,17,13,1.2112020788033707e-12,3.0127011996228248e-12,0.8083205475165869,3.7271119840746146e-12,algebraic_dependence_diagnostic_not_forecast_evaluation
