model_scope,importance_method,distribution_parameter,feature,importance,interpretation
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU1__interval_z,0.0200469808685,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU1__velocity_mm_per_day,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU1__acceleration_mm_per_day_squared,2.08726104503e-05,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU1__tangent_angle_degree,0.00137717168831,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU2__interval_z,0.00981835026217,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU2__velocity_mm_per_day,0.011519716676,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU2__acceleration_mm_per_day_squared,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU2__tangent_angle_degree,0.021945325536,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU3__interval_z,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU3__velocity_mm_per_day,0.025673538362,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU3__acceleration_mm_per_day_squared,0.0129175184654,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU3__tangent_angle_degree,0.0113547445728,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU4__interval_z,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU4__velocity_mm_per_day,0.0237831112276,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU4__acceleration_mm_per_day_squared,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU4__tangent_angle_degree,0.00205823613366,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU5__interval_z,0.019349246027,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU5__velocity_mm_per_day,0.673872056622,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU5__acceleration_mm_per_day_squared,0.0208612846935,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,ATU5__tangent_angle_degree,1.77874466639e-05,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,MJ1__interval_z,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,MJ1__velocity_mm_per_day,0.00174061024214,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,MJ1__acceleration_mm_per_day_squared,0.0859626568663,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,MJ1__tangent_angle_degree,8.85382250537e-05,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,MJ3__interval_z,0.000926952649394,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,MJ3__velocity_mm_per_day,0.000369334160495,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,MJ3__acceleration_mm_per_day_squared,0.0333439928553,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,MJ3__tangent_angle_degree,0.00044101474722,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,MJ9__interval_z,0.00351708780183,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,MJ9__velocity_mm_per_day,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,MJ9__acceleration_mm_per_day_squared,0.0189932442888,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,0,MJ9__tangent_angle_degree,6.26971352402e-07,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU1__interval_z,0.0132097001878,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU1__velocity_mm_per_day,7.43016348049e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU1__acceleration_mm_per_day_squared,0.00427145893056,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU1__tangent_angle_degree,0.0325116618222,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU2__interval_z,7.78501365257e-19,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU2__velocity_mm_per_day,0.160035815491,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU2__acceleration_mm_per_day_squared,1.04696194578e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU2__tangent_angle_degree,0.553954758003,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU3__interval_z,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU3__velocity_mm_per_day,6.26429580466e-19,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU3__acceleration_mm_per_day_squared,1.42830346518e-22,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU3__tangent_angle_degree,0.000721978004557,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU4__interval_z,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU4__velocity_mm_per_day,0.0155226406363,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU4__acceleration_mm_per_day_squared,0.00928153937042,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU4__tangent_angle_degree,4.76100450515e-23,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU5__interval_z,1.06246101798e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU5__velocity_mm_per_day,0.0113421489447,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU5__acceleration_mm_per_day_squared,0.00779443357735,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU5__tangent_angle_degree,0.0659057209424,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ1__interval_z,0.000636538495047,model_dependency_not_causal
