feature,station,indicator,mean_abs_shap,explained_output,aggregation,method,interpretation
ATU1__acceleration_mm_per_day_squared,ATU1,acceleration_mm_per_day_squared,0.00524490031082,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU1__interval_z,ATU1,interval_z,0.0250877420476,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU1__tangent_angle_degree,ATU1,tangent_angle_degree,0.481505316812,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU1__velocity_mm_per_day,ATU1,velocity_mm_per_day,4.4408920985e-18,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU2__acceleration_mm_per_day_squared,ATU2,acceleration_mm_per_day_squared,0,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU2__interval_z,ATU2,interval_z,0.0282546824471,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU2__tangent_angle_degree,ATU2,tangent_angle_degree,0.543962347018,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU2__velocity_mm_per_day,ATU2,velocity_mm_per_day,0.179867658515,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU3__acceleration_mm_per_day_squared,ATU3,acceleration_mm_per_day_squared,0.000883711177648,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU3__interval_z,ATU3,interval_z,1.66533453694e-17,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU3__tangent_angle_degree,ATU3,tangent_angle_degree,0.00979393503002,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU3__velocity_mm_per_day,ATU3,velocity_mm_per_day,0.00549102350204,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU4__acceleration_mm_per_day_squared,ATU4,acceleration_mm_per_day_squared,0.00543494733782,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU4__interval_z,ATU4,interval_z,0,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU4__tangent_angle_degree,ATU4,tangent_angle_degree,0.000711549828692,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU4__velocity_mm_per_day,ATU4,velocity_mm_per_day,0.0294846505706,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU5__acceleration_mm_per_day_squared,ATU5,acceleration_mm_per_day_squared,0.0052963642111,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU5__interval_z,ATU5,interval_z,0.00474271861413,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU5__tangent_angle_degree,ATU5,tangent_angle_degree,0.0810904010884,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
ATU5__velocity_mm_per_day,ATU5,velocity_mm_per_day,0.209411495693,expected_ordinal_level,overall_across_fold2_explanation_dates,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
