fold,date,feature,station,indicator,explained_output,shap_value_expected_ordinal_level,feature_value,method,interpretation
2,2018-12-05,ATU1__interval_z,ATU1,interval_z,expected_ordinal_level,-0.011184664169,0.137537697303,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU1__velocity_mm_per_day,ATU1,velocity_mm_per_day,expected_ordinal_level,0,0.0540300038789,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU1__acceleration_mm_per_day_squared,ATU1,acceleration_mm_per_day_squared,expected_ordinal_level,1.6428037662e-05,0.000869681763845,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU1__tangent_angle_degree,ATU1,tangent_angle_degree,expected_ordinal_level,-0.6267168329,2.12300280882,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU2__interval_z,ATU2,interval_z,expected_ordinal_level,-0.0590446029945,-0.0376208463775,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU2__velocity_mm_per_day,ATU2,velocity_mm_per_day,expected_ordinal_level,-0.0655580844823,0.03581,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU2__acceleration_mm_per_day_squared,ATU2,acceleration_mm_per_day_squared,expected_ordinal_level,0,-1.99999999495e-05,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU2__tangent_angle_degree,ATU2,tangent_angle_degree,expected_ordinal_level,-0.755658509329,1.77975695957,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU3__interval_z,ATU3,interval_z,expected_ordinal_level,-5.55111512313e-17,-0.0944945392522,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU3__velocity_mm_per_day,ATU3,velocity_mm_per_day,expected_ordinal_level,-0.014537377184,0.0745499999999,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU3__acceleration_mm_per_day_squared,ATU3,acceleration_mm_per_day_squared,expected_ordinal_level,0,-0.000160000000051,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU3__tangent_angle_degree,ATU3,tangent_angle_degree,expected_ordinal_level,0.00554216882151,2.42730266375,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU4__interval_z,ATU4,interval_z,expected_ordinal_level,0,-0.146626407062,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU4__velocity_mm_per_day,ATU4,velocity_mm_per_day,expected_ordinal_level,-0.000785174238572,0.03673,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU4__acceleration_mm_per_day_squared,ATU4,acceleration_mm_per_day_squared,expected_ordinal_level,-0.00203794418633,0.000210000000038,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU4__tangent_angle_degree,ATU4,tangent_angle_degree,expected_ordinal_level,3.76209735388e-05,2.06090343624,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU5__interval_z,ATU5,interval_z,expected_ordinal_level,0,-0.0482358771788,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU5__velocity_mm_per_day,ATU5,velocity_mm_per_day,expected_ordinal_level,-0.267718418563,0.0515942957074,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU5__acceleration_mm_per_day_squared,ATU5,acceleration_mm_per_day_squared,expected_ordinal_level,0.00172047222036,0.000953771782178,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,ATU5__tangent_angle_degree,ATU5,tangent_angle_degree,expected_ordinal_level,-0.197278553656,1.61388793758,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,MJ1__interval_z,MJ1,interval_z,expected_ordinal_level,-5.15452364513e-05,0.0654456007619,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,MJ1__velocity_mm_per_day,MJ1,velocity_mm_per_day,expected_ordinal_level,-4.59569672278e-05,0.063974162782,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,MJ1__acceleration_mm_per_day_squared,MJ1,acceleration_mm_per_day_squared,expected_ordinal_level,0.00609612014602,0.000322915002698,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,MJ1__tangent_angle_degree,MJ1,tangent_angle_degree,expected_ordinal_level,-0.000367127991694,12.9687382723,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,MJ3__interval_z,MJ3,interval_z,expected_ordinal_level,9.37744078389e-07,0.0299286385326,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,MJ3__velocity_mm_per_day,MJ3,velocity_mm_per_day,expected_ordinal_level,0.00760422180048,0.036214769872,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,MJ3__acceleration_mm_per_day_squared,MJ3,acceleration_mm_per_day_squared,expected_ordinal_level,0.00422686358671,0.00145887876806,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,MJ3__tangent_angle_degree,MJ3,tangent_angle_degree,expected_ordinal_level,0.000504444516998,4.10967904908,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,MJ9__interval_z,MJ9,interval_z,expected_ordinal_level,0.00068121278142,-0.374357003574,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,MJ9__velocity_mm_per_day,MJ9,velocity_mm_per_day,expected_ordinal_level,-5.55111512313e-17,-0.01903,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,MJ9__acceleration_mm_per_day_squared,MJ9,acceleration_mm_per_day_squared,expected_ordinal_level,0.00384556656233,1.00000000316e-05,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2018-12-05,MJ9__tangent_angle_degree,MJ9,tangent_angle_degree,expected_ordinal_level,0.00201779918326,-10.429827491,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
