fold,fold_role,scope,estimator,n,status,metric,value
2,development_already_exposed,all_valid,memory_ngboost,280,reported_descriptive,accuracy,0.353571428571
2,development_already_exposed,all_valid,memory_ngboost,280,reported_descriptive,macro_f1_fixed_five,0.28710863673
2,development_already_exposed,all_valid,memory_ngboost,280,reported_descriptive,ordinal_mae,0.742857142857
2,development_already_exposed,all_valid,memory_ngboost,280,reported_descriptive,multiclass_log_loss,3.34875233417
2,development_already_exposed,all_valid,memory_ngboost,280,reported_descriptive,multiclass_brier,1.00253730421
2,development_already_exposed,lag7_common,memory_ngboost,273,reported_descriptive,accuracy,0.336996336996
2,development_already_exposed,lag7_common,memory_ngboost,273,reported_descriptive,macro_f1_fixed_five,0.281322288996
2,development_already_exposed,lag7_common,memory_ngboost,273,reported_descriptive,ordinal_mae,0.761904761905
2,development_already_exposed,lag7_common,memory_ngboost,273,reported_descriptive,multiclass_log_loss,3.43455348306
2,development_already_exposed,lag7_common,memory_ngboost,273,reported_descriptive,multiclass_brier,1.02824311203
2,development_already_exposed,lag7_common,v1_ngboost,273,reported_descriptive,accuracy,0.336996336996
2,development_already_exposed,lag7_common,v1_ngboost,273,reported_descriptive,macro_f1_fixed_five,0.281322288996
2,development_already_exposed,lag7_common,v1_ngboost,273,reported_descriptive,ordinal_mae,0.761904761905
2,development_already_exposed,lag7_common,v1_ngboost,273,reported_descriptive,multiclass_log_loss,3.42118574076
2,development_already_exposed,lag7_common,v1_ngboost,273,reported_descriptive,multiclass_brier,1.02150408492
2,development_already_exposed,lag7_common,lag7_persistence,273,reported_descriptive,accuracy,0.802197802198
2,development_already_exposed,lag7_common,lag7_persistence,273,reported_descriptive,macro_f1_fixed_five,0.672214572137
2,development_already_exposed,lag7_common,lag7_persistence,273,reported_descriptive,ordinal_mae,0.223443223443
2,development_already_exposed,transition_common,memory_ngboost,11,small_support_descriptive_only,accuracy,0.0909090909091
2,development_already_exposed,transition_common,memory_ngboost,11,small_support_descriptive_only,macro_f1_fixed_five,0.08
2,development_already_exposed,transition_common,memory_ngboost,11,small_support_descriptive_only,ordinal_mae,1.09090909091
2,development_already_exposed,transition_common,v1_ngboost,11,small_support_descriptive_only,accuracy,0.0909090909091
2,development_already_exposed,transition_common,v1_ngboost,11,small_support_descriptive_only,macro_f1_fixed_five,0.08
2,development_already_exposed,transition_common,v1_ngboost,11,small_support_descriptive_only,ordinal_mae,1.09090909091
2,development_already_exposed,transition_common,lag7_persistence,11,small_support_descriptive_only,accuracy,0.0909090909091
2,development_already_exposed,transition_common,lag7_persistence,11,small_support_descriptive_only,macro_f1_fixed_five,0.0571428571429
2,development_already_exposed,transition_common,lag7_persistence,11,small_support_descriptive_only,ordinal_mae,1.09090909091
