split,evaluation_role,estimator,subset,actual_level,actual_color,predicted_level,predicted_color,count
fit,training_only,ngboost,all,0,green,0,green,3354
fit,training_only,ngboost,all,0,green,1,blue,184
fit,training_only,ngboost,all,0,green,2,yellow,0
fit,training_only,ngboost,all,0,green,3,orange,0
fit,training_only,ngboost,all,0,green,4,red,0
fit,training_only,ngboost,all,1,blue,0,green,196
fit,training_only,ngboost,all,1,blue,1,blue,2616
fit,training_only,ngboost,all,1,blue,2,yellow,58
fit,training_only,ngboost,all,1,blue,3,orange,0
fit,training_only,ngboost,all,1,blue,4,red,0
fit,training_only,ngboost,all,2,yellow,0,green,1
fit,training_only,ngboost,all,2,yellow,1,blue,53
fit,training_only,ngboost,all,2,yellow,2,yellow,641
fit,training_only,ngboost,all,2,yellow,3,orange,6
fit,training_only,ngboost,all,2,yellow,4,red,0
fit,training_only,ngboost,all,3,orange,0,green,0
fit,training_only,ngboost,all,3,orange,1,blue,0
fit,training_only,ngboost,all,3,orange,2,yellow,16
fit,training_only,ngboost,all,3,orange,3,orange,61
fit,training_only,ngboost,all,3,orange,4,red,6
fit,training_only,ngboost,all,4,red,0,green,0
fit,training_only,ngboost,all,4,red,1,blue,0
fit,training_only,ngboost,all,4,red,2,yellow,0
fit,training_only,ngboost,all,4,red,3,orange,3
fit,training_only,ngboost,all,4,red,4,red,85
fit,training_only,fit_majority_prior,all,0,green,0,green,3538
fit,training_only,fit_majority_prior,all,0,green,1,blue,0
fit,training_only,fit_majority_prior,all,0,green,2,yellow,0
fit,training_only,fit_majority_prior,all,0,green,3,orange,0
fit,training_only,fit_majority_prior,all,0,green,4,red,0
fit,training_only,fit_majority_prior,all,1,blue,0,green,2870
fit,training_only,fit_majority_prior,all,1,blue,1,blue,0
fit,training_only,fit_majority_prior,all,1,blue,2,yellow,0
fit,training_only,fit_majority_prior,all,1,blue,3,orange,0
fit,training_only,fit_majority_prior,all,1,blue,4,red,0
fit,training_only,fit_majority_prior,all,2,yellow,0,green,701
fit,training_only,fit_majority_prior,all,2,yellow,1,blue,0
fit,training_only,fit_majority_prior,all,2,yellow,2,yellow,0
fit,training_only,fit_majority_prior,all,2,yellow,3,orange,0
fit,training_only,fit_majority_prior,all,2,yellow,4,red,0
fit,training_only,fit_majority_prior,all,3,orange,0,green,83
fit,training_only,fit_majority_prior,all,3,orange,1,blue,0
fit,training_only,fit_majority_prior,all,3,orange,2,yellow,0
fit,training_only,fit_majority_prior,all,3,orange,3,orange,0
fit,training_only,fit_majority_prior,all,3,orange,4,red,0
fit,training_only,fit_majority_prior,all,4,red,0,green,88
fit,training_only,fit_majority_prior,all,4,red,1,blue,0
fit,training_only,fit_majority_prior,all,4,red,2,yellow,0
fit,training_only,fit_majority_prior,all,4,red,3,orange,0
fit,training_only,fit_majority_prior,all,4,red,4,red,0
fit,training_only,current_state_persistence,all,0,green,0,green,3330
fit,training_only,current_state_persistence,all,0,green,1,blue,208
fit,training_only,current_state_persistence,all,0,green,2,yellow,0
fit,training_only,current_state_persistence,all,0,green,3,orange,0
fit,training_only,current_state_persistence,all,0,green,4,red,0
fit,training_only,current_state_persistence,all,1,blue,0,green,205
fit,training_only,current_state_persistence,all,1,blue,1,blue,2605
fit,training_only,current_state_persistence,all,1,blue,2,yellow,60
fit,training_only,current_state_persistence,all,1,blue,3,orange,0
fit,training_only,current_state_persistence,all,1,blue,4,red,0
fit,training_only,current_state_persistence,all,2,yellow,0,green,1
fit,training_only,current_state_persistence,all,2,yellow,1,blue,60
fit,training_only,current_state_persistence,all,2,yellow,2,yellow,626
fit,training_only,current_state_persistence,all,2,yellow,3,orange,14
fit,training_only,current_state_persistence,all,2,yellow,4,red,0
fit,training_only,current_state_persistence,all,3,orange,0,green,0
fit,training_only,current_state_persistence,all,3,orange,1,blue,0
fit,training_only,current_state_persistence,all,3,orange,2,yellow,13
fit,training_only,current_state_persistence,all,3,orange,3,orange,63
fit,training_only,current_state_persistence,all,3,orange,4,red,7
fit,training_only,current_state_persistence,all,4,red,0,green,0
fit,training_only,current_state_persistence,all,4,red,1,blue,0
fit,training_only,current_state_persistence,all,4,red,2,yellow,1
fit,training_only,current_state_persistence,all,4,red,3,orange,6
fit,training_only,current_state_persistence,all,4,red,4,red,81
fit,training_only,ngboost,transition_only,0,green,0,green,44
fit,training_only,ngboost,transition_only,0,green,1,blue,164
fit,training_only,ngboost,transition_only,0,green,2,yellow,0
fit,training_only,ngboost,transition_only,0,green,3,orange,0
fit,training_only,ngboost,transition_only,0,green,4,red,0
fit,training_only,ngboost,transition_only,1,blue,0,green,177
fit,training_only,ngboost,transition_only,1,blue,1,blue,32
fit,training_only,ngboost,transition_only,1,blue,2,yellow,56
fit,training_only,ngboost,transition_only,1,blue,3,orange,0
fit,training_only,ngboost,transition_only,1,blue,4,red,0
fit,training_only,ngboost,transition_only,2,yellow,0,green,1
fit,training_only,ngboost,transition_only,2,yellow,1,blue,53
fit,training_only,ngboost,transition_only,2,yellow,2,yellow,15
fit,training_only,ngboost,transition_only,2,yellow,3,orange,6
fit,training_only,ngboost,transition_only,2,yellow,4,red,0
fit,training_only,ngboost,transition_only,3,orange,0,green,0
fit,training_only,ngboost,transition_only,3,orange,1,blue,0
fit,training_only,ngboost,transition_only,3,orange,2,yellow,11
fit,training_only,ngboost,transition_only,3,orange,3,orange,5
fit,training_only,ngboost,transition_only,3,orange,4,red,4
fit,training_only,ngboost,transition_only,4,red,0,green,0
fit,training_only,ngboost,transition_only,4,red,1,blue,0
fit,training_only,ngboost,transition_only,4,red,2,yellow,0
fit,training_only,ngboost,transition_only,4,red,3,orange,3
fit,training_only,ngboost,transition_only,4,red,4,red,4
fit,training_only,fit_majority_prior,transition_only,0,green,0,green,208
fit,training_only,fit_majority_prior,transition_only,0,green,1,blue,0
fit,training_only,fit_majority_prior,transition_only,0,green,2,yellow,0
fit,training_only,fit_majority_prior,transition_only,0,green,3,orange,0
fit,training_only,fit_majority_prior,transition_only,0,green,4,red,0
fit,training_only,fit_majority_prior,transition_only,1,blue,0,green,265
fit,training_only,fit_majority_prior,transition_only,1,blue,1,blue,0
fit,training_only,fit_majority_prior,transition_only,1,blue,2,yellow,0
fit,training_only,fit_majority_prior,transition_only,1,blue,3,orange,0
fit,training_only,fit_majority_prior,transition_only,1,blue,4,red,0
fit,training_only,fit_majority_prior,transition_only,2,yellow,0,green,75
fit,training_only,fit_majority_prior,transition_only,2,yellow,1,blue,0
fit,training_only,fit_majority_prior,transition_only,2,yellow,2,yellow,0
fit,training_only,fit_majority_prior,transition_only,2,yellow,3,orange,0
fit,training_only,fit_majority_prior,transition_only,2,yellow,4,red,0
