split,evaluation_role,estimator,subset,reliability_kind,class_level,class_color,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency,class_support,calibration_status
fit,training_only,ngboost,all,top_label,,,0,0.0,0.1,0,,,7280,empty_bin
fit,training_only,ngboost,all,top_label,,,1,0.1,0.2,0,,,7280,empty_bin
fit,training_only,ngboost,all,top_label,,,2,0.2,0.30000000000000004,0,,,7280,empty_bin
fit,training_only,ngboost,all,top_label,,,3,0.30000000000000004,0.4,0,,,7280,empty_bin
fit,training_only,ngboost,all,top_label,,,4,0.4,0.5,6,0.49820921967391035,0.5,7280,ok
fit,training_only,ngboost,all,top_label,,,5,0.5,0.6000000000000001,316,0.5575233728958664,0.5791139240506329,7280,ok
fit,training_only,ngboost,all,top_label,,,6,0.6000000000000001,0.7000000000000001,296,0.6503597247064433,0.6418918918918919,7280,ok
fit,training_only,ngboost,all,top_label,,,7,0.7000000000000001,0.8,353,0.7500949175937625,0.7677053824362606,7280,ok
fit,training_only,ngboost,all,top_label,,,8,0.8,0.9,639,0.8564976746495991,0.838810641627543,7280,ok
fit,training_only,ngboost,all,top_label,,,9,0.9,1.0,5670,0.9779553995253426,0.9830687830687831,7280,ok
fit,training_only,ngboost,all,one_vs_rest,0.0,green,0,0.0,0.1,3212,0.01797827314654991,0.012141967621419676,3538,ok
fit,training_only,ngboost,all,one_vs_rest,0.0,green,1,0.1,0.2,199,0.15613176097599857,0.1708542713567839,3538,ok
fit,training_only,ngboost,all,one_vs_rest,0.0,green,2,0.2,0.30000000000000004,116,0.23905789873382005,0.3017241379310345,3538,ok
fit,training_only,ngboost,all,one_vs_rest,0.0,green,3,0.30000000000000004,0.4,121,0.34282976832031337,0.35537190082644626,3538,ok
fit,training_only,ngboost,all,one_vs_rest,0.0,green,4,0.4,0.5,81,0.44056506541591717,0.4074074074074074,3538,ok
fit,training_only,ngboost,all,one_vs_rest,0.0,green,5,0.5,0.6000000000000001,154,0.5570413409174886,0.5454545454545454,3538,ok
fit,training_only,ngboost,all,one_vs_rest,0.0,green,6,0.6000000000000001,0.7000000000000001,80,0.658719965485177,0.6125,3538,ok
fit,training_only,ngboost,all,one_vs_rest,0.0,green,7,0.7000000000000001,0.8,97,0.7618391171994291,0.7835051546391752,3538,ok
fit,training_only,ngboost,all,one_vs_rest,0.0,green,8,0.8,0.9,272,0.8652880054416696,0.8419117647058824,3538,ok
fit,training_only,ngboost,all,one_vs_rest,0.0,green,9,0.9,1.0,2948,0.9867897616949008,0.989145183175034,3538,ok
fit,training_only,ngboost,all,one_vs_rest,1.0,blue,0,0.0,0.1,3676,0.016784186876268543,0.013873775843307944,2870,ok
fit,training_only,ngboost,all,one_vs_rest,1.0,blue,1,0.1,0.2,316,0.13475774293432422,0.1550632911392405,2870,ok
fit,training_only,ngboost,all,one_vs_rest,1.0,blue,2,0.2,0.30000000000000004,131,0.2474716849941671,0.22137404580152673,2870,ok
fit,training_only,ngboost,all,one_vs_rest,1.0,blue,3,0.30000000000000004,0.4,140,0.3505192002721077,0.35714285714285715,2870,ok
fit,training_only,ngboost,all,one_vs_rest,1.0,blue,4,0.4,0.5,164,0.4454852677998931,0.4573170731707317,2870,ok
fit,training_only,ngboost,all,one_vs_rest,1.0,blue,5,0.5,0.6000000000000001,145,0.5604410803743911,0.6206896551724138,2870,ok
fit,training_only,ngboost,all,one_vs_rest,1.0,blue,6,0.6000000000000001,0.7000000000000001,142,0.651077018295102,0.647887323943662,2870,ok
fit,training_only,ngboost,all,one_vs_rest,1.0,blue,7,0.7000000000000001,0.8,169,0.7507455708627278,0.757396449704142,2870,ok
fit,training_only,ngboost,all,one_vs_rest,1.0,blue,8,0.8,0.9,291,0.84927247741833,0.8384879725085911,2870,ok
fit,training_only,ngboost,all,one_vs_rest,1.0,blue,9,0.9,1.0,2106,0.9725835917998095,0.9791073124406457,2870,ok
fit,training_only,ngboost,all,one_vs_rest,2.0,yellow,0,0.0,0.1,6310,0.0016355913526647106,0.0014263074484944533,701,ok
fit,training_only,ngboost,all,one_vs_rest,2.0,yellow,1,0.1,0.2,87,0.1375664933037797,0.11494252873563218,701,ok
fit,training_only,ngboost,all,one_vs_rest,2.0,yellow,2,0.2,0.30000000000000004,78,0.2599856856369353,0.15384615384615385,701,ok
fit,training_only,ngboost,all,one_vs_rest,2.0,yellow,3,0.30000000000000004,0.4,25,0.37188703648439103,0.28,701,ok
fit,training_only,ngboost,all,one_vs_rest,2.0,yellow,4,0.4,0.5,71,0.4372026648721033,0.352112676056338,701,ok
fit,training_only,ngboost,all,one_vs_rest,2.0,yellow,5,0.5,0.6000000000000001,9,0.5396394390268962,0.5555555555555556,701,ok
fit,training_only,ngboost,all,one_vs_rest,2.0,yellow,6,0.6000000000000001,0.7000000000000001,64,0.6380471043599982,0.671875,701,ok
fit,training_only,ngboost,all,one_vs_rest,2.0,yellow,7,0.7000000000000001,0.8,55,0.7326675041318825,0.7090909090909091,701,ok
fit,training_only,ngboost,all,one_vs_rest,2.0,yellow,8,0.8,0.9,61,0.850620105909752,0.819672131147541,701,ok
fit,training_only,ngboost,all,one_vs_rest,2.0,yellow,9,0.9,1.0,520,0.9494779759124773,0.9634615384615385,701,ok
fit,training_only,ngboost,all,one_vs_rest,3.0,orange,0,0.0,0.1,7145,0.000243433994219928,0.0004198740377886634,83,ok
fit,training_only,ngboost,all,one_vs_rest,3.0,orange,1,0.1,0.2,29,0.14616025154218887,0.1724137931034483,83,ok
fit,training_only,ngboost,all,one_vs_rest,3.0,orange,2,0.2,0.30000000000000004,26,0.24148322308143305,0.3076923076923077,83,ok
fit,training_only,ngboost,all,one_vs_rest,3.0,orange,3,0.30000000000000004,0.4,3,0.35902068465982956,0.6666666666666666,83,ok
fit,training_only,ngboost,all,one_vs_rest,3.0,orange,4,0.4,0.5,7,0.4473047467858252,0.5714285714285714,83,ok
fit,training_only,ngboost,all,one_vs_rest,3.0,orange,5,0.5,0.6000000000000001,3,0.5582468105247385,0.6666666666666666,83,ok
fit,training_only,ngboost,all,one_vs_rest,3.0,orange,6,0.6000000000000001,0.7000000000000001,8,0.6566214529396445,0.5,83,ok
fit,training_only,ngboost,all,one_vs_rest,3.0,orange,7,0.7000000000000001,0.8,29,0.739684363085917,0.8620689655172413,83,ok
fit,training_only,ngboost,all,one_vs_rest,3.0,orange,8,0.8,0.9,3,0.8557960408211477,1.0,83,ok
fit,training_only,ngboost,all,one_vs_rest,3.0,orange,9,0.9,1.0,27,0.9703498240283724,1.0,83,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,0,0.0,0.1,7183,0.00010982785696267357,0.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,1,0.1,0.2,2,0.10660459117421686,0.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,2,0.2,0.30000000000000004,1,0.21994899266887924,0.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,3,0.30000000000000004,0.4,2,0.30945143295938315,1.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,4,0.4,0.5,1,0.4629858630037933,1.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,5,0.5,0.6000000000000001,5,0.5195134593395074,0.4,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,6,0.6000000000000001,0.7000000000000001,2,0.6339791869157649,1.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,7,0.7000000000000001,0.8,3,0.7538502699024866,1.0,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,8,0.8,0.9,12,0.8625142591056125,0.8333333333333334,88,ok
fit,training_only,ngboost,all,one_vs_rest,4.0,red,9,0.9,1.0,69,0.9820559533111886,0.9855072463768116,88,ok
fit,training_only,fit_majority_prior,all,top_label,,,0,0.0,0.1,0,,,7280,empty_bin
fit,training_only,fit_majority_prior,all,top_label,,,1,0.1,0.2,0,,,7280,empty_bin
fit,training_only,fit_majority_prior,all,top_label,,,2,0.2,0.30000000000000004,0,,,7280,empty_bin
