control_method,challenger_method,fold,scope,group,planned_rows,control_interval_rows,challenger_interval_rows,common_interval_rows,control_availability_rate,challenger_availability_rate,availability_rate_difference,comparison_status,artifact_status,formal_warning_output,independent_label_used,confirmatory_external_validation,vajont_used,support,control_empirical_coverage,challenger_empirical_coverage,coverage_difference,control_absolute_coverage_gap,challenger_absolute_coverage_gap,absolute_coverage_gap_difference,control_mean_interval_width_mm,challenger_mean_interval_width_mm,mean_interval_width_difference_mm,control_mean_interval_score_80_mm,challenger_mean_interval_score_80_mm,mean_interval_score_difference_mm,control_mean_total_pinball_loss,challenger_mean_total_pinball_loss,mean_total_pinball_loss_difference
aci_v1_control,agaci_ewa_variant_v1,1,overall,all,2296,1317,1317,1317,0.57360627177700352,0.57360627177700352,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,1,overall,all,2296,1317,1317,1317,0.57360627177700352,0.57360627177700352,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.79119210326499623,0.84813971146545175,0.056947608200455524,0.0088078967350038173,0.048139711465451707,0.039331814730447889,0.45359425679103743,0.38141117662892365,-0.072183080162113777,0.58880151871660025,0.45562969541804993,-0.13317182329855032,0.058880151871660014,0.045562969541804998,-0.013317182329855015
aci_v1_control,agaci_ewa_variant_v1,1,station,ATU1,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,1,station,ATU1,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.92814371257485029,0.94011976047904189,0.0119760479041916,0.12814371257485024,0.14011976047904184,0.0119760479041916,0.45337754216224718,0.30646188559103221,-0.14691565657121497,0.45560604642706021,0.31034851790292556,-0.14525752852413465,0.045560604642706018,0.031034851790292552,-0.014525752852413466
aci_v1_control,agaci_ewa_variant_v1,1,station,ATU2,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,1,station,ATU2,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.89820359281437123,0.88622754491017963,-0.0119760479041916,0.098203592814371188,0.086227544910179588,-0.0119760479041916,0.27728870101544384,0.1944421770817053,-0.082846523933738536,0.28583234993642348,0.20107912501584518,-0.084753224920578296,0.028583234993642345,0.020107912501584516,-0.0084753224920578289
aci_v1_control,agaci_ewa_variant_v1,1,station,ATU3,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,1,station,ATU3,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.78443113772455086,0.93413173652694614,0.14970059880239528,0.01556886227544918,0.1341317365269461,0.11856287425149692,0.98853146207513509,0.89572392205951634,-0.09280754001561875,1.1298151293794787,0.92649516117419828,-0.20331996820528042,0.11298151293794789,0.092649516117419825,-0.020331996820528067
aci_v1_control,agaci_ewa_variant_v1,1,station,ATU4,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,1,station,ATU4,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.62874251497005984,0.87425149700598803,0.24550898203592819,0.1712574850299402,0.074251497005987988,-0.097005988023952217,0.43113605420753193,0.40720398107482197,-0.023932073132709952,0.56276576312785354,0.41884975677815023,-0.14391600634970331,0.056276576312785362,0.041884975677815024,-0.014391600634970338
aci_v1_control,agaci_ewa_variant_v1,1,station,ATU5,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,1,station,ATU5,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.97005988023952094,0.92215568862275454,-0.047904191616766401,0.1700598802395209,0.1221556886227545,-0.047904191616766401,0.78852656015753309,0.53606992507160911,-0.25245663508592397,0.80248509325427542,0.55045642561278074,-0.25202866764149467,0.080248509325427542,0.055045642561278078,-0.025202866764149463
aci_v1_control,agaci_ewa_variant_v1,1,station,MJ1,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,1,station,MJ1,287,167,167,167,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.70059880239520955,0.72455089820359286,0.023952095808383311,0.099401197604790492,0.075449101796407181,-0.023952095808383311,0.31402326219673576,0.32454416200451436,0.010520899807778594,0.88463479949076074,0.71470282120696793,-0.16993197828379281,0.088463479949076079,0.071470282120696782,-0.016993197828379297
aci_v1_control,agaci_ewa_variant_v1,1,station,MJ3,287,107,107,107,0.37282229965156793,0.37282229965156793,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,1,station,MJ3,287,107,107,107,0.37282229965156793,0.37282229965156793,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.65420560747663548,0.76635514018691586,0.11214953271028039,0.14579439252336457,0.033644859813084182,-0.11214953271028039,0.13405612773372055,0.14911634087858683,0.015060213144866275,0.1765591240365279,0.15451851461715127,-0.022040609419376633,0.017655912403652788,0.015451851461715127,-0.0022040609419376606
aci_v1_control,agaci_ewa_variant_v1,1,station,MJ9,287,208,208,208,0.72473867595818819,0.72473867595818819,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
