task,feature,feature_group,fold_count,mean_normalized_share,median_rank,rank_q25,rank_q75,rank_iqr,best_rank,worst_rank,top_k,top_k_folds,direction_valid_folds,direction_positive_folds,direction_negative_folds,direction_zero_folds,dominant_direction,direction_consistency,median_direction_spearman
classification,disp_rate_lag5,displacement_kinematics,5,0.338856951213159,1.0,1.0,1.0,0.0,1.0,6.0,10,5,5,5,0,0,positive,1.0,0.28883249570115954
classification,disp_rate_lag4,displacement_kinematics,5,0.04403706340519083,4.0,4.0,8.0,4.0,2.0,19.0,10,4,5,4,1,0,positive,0.8,0.23502523118413
classification,station_MJ9,station_identity,5,0.0396882765293151,7.0,6.0,8.0,2.0,3.0,79.0,10,4,0,0,0,0,not_applicable,,
classification,disp_accel_lag5,displacement_kinematics,5,0.032216129803846014,9.0,6.0,10.0,4.0,4.0,15.0,10,4,5,0,5,0,negative,1.0,-0.3901016968068785
classification,DP_lag5,raw_environment,5,0.024830447647564945,9.0,7.0,55.0,48.0,4.0,69.5,10,3,4,4,0,0,positive,1.0,0.5654341968435568
classification,GWT_lag4,raw_environment,5,0.035104115458117494,10.0,3.0,22.0,19.0,3.0,27.0,10,3,5,3,2,0,positive,0.6,0.2650725635243823
classification,GWT_lag1,raw_environment,5,0.0198082003711817,11.0,8.0,18.0,10.0,5.0,28.0,10,2,5,4,1,0,positive,0.8,0.03657196944542526
classification,GWT_lag5,raw_environment,5,0.04634419314168955,12.0,2.0,25.0,23.0,2.0,27.0,10,2,5,3,2,0,positive,0.6,0.34556104499296036
classification,disp_lag1,displacement_kinematics,5,0.011149843999492811,12.0,11.0,21.0,10.0,11.0,27.0,10,0,5,2,3,0,negative,0.6,-0.05644577445160801
classification,Rain_cum30_lag1,cumulative_rainfall,5,0.013542387373802662,13.0,7.0,28.0,21.0,7.0,68.0,10,2,4,4,0,0,positive,1.0,0.5665453120940473
classification,disp_rate_lag3,displacement_kinematics,5,0.012484129812993513,13.0,11.0,25.0,14.0,6.0,25.0,10,1,5,5,0,0,positive,1.0,0.4111558013492454
classification,GWT_lag3,raw_environment,5,0.021784018852078726,14.0,6.0,16.0,10.0,5.0,20.0,10,2,5,4,1,0,positive,0.8,0.29865788823669914
classification,disp_lag2,displacement_kinematics,5,0.016159350977082033,15.0,11.0,17.0,6.0,8.0,33.0,10,1,5,2,3,0,negative,0.6,-0.11796182331058372
classification,disp_rate_lag1,displacement_kinematics,5,0.013154947807727913,15.0,10.0,28.0,18.0,8.0,29.0,10,2,5,4,1,0,positive,0.8,0.5660507558461451
classification,GWT_lag2,raw_environment,5,0.011576315800322878,16.0,13.0,26.0,13.0,9.0,28.0,10,1,5,5,0,0,positive,1.0,0.2527049781835899
classification,Rain_cum30_lag4,cumulative_rainfall,5,0.02897116261603515,17.0,9.0,25.0,16.0,3.0,68.0,10,2,4,3,1,0,positive,0.75,0.3454034947725986
classification,disp_lag4,displacement_kinematics,5,0.008954272163028723,17.0,16.0,28.0,12.0,9.0,31.0,10,1,5,2,3,0,negative,0.6,-0.03094453049840208
classification,disp_accel_lag4,displacement_kinematics,5,0.007545049481610594,18.0,16.0,23.0,7.0,15.0,35.0,10,0,5,2,3,0,negative,0.6,-0.1720175281065751
classification,Rain_cum30_lag5,cumulative_rainfall,5,0.050863670106020165,19.0,18.0,23.0,5.0,1.0,34.0,10,1,5,5,0,0,positive,1.0,0.43244323010699565
classification,disp_accel_lag2,displacement_kinematics,5,0.012712972742425947,19.0,19.0,30.0,11.0,3.0,42.0,10,1,5,1,4,0,negative,0.8,-0.06521445824450262
classification,disp_lag5,displacement_kinematics,5,0.009445169518841756,20.0,16.0,25.0,9.0,7.0,38.0,10,1,5,2,3,0,negative,0.6,-0.09467253469060062
classification,disp_lag3,displacement_kinematics,5,0.00836143916727588,21.0,14.0,26.0,12.0,12.0,27.0,10,0,5,2,3,0,negative,0.6,-0.153480774008154
classification,RWL_lag5,raw_environment,5,0.006495168427365129,21.0,18.0,27.0,9.0,13.0,64.0,10,0,5,4,1,0,positive,0.8,0.2103909960821918
classification,station_ATU5,station_identity,5,0.015336680847986265,22.0,12.0,69.5,57.5,5.0,79.0,10,1,0,0,0,0,not_applicable,,
classification,disp_accel_lag1,displacement_kinematics,5,0.04817347651054898,23.0,14.0,24.0,10.0,2.0,30.0,10,1,5,2,3,0,negative,0.6,-0.10799056971250277
classification,disp_rate_lag2,displacement_kinematics,5,0.005280179462871584,23.0,23.0,24.0,1.0,18.0,36.0,10,0,5,4,1,0,positive,0.8,0.5144236781059769
classification,disp_accel_lag3,displacement_kinematics,5,0.0058310086417665,24.0,22.0,29.0,7.0,10.0,37.0,10,1,5,1,4,0,negative,0.8,-0.21714844260918356
classification,Rain_cum30_lag2,cumulative_rainfall,5,0.02412998714366392,26.0,22.0,68.0,46.0,2.0,71.5,10,1,3,3,0,0,positive,1.0,0.38753526791334625
