case,date,station,split,actual_displacement_mm,v0_candidate_status,candidate_v0_mm_per_day,v0_candidate_available,v5_kinematic_branch_status,velocity_mm_per_day,velocity_status,velocity_ratio,velocity_ratio_status,delta_v_mm_per_day,delta_v_state,delta_v_near_zero_tau_mm_per_day,tangent_angle_degree,tangent_angle_status,interval_level,v4_reference_final_color,v4_reference_candidate_color,v4_reference_site_fusion_status,v4_reference_site_confirmed_color,v4_reference_local_max_color,candidate_display_only,v5_fusion_output,formal_warning_output,vajont_used
ootang,2019-02-03,ATU1,calibration,458.6677184490484,unavailable,,False,not_applicable_v0_unavailable,0.0416982778696706,valid,,not_applicable_v0_unavailable,-0.0055218933089236,near_zero,0.006800805353298056,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-03,ATU2,calibration,327.13405,unavailable,,False,not_applicable_v0_unavailable,0.0471900000000005,valid,,not_applicable_v0_unavailable,0.0103300000000103,positive,0.0015419039999837046,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-03,ATU3,calibration,559.86925,unavailable,,False,not_applicable_v0_unavailable,0.0615699999999606,valid,,not_applicable_v0_unavailable,-0.0152100000000245,negative,0.002846591999955304,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-03,ATU4,calibration,281.93746,unavailable,,False,not_applicable_v0_unavailable,0.002869999999973,valid,,not_applicable_v0_unavailable,-0.0011200000000144,near_zero,0.0013639920000009212,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-03,ATU5,calibration,592.900569561319,unavailable,,False,not_applicable_v0_unavailable,0.0813290808325746,valid,,not_applicable_v0_unavailable,-0.0024113996536243,near_zero,0.008835445149900466,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-03,MJ1,calibration,940.102104791732,initial_segment_selected,0.2503420449965549,True,candidate_available,0.1434879467664132,valid,0.5731675906393903,candidate_available,0.0078711018007879,positive,0.00474848045251647,29.819937099282633,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-03,MJ3,calibration,1209.274857439165,initial_segment_selected,0.2481312611240816,True,candidate_available,0.1108490709900706,valid,0.4467356127877774,candidate_available,0.0068407028149977,positive,0.0033703372423854266,24.072016493822456,candidate_available,1,blue,blue,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-03,MJ9,calibration,342.43806,unavailable,,False,not_applicable_v0_unavailable,-0.0018000000000029,valid,,not_applicable_v0_unavailable,0.0113399999999614,positive,0.0004299540000099334,,not_applicable_v0_unavailable,0,blue,blue,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-04,ATU1,calibration,458.7042657465755,unavailable,,False,not_applicable_v0_unavailable,0.0365472975271359,valid,,not_applicable_v0_unavailable,-0.0051509803425346,near_zero,0.006800805353298056,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-04,ATU2,calibration,327.19074,unavailable,,False,not_applicable_v0_unavailable,0.0566900000000032,valid,,not_applicable_v0_unavailable,0.0095000000000027,positive,0.0015419039999837046,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-04,ATU3,calibration,559.91683,unavailable,,False,not_applicable_v0_unavailable,0.047580000000039,valid,,not_applicable_v0_unavailable,-0.0139899999999215,negative,0.002846591999955304,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-04,ATU4,calibration,281.93938,unavailable,,False,not_applicable_v0_unavailable,0.001920000000041,valid,,not_applicable_v0_unavailable,-0.000949999999932,near_zero,0.0013639920000009212,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-04,ATU5,calibration,592.9796889444564,unavailable,,False,not_applicable_v0_unavailable,0.0791193831373675,valid,,not_applicable_v0_unavailable,-0.002209697695207,near_zero,0.008835445149900466,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-04,MJ1,calibration,940.2530172444089,initial_segment_selected,0.2503420449965549,True,candidate_available,0.1509124526768346,valid,0.6028250375557626,candidate_available,0.0074245059104214,positive,0.00474848045251647,31.082624923310437,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-04,MJ3,calibration,1209.392219673296,initial_segment_selected,0.2481312611240816,True,candidate_available,0.117362234130951,valid,0.4729844744240522,candidate_available,0.0065131631408803,positive,0.0033703372423854266,25.313422316074384,candidate_available,1,blue,blue,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-04,MJ9,calibration,342.44695,unavailable,,False,not_applicable_v0_unavailable,0.008890000000008,valid,,not_applicable_v0_unavailable,0.0106900000000109,positive,0.0004299540000099334,,not_applicable_v0_unavailable,0,blue,blue,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-05,ATU1,calibration,458.7360329767264,unavailable,,False,not_applicable_v0_unavailable,0.0317672301508764,valid,,not_applicable_v0_unavailable,-0.0047800673762594,near_zero,0.006800805353298056,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-05,ATU2,calibration,327.25614,unavailable,,False,not_applicable_v0_unavailable,0.065400000000011,valid,,not_applicable_v0_unavailable,0.0087100000000077,positive,0.0015419039999837046,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-05,ATU3,calibration,559.9516,unavailable,,False,not_applicable_v0_unavailable,0.0347699999999804,valid,,not_applicable_v0_unavailable,-0.0128100000000586,negative,0.002846591999955304,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
