origin,strategy,reference,station,rmse_difference_mm,mae_difference_mm,both_improve
252,HH,H,ATU1,0.26923316837988054,0.18223692458714602,False
252,HH,H,ATU5,-0.19626453378140596,-0.09657824569239892,True
252,HH,H,MJ3,-0.7190310768113353,-0.206440462141801,True
252,HH,H,MJ1,-0.8285227832786539,-0.24573869999053954,True
252,HHS,H,ATU1,-0.4524851729656767,-0.28028903760789703,True
252,HHS,H,ATU5,-0.3571376213529156,-0.18715023651814278,True
252,HHS,H,MJ3,-1.9186925628612084,-1.9177732998877666,True
252,HHS,H,MJ1,-6.112854557250385,-5.693839581049486,True
252,HHS,C,ATU1,-0.29008920939665117,-0.13398176560827935,True
252,HHS,C,ATU5,-0.5841677201856363,-0.3030168762581198,True
252,HHS,C,MJ3,-2.8234949049413185,-2.0146520493840505,True
252,HHS,C,MJ1,-6.277919328546025,-5.422827687064894,True
342,HH,H,ATU1,-2.15672677200601,-1.9043168959310819,True
342,HH,H,ATU5,-4.48411713175836,-4.314340002567015,True
342,HH,H,MJ3,0.20463066916844852,0.26496486630511384,False
342,HH,H,MJ1,-0.4999108987962355,-0.5929915189228772,True
342,HHS,H,ATU1,-11.843210377308512,-12.543054261053861,True
342,HHS,H,ATU5,-3.0965071759237404,-6.106691165470913,True
342,HHS,H,MJ3,-0.4119235981511089,-1.0004955469538075,True
342,HHS,H,MJ1,-1.4615797706732732,-1.6639197371117325,True
342,HHS,C,ATU1,-20.578425982357818,-20.5860626531071,True
342,HHS,C,ATU5,-12.071029114409498,-13.945450472544223,True
342,HHS,C,MJ3,2.178306855374977,1.9836417113650917,False
342,HHS,C,MJ1,-0.7834613984473648,-0.8571239218215827,True
432,HH,H,ATU1,2.6951252215539796,2.8097491013205484,False
432,HH,H,ATU5,1.7389506948355802,1.7548969887113515,False
432,HH,H,MJ3,2.4604328137905895,1.7604567040666055,False
432,HH,H,MJ1,-0.030665002350177772,1.193876885742334,False
432,HHS,H,ATU1,58.40745016437565,57.43194600032611,False
432,HHS,H,ATU5,-4.812423399282864,-4.05474913968186,True
432,HHS,H,MJ3,-6.942968133553,-6.390157188934403,True
432,HHS,H,MJ1,5.5708730668762065,7.324890431436311,False
432,HHS,C,ATU1,64.16438541332732,63.1505275054538,False
432,HHS,C,ATU5,-2.4445465084991156,-0.6483143680843853,True
432,HHS,C,MJ3,-4.702926437810058,-4.3974759307208515,True
432,HHS,C,MJ1,-1.878043090080972,0.427406547823189,False
