fit_days,strategy,seed,initial_loss,final_loss
342,C,0,0.01335883304087881,0.00045689904581001787
342,C,1,0.01335883304087881,0.000388601985459565
342,C,2,0.01335883304087881,0.00028686245209462484
342,H,0,0.01335883304087881,0.0002280885300669047
342,H,1,0.01335883304087881,0.00021339388262581953
342,H,2,0.01335883304087881,0.0002272875142997634
432,C,0,0.005981883076662482,0.0001256607479361233
432,C,1,0.005981883076662482,0.00014472622682151374
432,C,2,0.005981883076662482,7.71047988430315e-05
432,H,0,0.005981883076662482,0.0001573517542064993
432,H,1,0.005981883076662482,0.00014540534185861808
432,H,2,0.005981883076662482,0.00011710839792932995
612,C,0,0.005249556016899529,0.0001941157065937203
612,C,1,0.005249556016899529,0.00024303363322308798
612,C,2,0.005249556016899529,0.00019233347613131647
612,H,0,0.005249556016899529,0.00021981094604145226
612,H,1,0.005249556016899529,0.0002436019925571827
612,H,2,0.005249556016899529,0.0002069045034453748
