origin,target,lead,last_observation_index,teacher_fit_days,part
31,31,0,30,342,train
31,37,6,30,342,train
31,60,29,30,342,train
31,90,59,30,342,train
31,120,89,30,342,train
31,150,119,30,342,train
31,180,149,30,342,train
31,210,179,30,342,train
45,45,0,44,342,train
45,51,6,44,342,train
45,74,29,44,342,train
45,104,59,44,342,train
45,134,89,44,342,train
45,164,119,44,342,train
45,194,149,44,342,train
45,224,179,44,342,train
59,59,0,58,342,train
59,65,6,58,342,train
59,88,29,58,342,train
59,118,59,58,342,train
59,148,89,58,342,train
59,178,119,58,342,train
59,208,149,58,342,train
59,238,179,58,342,train
73,73,0,72,342,train
73,79,6,72,342,train
73,102,29,72,342,train
73,132,59,72,342,train
73,162,89,72,342,train
73,192,119,72,342,train
73,222,149,72,342,train
73,252,179,72,342,train
87,87,0,86,342,train
87,93,6,86,342,train
87,116,29,86,342,train
87,146,59,86,342,train
87,176,89,86,342,train
87,206,119,86,342,train
87,236,149,86,342,train
87,266,179,86,342,train
101,101,0,100,342,train
101,107,6,100,342,train
101,130,29,100,342,train
101,160,59,100,342,train
101,190,89,100,342,train
101,220,119,100,342,train
101,250,149,100,342,train
101,280,179,100,342,train
115,115,0,114,342,train
115,121,6,114,342,train
115,144,29,114,342,train
115,174,59,114,342,train
115,204,89,114,342,train
115,234,119,114,342,train
115,264,149,114,342,train
115,294,179,114,342,train
129,129,0,128,342,train
129,135,6,128,342,train
129,158,29,128,342,train
129,188,59,128,342,train
129,218,89,128,342,train
129,248,119,128,342,train
129,278,149,128,342,train
129,308,179,128,342,train
143,143,0,142,342,train
143,149,6,142,342,train
143,172,29,142,342,train
143,202,59,142,342,train
143,232,89,142,342,train
143,262,119,142,342,train
143,292,149,142,342,train
143,322,179,142,342,train
157,157,0,156,342,train
157,163,6,156,342,train
157,186,29,156,342,train
157,216,59,156,342,train
157,246,89,156,342,train
157,276,119,156,342,train
157,306,149,156,342,train
157,336,179,156,342,train
171,171,0,170,342,train
171,177,6,170,342,train
171,200,29,170,342,train
171,230,59,170,342,train
171,260,89,170,342,train
171,290,119,170,342,train
171,320,149,170,342,train
185,185,0,184,342,train
185,191,6,184,342,train
185,214,29,184,342,train
185,244,59,184,342,train
185,274,89,184,342,train
185,304,119,184,342,train
185,334,149,184,342,train
199,199,0,198,342,train
199,205,6,198,342,train
199,228,29,198,342,train
199,258,59,198,342,train
199,288,89,198,342,train
199,318,119,198,342,train
213,213,0,212,342,train
213,219,6,212,342,train
213,242,29,212,342,train
213,272,59,212,342,train
213,302,89,212,342,train
213,332,119,212,342,train
227,227,0,226,342,train
227,233,6,226,342,train
227,256,29,226,342,train
227,286,59,226,342,train
227,316,89,226,342,train
241,241,0,240,342,train
241,247,6,240,342,train
241,270,29,240,342,train
241,300,59,240,342,train
241,330,89,240,342,train
255,255,0,254,342,train
255,261,6,254,342,train
255,284,29,254,342,train
255,314,59,254,342,train
269,269,0,268,342,train
269,275,6,268,342,train
269,298,29,268,342,train
269,328,59,268,342,train
283,283,0,282,342,train
283,289,6,282,342,train
283,312,29,282,342,train
297,297,0,296,342,train
297,303,6,296,342,train
297,326,29,296,342,train
311,311,0,310,342,train
311,317,6,310,342,train
311,340,29,310,342,train
325,325,0,324,342,train
325,331,6,324,342,train
339,339,0,338,342,train
