fit_days,lead,training_pairs,fit_readout,prediction
342,0,23,2,1
342,1,0,2,1
342,2,0,2,1
342,3,0,2,1
342,4,0,2,1
342,5,0,2,1
342,6,22,2,1
342,7,0,2,1
342,8,0,2,1
342,9,0,2,1
342,10,0,2,1
342,11,0,2,1
342,12,0,2,1
342,13,0,2,1
342,14,0,2,1
342,15,0,2,1
342,16,0,2,1
342,17,0,2,1
342,18,0,2,1
342,19,0,2,1
342,20,0,2,1
342,21,0,2,1
342,22,0,2,1
342,23,0,2,1
342,24,0,2,1
342,25,0,2,1
342,26,0,2,1
342,27,0,2,1
342,28,0,2,1
342,29,21,2,1
342,30,0,2,1
342,31,0,2,1
342,32,0,2,1
342,33,0,2,1
342,34,0,2,1
342,35,0,2,1
342,36,0,2,1
342,37,0,2,1
342,38,0,2,1
342,39,0,2,1
342,40,0,2,1
342,41,0,2,1
342,42,0,2,1
342,43,0,2,1
342,44,0,2,1
342,45,0,2,1
342,46,0,2,1
342,47,0,2,1
342,48,0,2,1
342,49,0,2,1
342,50,0,2,1
342,51,0,2,1
342,52,0,2,1
342,53,0,2,1
342,54,0,2,1
342,55,0,2,1
342,56,0,2,1
342,57,0,2,1
342,58,0,2,1
342,59,18,2,1
342,60,0,2,1
342,61,0,2,1
342,62,0,2,1
342,63,0,2,1
342,64,0,2,1
342,65,0,2,1
342,66,0,2,1
342,67,0,2,1
342,68,0,2,1
342,69,0,2,1
342,70,0,2,1
342,71,0,2,1
342,72,0,2,1
342,73,0,2,1
342,74,0,2,1
342,75,0,2,1
342,76,0,2,1
342,77,0,2,1
342,78,0,2,1
342,79,0,2,1
342,80,0,2,1
342,81,0,2,1
342,82,0,2,1
342,83,0,2,1
342,84,0,2,1
342,85,0,2,1
342,86,0,2,1
342,87,0,2,1
342,88,0,2,1
342,89,16,2,1
342,90,0,2,1
342,91,0,2,1
342,92,0,2,1
342,93,0,2,1
342,94,0,2,1
342,95,0,2,1
342,96,0,2,1
342,97,0,2,1
342,98,0,2,1
342,99,0,2,1
342,100,0,2,1
342,101,0,2,1
342,102,0,2,1
342,103,0,2,1
342,104,0,2,1
342,105,0,2,1
342,106,0,2,1
342,107,0,2,1
342,108,0,2,1
342,109,0,2,1
342,110,0,2,1
342,111,0,2,1
342,112,0,2,1
342,113,0,2,1
342,114,0,2,1
342,115,0,2,1
342,116,0,2,1
342,117,0,2,1
342,118,0,2,1
342,119,14,2,1
342,120,0,2,1
342,121,0,2,1
342,122,0,2,1
342,123,0,2,1
342,124,0,2,1
342,125,0,2,1
342,126,0,2,1
342,127,0,2,1
342,128,0,2,1
342,129,0,2,1
342,130,0,2,1
342,131,0,1,1
342,132,0,1,1
342,133,0,1,1
342,134,0,1,1
342,135,0,1,1
342,136,0,1,1
342,137,0,1,1
342,138,0,1,1
342,139,0,1,1
342,140,0,1,1
342,141,0,1,1
342,142,0,1,1
342,143,0,1,1
342,144,0,1,1
342,145,0,1,1
342,146,0,1,1
342,147,0,1,1
342,148,0,1,1
342,149,12,1,1
342,150,0,1,1
342,151,0,1,1
342,152,0,1,1
342,153,0,1,1
342,154,0,1,1
342,155,0,1,1
342,156,0,1,1
342,157,0,1,1
342,158,0,1,1
342,159,0,1,1
342,160,0,1,1
342,161,0,1,1
342,162,0,1,1
342,163,0,1,1
342,164,0,1,1
342,165,0,1,1
342,166,0,1,1
342,167,0,1,1
342,168,0,1,1
342,169,0,1,1
342,170,0,1,1
342,171,0,1,1
342,172,0,1,1
342,173,0,1,1
342,174,0,1,1
342,175,0,1,1
342,176,0,1,1
342,177,0,1,1
342,178,0,1,1
342,179,10,1,1
432,0,29,3,1
432,1,0,3,1
432,2,0,3,1
432,3,0,3,1
432,4,0,3,1
432,5,0,3,1
432,6,29,3,1
432,7,0,3,1
432,8,0,3,1
432,9,0,3,1
432,10,0,3,1
432,11,0,3,1
432,12,0,3,1
432,13,0,3,1
432,14,0,3,1
432,15,0,3,1
432,16,0,3,1
432,17,0,3,1
432,18,0,3,1
432,19,0,3,1
432,20,0,3,1
432,21,0,3,1
432,22,0,3,1
432,23,0,3,1
432,24,0,3,1
432,25,0,3,1
432,26,0,3,1
432,27,0,3,1
432,28,0,3,1
432,29,27,3,1
432,30,0,3,1
432,31,0,3,1
432,32,0,3,1
432,33,0,3,1
432,34,0,3,1
432,35,0,3,1
432,36,0,3,1
432,37,0,3,1
432,38,0,3,1
432,39,0,3,1
432,40,0,3,1
432,41,0,2,1
432,42,0,2,1
432,43,0,2,1
432,44,0,2,1
432,45,0,2,1
432,46,0,2,1
432,47,0,2,1
432,48,0,2,1
432,49,0,2,1
432,50,0,2,1
432,51,0,2,1
432,52,0,2,1
432,53,0,2,1
432,54,0,2,1
432,55,0,2,1
432,56,0,2,1
432,57,0,2,1
432,58,0,2,1
432,59,25,2,1
432,60,0,2,1
432,61,0,2,1
432,62,0,2,1
432,63,0,2,1
432,64,0,2,1
432,65,0,2,1
432,66,0,2,1
432,67,0,2,1
432,68,0,2,1
432,69,0,2,1
432,70,0,2,1
432,71,0,2,1
432,72,0,2,1
432,73,0,2,1
432,74,0,2,1
432,75,0,2,1
432,76,0,2,1
432,77,0,2,1
432,78,0,2,1
432,79,0,2,1
432,80,0,2,1
432,81,0,2,1
432,82,0,2,1
432,83,0,2,1
432,84,0,2,1
432,85,0,2,1
432,86,0,2,1
432,87,0,2,1
432,88,0,2,1
432,89,23,2,1
432,90,0,2,1
432,91,0,2,1
432,92,0,2,1
432,93,0,2,1
432,94,0,2,1
432,95,0,2,1
432,96,0,2,1
432,97,0,2,1
432,98,0,2,1
432,99,0,2,1
432,100,0,2,1
432,101,0,2,1
432,102,0,2,1
432,103,0,2,1
432,104,0,2,1
432,105,0,2,1
432,106,0,2,1
432,107,0,2,1
432,108,0,2,1
432,109,0,2,1
432,110,0,2,1
432,111,0,2,1
432,112,0,2,1
432,113,0,2,1
432,114,0,2,1
432,115,0,2,1
432,116,0,2,1
432,117,0,2,1
432,118,0,2,1
432,119,21,2,1
432,120,0,2,1
432,121,0,2,1
432,122,0,2,1
432,123,0,2,1
432,124,0,2,1
432,125,0,2,1
432,126,0,2,1
432,127,0,2,1
432,128,0,2,1
432,129,0,2,1
432,130,0,2,1
432,131,0,2,1
432,132,0,2,1
432,133,0,2,1
432,134,0,2,1
432,135,0,2,1
432,136,0,2,1
432,137,0,2,1
432,138,0,2,1
432,139,0,2,1
432,140,0,2,1
432,141,0,2,1
432,142,0,2,1
432,143,0,2,1
432,144,0,2,1
432,145,0,2,1
432,146,0,2,1
432,147,0,2,1
432,148,0,2,1
432,149,18,2,1
432,150,0,2,1
432,151,0,2,1
432,152,0,2,1
