outer_days,strategy,station,strict_mean_improvement,train_rmse_mm_minus_P0,train_mae_mm_minus_P0,train_crps_mm_minus_P0,train_rmse_mm_minus_IN,train_mae_mm_minus_IN,train_crps_mm_minus_IN,prediction_rmse_mm_minus_P0,prediction_mae_mm_minus_P0,prediction_crps_mm_minus_P0,prediction_rmse_mm_minus_IN,prediction_mae_mm_minus_IN,prediction_crps_mm_minus_IN
432,IN,ATU1,False,-7.916009518579086,-6.076847451837404,-0.7195970875823754,0.0,0.0,0.0,7.416920379011991,7.4072136506398465,6.134235856267729,0.0,0.0,0.0
432,IN,ATU5,False,-2.77611780919623,-1.934364017100523,0.663143895595681,0.0,0.0,0.0,8.347545677488029,8.45153747061957,6.406186634154366,0.0,0.0,0.0
432,IN,MJ3,True,-5.242851327562035,-4.5924737354406595,-0.4909804134370086,0.0,0.0,0.0,-4.877745388877301,-4.196605258053797,-1.6588491647513415,0.0,0.0,0.0
432,IN,MJ1,True,-7.102360953535253,-5.959805133165918,-4.141461403055037,0.0,0.0,0.0,-6.8108594737955865,-6.632773631478287,-6.72165859374161,0.0,0.0,0.0
432,OOF,ATU1,False,-7.787406916968237,-5.891793576638751,-0.8978893616029691,0.12860260161084902,0.18505387519865368,-0.17829227402059367,7.861350402117019,7.968373710726716,6.8199255750506325,0.44443002310502777,0.5611600600868698,0.6856897187829034
432,OOF,ATU5,False,-2.8035477253379284,-1.9684539222315305,-0.40257008108159553,-0.027429916141698207,-0.0340899051310074,-1.0657139766772765,7.176885949217905,7.5802063830916495,7.67541825864312,-1.1706597282701239,-0.8713310875279205,1.2692316244887536
432,OOF,MJ3,True,-5.232037393833897,-4.63392622123175,-1.1298554432140655,0.010813933728137437,-0.041452485791091176,-0.6388750297770569,-3.5519005473211163,-2.9545293637026937,-1.6726781975020142,1.3258448415561848,1.2420758943511032,-0.01382903275067271
432,OOF,MJ1,True,-7.0090436004761605,-5.961561850188908,-3.9934851180414803,0.09331735305909272,-0.0017567170229905171,0.14797628501355709,-7.092543358652446,-6.731429128152863,-6.9725642937181735,-0.281683884856859,-0.09865549667457607,-0.2509056999765633
612,IN,ATU1,False,-6.084590514430767,-4.5855217743484165,1.2785667882464296,0.0,0.0,0.0,6.525051736302998,5.55188161551712,2.3419127956984145,0.0,0.0,0.0
612,IN,ATU5,False,-7.203696684322698,-6.122169117638872,1.704185005934832,0.0,0.0,0.0,2.6082391176925013,2.2198587502732554,2.0387085206165168,0.0,0.0,0.0
612,IN,MJ3,False,-4.1872908079391316,-3.7349829229124225,-1.7112272633712142,0.0,0.0,0.0,1.7406918567265492,2.654441314085318,3.781583791727833,0.0,0.0,0.0
612,IN,MJ1,True,-3.4563123050467652,-2.4617083523977894,-2.0107972889161303,0.0,0.0,0.0,-0.18284496317965804,-0.4356606921595869,-0.03785093560127173,0.0,0.0,0.0
612,OOF,ATU1,False,-6.514683802057439,-4.898657796932305,1.3708348991733548,-0.43009328762667254,-0.31313602258388884,0.09226811092692522,14.764070915623602,11.625016805747434,4.0417695586894595,8.239019179320605,6.073135190230314,1.699856762991045
612,OOF,ATU5,False,-7.498166034421939,-6.302314054553427,1.4225074086483573,-0.2944693500992417,-0.18014493691455424,-0.2816775972864747,2.8276883074894767,2.131235650619452,1.8014020684429823,0.21944918979697547,-0.08862309965380355,-0.2373064521735344
612,OOF,MJ3,False,-4.3335717537017295,-3.872204572819227,-1.5519597971377652,-0.14628094576259842,-0.13722164990680474,0.159267466233449,1.6428843304703946,2.744510352302605,3.424591604039591,-0.09780752625615463,0.09006903821728685,-0.3569921876882418
612,OOF,MJ1,True,-3.8842430180176963,-2.672977955479329,-2.112267586195838,-0.4279307129709309,-0.21126960308153975,-0.10147029727970791,-0.6028837573392245,-0.6356393488407885,-0.21212970846980816,-0.42003879415956646,-0.19997865668120163,-0.17427877286853644
