fit_days,strategy,block,teacher,rows,teachers,origins,unique_targets,teacher_ids,origin_indices,first_target,last_target,first_target_date,last_target_date,min_lead,max_lead,total_weight
342,IN,0,342,136,1,23,136,342,31;45;59;73;87;101;115;129;143;157;171;185;199;213;227;241;255;269;283;297;311;325;339,31,340,2016-08-01,2017-06-06,0,179,0.5
342,IN,1,342,90,1,1,90,342,252,252,341,2017-03-10,2017-06-07,0,89,0.5
342,OOF,0,342,136,1,23,136,342,31;45;59;73;87;101;115;129;143;157;171;185;199;213;227;241;255;269;283;297;311;325;339,31,340,2016-08-01,2017-06-06,0,179,0.5
342,OOF,1,252,90,1,1,90,252,252,252,341,2017-03-10,2017-06-07,0,89,0.5
432,IN,0,432,188,1,29,188,432,31;45;59;73;87;101;115;129;143;157;171;185;199;213;227;241;255;269;283;297;311;325;339;353;367;381;395;409;423,31,430,2016-08-01,2017-09-04,0,179,0.5
432,IN,1,432,270,1,2,180,432,252;342,252,431,2017-03-10,2017-09-05,0,179,0.5
432,OOF,0,432,188,1,29,188,432,31;45;59;73;87;101;115;129;143;157;171;185;199;213;227;241;255;269;283;297;311;325;339;353;367;381;395;409;423,31,430,2016-08-01,2017-09-04,0,179,0.5
432,OOF,1,252,180,1,1,180,252,252,252,431,2017-03-10,2017-09-05,0,179,0.375
432,OOF,1,342,90,1,1,90,342,342,342,431,2017-06-08,2017-09-05,0,89,0.125
612,IN,0,612,291,1,42,291,612,31;45;59;73;87;101;115;129;143;157;171;185;199;213;227;241;255;269;283;297;311;325;339;353;367;381;395;409;423;437;451;465;479;493;507;521;535;549;563;577;591;605,31,611,2016-08-01,2018-03-04,0,179,0.5
612,IN,1,612,540,1,3,360,612,252;342;432,252,611,2017-03-10,2018-03-04,0,179,0.5
612,OOF,0,612,291,1,42,291,612,31;45;59;73;87;101;115;129;143;157;171;185;199;213;227;241;255;269;283;297;311;325;339;353;367;381;395;409;423;437;451;465;479;493;507;521;535;549;563;577;591;605,31,611,2016-08-01,2018-03-04,0,179,0.5
612,OOF,1,252,180,1,1,180,252,252,252,431,2017-03-10,2017-09-05,0,179,0.1875
612,OOF,1,342,180,1,1,180,342,342,342,521,2017-06-08,2017-12-04,0,179,0.125
612,OOF,1,432,180,1,1,180,432,432,432,611,2017-09-06,2018-03-04,0,179,0.1875
