name,fit_days,strategy,origin,teacher,horizon,lead,station,history_gradient_norm,gate_gradient_norm
h342_CURRENT_o342,342,CURRENT,342,342,180,0,ATU1,0.03772841527350305,4.611554340163118
h342_CURRENT_o342,342,CURRENT,342,342,180,0,ATU5,0.04968416137244698,6.466050012090399
h342_CURRENT_o342,342,CURRENT,342,342,180,0,MJ3,0.05084343310817442,7.004793344633462
h342_CURRENT_o342,342,CURRENT,342,342,180,0,MJ1,0.024762477732678735,5.412679942287543
h342_CURRENT_o342,342,CURRENT,342,342,180,29,ATU1,3.8845958660887805e-08,10.842250906649927
h342_CURRENT_o342,342,CURRENT,342,342,180,29,ATU5,3.650480913427701e-08,9.61646890890035
h342_CURRENT_o342,342,CURRENT,342,342,180,29,MJ3,1.1186765945717918e-08,11.996845786805215
h342_CURRENT_o342,342,CURRENT,342,342,180,29,MJ1,7.012161942747272e-08,15.12007323232932
h342_CURRENT_o342,342,CURRENT,342,342,180,179,ATU1,4.7021583313677974e-23,6.952616237912638
h342_CURRENT_o342,342,CURRENT,342,342,180,179,ATU5,9.267243953513324e-23,9.60750721417752
h342_CURRENT_o342,342,CURRENT,342,342,180,179,MJ3,1.9954703834023552e-22,7.252348484032994
h342_CURRENT_o342,342,CURRENT,342,342,180,179,MJ1,1.5762314162586793e-21,9.598818457079812
h342_IN_o252,342,IN,252,342,90,0,ATU1,0.039307299510284964,3.71251454930285
h342_IN_o252,342,IN,252,342,90,0,ATU5,0.050130970530836025,3.6634739481790928
h342_IN_o252,342,IN,252,342,90,0,MJ3,0.040847454693090195,3.89720310081711
h342_IN_o252,342,IN,252,342,90,0,MJ1,0.03183579208211769,3.4006846467757725
h342_IN_o252,342,IN,252,342,90,29,ATU1,3.559682113164445e-09,4.569033151024679
h342_IN_o252,342,IN,252,342,90,29,ATU5,1.3324476274546296e-08,5.0023835687534195
h342_IN_o252,342,IN,252,342,90,29,MJ3,1.223005843469023e-08,5.181537998708744
h342_IN_o252,342,IN,252,342,90,29,MJ1,3.9100178641349465e-09,4.250971725303831
h342_IN_o252,342,IN,252,342,90,89,ATU1,7.570412084058508e-22,4.516032867457167
h342_IN_o252,342,IN,252,342,90,89,ATU5,6.723173837877807e-22,6.482425522366056
h342_IN_o252,342,IN,252,342,90,89,MJ3,7.920247547328705e-21,6.4617920706127725
h342_IN_o252,342,IN,252,342,90,89,MJ1,8.626297659521664e-21,5.530552724408686
h342_OOF_o252,342,OOF,252,252,90,0,ATU1,0.046712742286531335,6.190860585161693
h342_OOF_o252,342,OOF,252,252,90,0,ATU5,0.051162447963532254,8.089177491802065
h342_OOF_o252,342,OOF,252,252,90,0,MJ3,0.052843829087814764,8.832945422850454
h342_OOF_o252,342,OOF,252,252,90,0,MJ1,0.022316468304739923,4.972358830153848
h342_OOF_o252,342,OOF,252,252,90,29,ATU1,2.9424145436970193e-07,5.709344379019173
h342_OOF_o252,342,OOF,252,252,90,29,ATU5,4.507330108680213e-07,8.32767984401014
h342_OOF_o252,342,OOF,252,252,90,29,MJ3,3.7294802087301185e-07,8.083002813975279
h342_OOF_o252,342,OOF,252,252,90,29,MJ1,8.400480625995482e-08,5.536626658980589
h342_OOF_o252,342,OOF,252,252,90,89,ATU1,1.2086256439998037e-17,7.173607077379758
h342_OOF_o252,342,OOF,252,252,90,89,ATU5,2.502542119090947e-18,9.436582060898523
h342_OOF_o252,342,OOF,252,252,90,89,MJ3,5.985087384752198e-19,8.505945169909918
h342_OOF_o252,342,OOF,252,252,90,89,MJ1,6.207863378123542e-18,7.392874422266718
h432_CURRENT_o432,432,CURRENT,432,432,180,0,ATU1,0.012874941152311975,7.363687069394316
h432_CURRENT_o432,432,CURRENT,432,432,180,0,ATU5,0.04338009095543367,12.162024159776145
h432_CURRENT_o432,432,CURRENT,432,432,180,0,MJ3,0.06348599226549906,13.452914042930368
h432_CURRENT_o432,432,CURRENT,432,432,180,0,MJ1,0.049176936926574974,12.131217670154031
h432_CURRENT_o432,432,CURRENT,432,432,180,29,ATU1,1.2462427681443725e-05,21.10721247849257
h432_CURRENT_o432,432,CURRENT,432,432,180,29,ATU5,4.968243622511432e-06,11.021831801624307
h432_CURRENT_o432,432,CURRENT,432,432,180,29,MJ3,5.588260237938512e-06,12.296910853639524
h432_CURRENT_o432,432,CURRENT,432,432,180,29,MJ1,3.208867117356895e-05,11.207586541269057
h432_CURRENT_o432,432,CURRENT,432,432,180,179,ATU1,4.133623239912747e-24,7.514575979714455
h432_CURRENT_o432,432,CURRENT,432,432,180,179,ATU5,7.045181686999087e-24,7.989676146721659
h432_CURRENT_o432,432,CURRENT,432,432,180,179,MJ3,1.1108137888450995e-24,6.451290174826534
h432_CURRENT_o432,432,CURRENT,432,432,180,179,MJ1,6.753596112992365e-25,5.766017289502457
h432_IN_o252,432,IN,252,432,180,0,ATU1,0.03653041444798231,3.678794139961864
h432_IN_o252,432,IN,252,432,180,0,ATU5,0.05409300705958073,3.8792381629328916
h432_IN_o252,432,IN,252,432,180,0,MJ3,0.040717497117516245,4.362053098085517
h432_IN_o252,432,IN,252,432,180,0,MJ1,0.03302888116924067,4.105174917733583
h432_IN_o252,432,IN,252,432,180,29,ATU1,7.851126960926611e-09,4.0020305447636835
h432_IN_o252,432,IN,252,432,180,29,ATU5,3.2202188649258423e-08,4.9127120088997325
h432_IN_o252,432,IN,252,432,180,29,MJ3,3.907915157293982e-08,5.480920788455587
h432_IN_o252,432,IN,252,432,180,29,MJ1,1.8867796818206608e-08,4.7765167879566475
h432_IN_o252,432,IN,252,432,180,179,ATU1,5.324792986923119e-37,8.77500099190814
h432_IN_o252,432,IN,252,432,180,179,ATU5,9.766713647626968e-37,16.154281648389485
h432_IN_o252,432,IN,252,432,180,179,MJ3,1.9860295839930797e-37,15.790133716823274
h432_IN_o252,432,IN,252,432,180,179,MJ1,3.0721324849265845e-37,13.560731841001054
h432_IN_o342,432,IN,342,432,90,0,ATU1,0.050312852270600436,4.148299751116542
h432_IN_o342,432,IN,342,432,90,0,ATU5,0.05296212906423825,5.465076092892577
h432_IN_o342,432,IN,342,432,90,0,MJ3,0.05037863237129583,5.984005730678307
h432_IN_o342,432,IN,342,432,90,0,MJ1,0.02566860650564548,4.6830864226515825
h432_IN_o342,432,IN,342,432,90,29,ATU1,4.110796374324675e-08,12.153151389104139
