name,fit_days,strategy,origin,teacher,horizon,lead,station,history_gradient_norm,gate_gradient_norm
h432_CURRENT_o432,432,CURRENT,432,432,180,0,ATU1,0.012874941152311975,7.363687069394316
h432_CURRENT_o432,432,CURRENT,432,432,180,0,ATU5,0.04338009095543367,12.162024159776145
h432_CURRENT_o432,432,CURRENT,432,432,180,0,MJ3,0.06348599226549906,13.452914042930368
h432_CURRENT_o432,432,CURRENT,432,432,180,0,MJ1,0.049176936926574974,12.131217670154031
h432_CURRENT_o432,432,CURRENT,432,432,180,29,ATU1,1.2462427681443725e-05,21.10721247849257
h432_CURRENT_o432,432,CURRENT,432,432,180,29,ATU5,4.968243622511432e-06,11.021831801624307
h432_CURRENT_o432,432,CURRENT,432,432,180,29,MJ3,5.588260237938512e-06,12.296910853639524
h432_CURRENT_o432,432,CURRENT,432,432,180,29,MJ1,3.208867117356895e-05,11.207586541269057
h432_CURRENT_o432,432,CURRENT,432,432,180,179,ATU1,4.133623239912747e-24,7.514575979714455
h432_CURRENT_o432,432,CURRENT,432,432,180,179,ATU5,7.045181686999087e-24,7.989676146721659
h432_CURRENT_o432,432,CURRENT,432,432,180,179,MJ3,1.1108137888450995e-24,6.451290174826534
h432_CURRENT_o432,432,CURRENT,432,432,180,179,MJ1,6.753596112992365e-25,5.766017289502457
