name,fit_days,strategy,origin,teacher,horizon,lead,station,history_gradient_norm,gate_gradient_norm
h612_IN_o432,612,IN,432,612,180,0,ATU1,0.026771183970117695,7.865989797823899
h612_IN_o432,612,IN,432,612,180,0,ATU5,0.04383275467919311,9.229281532966874
h612_IN_o432,612,IN,432,612,180,0,MJ3,0.04831710836255007,7.5684748919103315
h612_IN_o432,612,IN,432,612,180,0,MJ1,0.032653267400685665,6.794870488463583
h612_IN_o432,612,IN,432,612,180,29,ATU1,9.55113032656605e-06,12.102471899031896
h612_IN_o432,612,IN,432,612,180,29,ATU5,8.827583328402692e-06,15.243079617576532
h612_IN_o432,612,IN,432,612,180,29,MJ3,1.069785082004413e-05,23.68744274180456
h612_IN_o432,612,IN,432,612,180,29,MJ1,1.956047305758505e-05,18.35298628094132
h612_IN_o432,612,IN,432,612,180,179,ATU1,4.559934137370755e-33,4.1507872022839924
h612_IN_o432,612,IN,432,612,180,179,ATU5,1.543858867381459e-32,4.723701590153551
h612_IN_o432,612,IN,432,612,180,179,MJ3,1.341089360507142e-32,4.559122680363491
h612_IN_o432,612,IN,432,612,180,179,MJ1,8.175288022332061e-33,4.233007630372876
