fit_days,strategy,block,origin,target,teacher,horizon,encoder_sha256,decoder_sha256,baseline_sha256
342,IN,0,31,31,342,1,1ac95867c6cde7683df3fcab222f421f49984e1cd8820d4c948e7a9a839576b8,2f39b234129cdd6f7832f8ad3e811e747516c4b0d0df8b45080accf3d6018f7a,f12cbbc7fb36246a23ddaaa48fa7efc9b4eebf0f9f712afdc185077666886352
342,IN,0,31,37,342,7,1ac95867c6cde7683df3fcab222f421f49984e1cd8820d4c948e7a9a839576b8,50b117aed437f7d37e4a731c0d0a3859ed5c6793d750a19074a79f434458aeef,711850f16e3f043740e2bf2eafa4e2d1d7eb7594d53a2694f479a420ee54b86b
342,IN,0,31,60,342,30,1ac95867c6cde7683df3fcab222f421f49984e1cd8820d4c948e7a9a839576b8,54ed72b6d7eb9e137de17eded19e44c1dce2026962d7825ecbf970a875193139,ca2e7e1b66d00f0455f03f98ba790618a03bc348f1148271646207595d9fc75c
342,IN,0,31,90,342,60,1ac95867c6cde7683df3fcab222f421f49984e1cd8820d4c948e7a9a839576b8,1874646f25d0865fd1d990ff3df0fa093ab701eb7fac57a29c6b55aa110564db,9d382eb69529a5db36d65423690a548799565085a64f81155f85f25bb741b6bf
342,IN,0,31,120,342,90,1ac95867c6cde7683df3fcab222f421f49984e1cd8820d4c948e7a9a839576b8,83cc2fe4c7908302efba17497d4511f71807948b34f83c04dc87f3ba430cba08,c66305af5fe984d7d19caa2e1de375cd662bc6da6507f793f8660bee33f3e81b
342,IN,0,31,150,342,120,1ac95867c6cde7683df3fcab222f421f49984e1cd8820d4c948e7a9a839576b8,ba056d8ff5ece3260331dada2dc4d64375062e430e536e8456adf5c8d1dd6448,343a4634a9f12d775372d7656f745f067e5fc3c25e07b2732e8c5040b95394b3
342,IN,0,31,180,342,150,1ac95867c6cde7683df3fcab222f421f49984e1cd8820d4c948e7a9a839576b8,5e8d6f286af66e3ced12bae7c529fbfa062ee67fbc94e85af93091889d878474,9bdb6b27e2899e027441108ba2a5be1024d7cfe00541564c0b0bcfbb1d410f99
342,IN,0,31,210,342,180,1ac95867c6cde7683df3fcab222f421f49984e1cd8820d4c948e7a9a839576b8,4a0305de0aa381da36f9307de6f755e2edcb0496085a3a1169d62789585d18f5,f75aaea58ef86681142f522f73a5b7133e3d96cace1b806a9f2595bfcbf8a76a
342,IN,0,45,45,342,1,bd58389ad405edf0de65e77cd0bf1e4b7cf85be76a73f5d7e74e573e42ef7b9e,c8b415f0e212e0e3588fdcc249639eb2ebc3a72c229bb2ff6f56d486c6210119,3b7144f10fbda2d1a005035257adc55660966c5750c8768a3d7547eb29fe6502
342,IN,0,45,51,342,7,bd58389ad405edf0de65e77cd0bf1e4b7cf85be76a73f5d7e74e573e42ef7b9e,53347e8ecc1c5d772f0b5db43069e959b73f082f52b94df26fb94c72f1e8a228,2932d622ac490a09f246b4a40b570af5b4d632c74181a022cd062611d7881dbb
342,IN,0,45,74,342,30,bd58389ad405edf0de65e77cd0bf1e4b7cf85be76a73f5d7e74e573e42ef7b9e,559b7d147001aa3a57a6bc8489e6712a4355de1421988c6aaae762494db90b63,3db99323d1e468528fb384ca4997530d70b0984cb81d03f63c43dd99dfcd5c69
