fit_days,strategy,seed,station,lead,history_gradient_norm
342,IN_CARRY,0,ATU1,0,0.6489395393902186
342,IN_CARRY,0,ATU5,0,0.8382133068668843
342,IN_CARRY,0,MJ3,0,0.19590744407594182
342,IN_CARRY,0,MJ1,0,0.24117481319735457
342,IN_CARRY,0,ATU1,29,0.00011721537102296238
342,IN_CARRY,0,ATU5,29,2.920188948831333e-05
342,IN_CARRY,0,MJ3,29,3.903806048911287e-05
342,IN_CARRY,0,MJ1,29,4.1851132029752416e-05
342,IN_CARRY,0,ATU1,179,2.7609129401478007e-18
342,IN_CARRY,0,ATU5,179,4.623546750313312e-19
342,IN_CARRY,0,MJ3,179,7.490109556919825e-19
342,IN_CARRY,0,MJ1,179,4.800886027649839e-19
342,IN_CARRY,1,ATU1,0,0.40876501190521813
342,IN_CARRY,1,ATU5,0,0.5266937456460706
342,IN_CARRY,1,MJ3,0,0.3320550441781441
342,IN_CARRY,1,MJ1,0,0.2777826358462518
342,IN_CARRY,1,ATU1,29,0.000199894065201758
342,IN_CARRY,1,ATU5,29,0.0010161970127675766
342,IN_CARRY,1,MJ3,29,0.0004070519827611581
342,IN_CARRY,1,MJ1,29,9.224447444555707e-05
342,IN_CARRY,1,ATU1,179,3.748204268846882e-19
342,IN_CARRY,1,ATU5,179,4.766081630028126e-19
342,IN_CARRY,1,MJ3,179,4.5796226735129e-19
342,IN_CARRY,1,MJ1,179,8.564165075685617e-20
342,IN_CARRY,2,ATU1,0,0.9615145978785373
342,IN_CARRY,2,ATU5,0,1.1169749876229613
342,IN_CARRY,2,MJ3,0,0.7107043123918608
342,IN_CARRY,2,MJ1,0,0.34873472960113855
342,IN_CARRY,2,ATU1,29,0.00017153085478948288
342,IN_CARRY,2,ATU5,29,0.00023213634316462188
342,IN_CARRY,2,MJ3,29,9.354192575539405e-05
342,IN_CARRY,2,MJ1,29,0.00011507934017452626
342,IN_CARRY,2,ATU1,179,5.584912368932235e-23
342,IN_CARRY,2,ATU5,179,2.345890622444238e-23
342,IN_CARRY,2,MJ3,179,5.084746754888456e-23
342,IN_CARRY,2,MJ1,179,1.023608538990761e-21
342,IN_RESET,0,ATU1,0,0.0
342,IN_RESET,0,ATU5,0,0.0
342,IN_RESET,0,MJ3,0,0.0
342,IN_RESET,0,MJ1,0,0.0
342,IN_RESET,0,ATU1,29,0.0
342,IN_RESET,0,ATU5,29,0.0
342,IN_RESET,0,MJ3,29,0.0
342,IN_RESET,0,MJ1,29,0.0
342,IN_RESET,0,ATU1,179,0.0
342,IN_RESET,0,ATU5,179,0.0
342,IN_RESET,0,MJ3,179,0.0
342,IN_RESET,0,MJ1,179,0.0
342,IN_RESET,1,ATU1,0,0.0
342,IN_RESET,1,ATU5,0,0.0
342,IN_RESET,1,MJ3,0,0.0
342,IN_RESET,1,MJ1,0,0.0
342,IN_RESET,1,ATU1,29,0.0
342,IN_RESET,1,ATU5,29,0.0
342,IN_RESET,1,MJ3,29,0.0
342,IN_RESET,1,MJ1,29,0.0
342,IN_RESET,1,ATU1,179,0.0
342,IN_RESET,1,ATU5,179,0.0
342,IN_RESET,1,MJ3,179,0.0
342,IN_RESET,1,MJ1,179,0.0
342,IN_RESET,2,ATU1,0,0.0
342,IN_RESET,2,ATU5,0,0.0
342,IN_RESET,2,MJ3,0,0.0
342,IN_RESET,2,MJ1,0,0.0
342,IN_RESET,2,ATU1,29,0.0
342,IN_RESET,2,ATU5,29,0.0
342,IN_RESET,2,MJ3,29,0.0
342,IN_RESET,2,MJ1,29,0.0
342,IN_RESET,2,ATU1,179,0.0
342,IN_RESET,2,ATU5,179,0.0
342,IN_RESET,2,MJ3,179,0.0
342,IN_RESET,2,MJ1,179,0.0
342,OOF_CARRY,0,ATU1,0,0.8181162358203999
342,OOF_CARRY,0,ATU5,0,1.3590897425360935
342,OOF_CARRY,0,MJ3,0,0.6383529412737204
342,OOF_CARRY,0,MJ1,0,0.5037103464785327
342,OOF_CARRY,0,ATU1,29,0.00044390497889552823
342,OOF_CARRY,0,ATU5,29,0.0025126369524201635
342,OOF_CARRY,0,MJ3,29,0.0011087410119781144
342,OOF_CARRY,0,MJ1,29,0.00026645100830355024
342,OOF_CARRY,0,ATU1,179,1.4954685673714463e-15
342,OOF_CARRY,0,ATU5,179,5.231673086713321e-14
342,OOF_CARRY,0,MJ3,179,2.080316982913819e-14
342,OOF_CARRY,0,MJ1,179,4.8840021324299714e-14
342,OOF_CARRY,1,ATU1,0,0.628459990454267
342,OOF_CARRY,1,ATU5,0,0.8594896849156769
342,OOF_CARRY,1,MJ3,0,0.5487157875026183
342,OOF_CARRY,1,MJ1,0,1.1138923434979704
342,OOF_CARRY,1,ATU1,29,1.625562925404791e-05
342,OOF_CARRY,1,ATU5,29,5.5555588439412776e-05
342,OOF_CARRY,1,MJ3,29,0.00012765514956436055
342,OOF_CARRY,1,MJ1,29,4.029309443156539e-05
342,OOF_CARRY,1,ATU1,179,2.2122684846236724e-17
342,OOF_CARRY,1,ATU5,179,1.2777763784593044e-17
342,OOF_CARRY,1,MJ3,179,7.601473335663836e-17
342,OOF_CARRY,1,MJ1,179,2.648115988450889e-17
342,OOF_CARRY,2,ATU1,0,0.885501108604255
342,OOF_CARRY,2,ATU5,0,1.3967339717427538
342,OOF_CARRY,2,MJ3,0,1.0700936991323078
342,OOF_CARRY,2,MJ1,0,0.8879428133566291
342,OOF_CARRY,2,ATU1,29,0.01390731917437427
342,OOF_CARRY,2,ATU5,29,0.039022507268658024
342,OOF_CARRY,2,MJ3,29,0.010209609624592914
342,OOF_CARRY,2,MJ1,29,0.0008795497246485499
342,OOF_CARRY,2,ATU1,179,4.0431050066098964e-11
342,OOF_CARRY,2,ATU5,179,2.2766390525091957e-10
342,OOF_CARRY,2,MJ3,179,1.6229120471777296e-10
342,OOF_CARRY,2,MJ1,179,3.0520348519482286e-10
342,OOF_RESET,0,ATU1,0,0.0
342,OOF_RESET,0,ATU5,0,0.0
342,OOF_RESET,0,MJ3,0,0.0
342,OOF_RESET,0,MJ1,0,0.0
342,OOF_RESET,0,ATU1,29,0.0
342,OOF_RESET,0,ATU5,29,0.0
342,OOF_RESET,0,MJ3,29,0.0
342,OOF_RESET,0,MJ1,29,0.0
342,OOF_RESET,0,ATU1,179,0.0
342,OOF_RESET,0,ATU5,179,0.0
342,OOF_RESET,0,MJ3,179,0.0
342,OOF_RESET,0,MJ1,179,0.0
342,OOF_RESET,1,ATU1,0,0.0
342,OOF_RESET,1,ATU5,0,0.0
342,OOF_RESET,1,MJ3,0,0.0
342,OOF_RESET,1,MJ1,0,0.0
342,OOF_RESET,1,ATU1,29,0.0
342,OOF_RESET,1,ATU5,29,0.0
342,OOF_RESET,1,MJ3,29,0.0
342,OOF_RESET,1,MJ1,29,0.0
342,OOF_RESET,1,ATU1,179,0.0
342,OOF_RESET,1,ATU5,179,0.0
342,OOF_RESET,1,MJ3,179,0.0
342,OOF_RESET,1,MJ1,179,0.0
342,OOF_RESET,2,ATU1,0,0.0
342,OOF_RESET,2,ATU5,0,0.0
342,OOF_RESET,2,MJ3,0,0.0
342,OOF_RESET,2,MJ1,0,0.0
342,OOF_RESET,2,ATU1,29,0.0
342,OOF_RESET,2,ATU5,29,0.0
342,OOF_RESET,2,MJ3,29,0.0
342,OOF_RESET,2,MJ1,29,0.0
342,OOF_RESET,2,ATU1,179,0.0
342,OOF_RESET,2,ATU5,179,0.0
342,OOF_RESET,2,MJ3,179,0.0
342,OOF_RESET,2,MJ1,179,0.0
432,IN_CARRY,0,ATU1,0,0.5573011133416619
432,IN_CARRY,0,ATU5,0,0.2755709787473879
432,IN_CARRY,0,MJ3,0,0.2834798649544194
432,IN_CARRY,0,MJ1,0,0.615958741875552
432,IN_CARRY,0,ATU1,29,0.0003960745146521368
432,IN_CARRY,0,ATU5,29,0.000593551912486785
432,IN_CARRY,0,MJ3,29,0.0004537848685819695
432,IN_CARRY,0,MJ1,29,0.005217553887374547
432,IN_CARRY,0,ATU1,179,5.774520248672411e-10
432,IN_CARRY,0,ATU5,179,8.889868587383142e-10
432,IN_CARRY,0,MJ3,179,4.067682763782993e-11
432,IN_CARRY,0,MJ1,179,2.4918665977640628e-11
432,IN_CARRY,1,ATU1,0,0.3793418991282029
432,IN_CARRY,1,ATU5,0,0.2883933511632249
432,IN_CARRY,1,MJ3,0,0.2352079005285773
432,IN_CARRY,1,MJ1,0,0.8029754086239902
432,IN_CARRY,1,ATU1,29,0.0053331214925733525
432,IN_CARRY,1,ATU5,29,0.001299416501095143
432,IN_CARRY,1,MJ3,29,0.004673886366198833
432,IN_CARRY,1,MJ1,29,0.02863844991213169
432,IN_CARRY,1,ATU1,179,2.7737595120201856e-15
432,IN_CARRY,1,ATU5,179,5.655499974530678e-15
432,IN_CARRY,1,MJ3,179,1.0973585321024656e-14
432,IN_CARRY,1,MJ1,179,4.268455958014431e-15
432,IN_CARRY,2,ATU1,0,0.19750598116081763
432,IN_CARRY,2,ATU5,0,0.4181799763533443
432,IN_CARRY,2,MJ3,0,0.17027240561033158
432,IN_CARRY,2,MJ1,0,0.28078065051862255
432,IN_CARRY,2,ATU1,29,0.004709776098238352
432,IN_CARRY,2,ATU5,29,0.0008869808863672346
432,IN_CARRY,2,MJ3,29,0.007100017352817406
432,IN_CARRY,2,MJ1,29,0.0029414122138053007
432,IN_CARRY,2,ATU1,179,9.631022097336996e-15
432,IN_CARRY,2,ATU5,179,9.131936936068503e-14
432,IN_CARRY,2,MJ3,179,1.9981292039404164e-13
432,IN_CARRY,2,MJ1,179,1.1079988434229636e-12
432,IN_RESET,0,ATU1,0,0.0
432,IN_RESET,0,ATU5,0,0.0
432,IN_RESET,0,MJ3,0,0.0
432,IN_RESET,0,MJ1,0,0.0
432,IN_RESET,0,ATU1,29,0.0
432,IN_RESET,0,ATU5,29,0.0
432,IN_RESET,0,MJ3,29,0.0
432,IN_RESET,0,MJ1,29,0.0
432,IN_RESET,0,ATU1,179,0.0
432,IN_RESET,0,ATU5,179,0.0
432,IN_RESET,0,MJ3,179,0.0
432,IN_RESET,0,MJ1,179,0.0
432,IN_RESET,1,ATU1,0,0.0
432,IN_RESET,1,ATU5,0,0.0
432,IN_RESET,1,MJ3,0,0.0
432,IN_RESET,1,MJ1,0,0.0
432,IN_RESET,1,ATU1,29,0.0
432,IN_RESET,1,ATU5,29,0.0
432,IN_RESET,1,MJ3,29,0.0
432,IN_RESET,1,MJ1,29,0.0
432,IN_RESET,1,ATU1,179,0.0
432,IN_RESET,1,ATU5,179,0.0
432,IN_RESET,1,MJ3,179,0.0
432,IN_RESET,1,MJ1,179,0.0
432,IN_RESET,2,ATU1,0,0.0
432,IN_RESET,2,ATU5,0,0.0
432,IN_RESET,2,MJ3,0,0.0
432,IN_RESET,2,MJ1,0,0.0
432,IN_RESET,2,ATU1,29,0.0
432,IN_RESET,2,ATU5,29,0.0
432,IN_RESET,2,MJ3,29,0.0
432,IN_RESET,2,MJ1,29,0.0
432,IN_RESET,2,ATU1,179,0.0
432,IN_RESET,2,ATU5,179,0.0
432,IN_RESET,2,MJ3,179,0.0
432,IN_RESET,2,MJ1,179,0.0
432,OOF_CARRY,0,ATU1,0,1.2698517278082218
432,OOF_CARRY,0,ATU5,0,0.27447146005157197
432,OOF_CARRY,0,MJ3,0,0.23631353831879337
432,OOF_CARRY,0,MJ1,0,0.8926361387856914
432,OOF_CARRY,0,ATU1,29,0.016574915905425383
432,OOF_CARRY,0,ATU5,29,0.03032460084471608
432,OOF_CARRY,0,MJ3,29,0.10479874222990691
432,OOF_CARRY,0,MJ1,29,0.047764700040666935
432,OOF_CARRY,0,ATU1,179,2.440062786019428e-12
432,OOF_CARRY,0,ATU5,179,4.804145519142338e-12
432,OOF_CARRY,0,MJ3,179,1.1272728027976528e-11
432,OOF_CARRY,0,MJ1,179,7.510839376552454e-12
432,OOF_CARRY,1,ATU1,0,0.44881059889850816
432,OOF_CARRY,1,ATU5,0,0.3467598768295477
432,OOF_CARRY,1,MJ3,0,0.42613154011902943
432,OOF_CARRY,1,MJ1,0,0.7660801893455684
432,OOF_CARRY,1,ATU1,29,0.0002652829563794874
432,OOF_CARRY,1,ATU5,29,0.0028793811005004416
432,OOF_CARRY,1,MJ3,29,0.002660423763077107
432,OOF_CARRY,1,MJ1,29,0.001537266026109094
432,OOF_CARRY,1,ATU1,179,5.775261003000109e-13
432,OOF_CARRY,1,ATU5,179,8.846206026230134e-13
432,OOF_CARRY,1,MJ3,179,1.0741806061032738e-11
432,OOF_CARRY,1,MJ1,179,1.4527440505786626e-12
432,OOF_CARRY,2,ATU1,0,0.2940213142203128
432,OOF_CARRY,2,ATU5,0,0.36915561583665546
432,OOF_CARRY,2,MJ3,0,0.2737093283657528
432,OOF_CARRY,2,MJ1,0,0.46284263016979477
432,OOF_CARRY,2,ATU1,29,9.958666491863022e-05
432,OOF_CARRY,2,ATU5,29,0.006008292869283661
432,OOF_CARRY,2,MJ3,29,0.000995903271320806
432,OOF_CARRY,2,MJ1,29,0.0006407504189526609
432,OOF_CARRY,2,ATU1,179,6.298052452893386e-12
432,OOF_CARRY,2,ATU5,179,8.836944066433297e-12
432,OOF_CARRY,2,MJ3,179,1.1503145984709876e-11
432,OOF_CARRY,2,MJ1,179,9.461655403779049e-12
432,OOF_RESET,0,ATU1,0,0.0
432,OOF_RESET,0,ATU5,0,0.0
432,OOF_RESET,0,MJ3,0,0.0
432,OOF_RESET,0,MJ1,0,0.0
432,OOF_RESET,0,ATU1,29,0.0
432,OOF_RESET,0,ATU5,29,0.0
432,OOF_RESET,0,MJ3,29,0.0
432,OOF_RESET,0,MJ1,29,0.0
432,OOF_RESET,0,ATU1,179,0.0
432,OOF_RESET,0,ATU5,179,0.0
432,OOF_RESET,0,MJ3,179,0.0
432,OOF_RESET,0,MJ1,179,0.0
432,OOF_RESET,1,ATU1,0,0.0
432,OOF_RESET,1,ATU5,0,0.0
432,OOF_RESET,1,MJ3,0,0.0
432,OOF_RESET,1,MJ1,0,0.0
432,OOF_RESET,1,ATU1,29,0.0
432,OOF_RESET,1,ATU5,29,0.0
432,OOF_RESET,1,MJ3,29,0.0
432,OOF_RESET,1,MJ1,29,0.0
432,OOF_RESET,1,ATU1,179,0.0
432,OOF_RESET,1,ATU5,179,0.0
432,OOF_RESET,1,MJ3,179,0.0
432,OOF_RESET,1,MJ1,179,0.0
432,OOF_RESET,2,ATU1,0,0.0
432,OOF_RESET,2,ATU5,0,0.0
432,OOF_RESET,2,MJ3,0,0.0
432,OOF_RESET,2,MJ1,0,0.0
432,OOF_RESET,2,ATU1,29,0.0
432,OOF_RESET,2,ATU5,29,0.0
432,OOF_RESET,2,MJ3,29,0.0
432,OOF_RESET,2,MJ1,29,0.0
432,OOF_RESET,2,ATU1,179,0.0
432,OOF_RESET,2,ATU5,179,0.0
432,OOF_RESET,2,MJ3,179,0.0
432,OOF_RESET,2,MJ1,179,0.0
612,IN_CARRY,0,ATU1,0,0.9639635065702067
612,IN_CARRY,0,ATU5,0,0.709267519974941
612,IN_CARRY,0,MJ3,0,0.7688553102767661
612,IN_CARRY,0,MJ1,0,0.8641412344944072
612,IN_CARRY,0,ATU1,29,0.0026760574157317168
612,IN_CARRY,0,ATU5,29,0.0009378408384625764
612,IN_CARRY,0,MJ3,29,0.0007870389074114447
612,IN_CARRY,0,MJ1,29,0.0012748365962836862
612,IN_CARRY,0,ATU1,179,5.96027780949535e-15
612,IN_CARRY,0,ATU5,179,2.7475433366338834e-15
612,IN_CARRY,0,MJ3,179,4.2080671906828785e-15
612,IN_CARRY,0,MJ1,179,2.258691071861742e-15
612,IN_CARRY,1,ATU1,0,1.3185000378214087
612,IN_CARRY,1,ATU5,0,1.3304685422522269
612,IN_CARRY,1,MJ3,0,0.6150188588434741
612,IN_CARRY,1,MJ1,0,1.014129081951768
612,IN_CARRY,1,ATU1,29,0.11477783903177549
612,IN_CARRY,1,ATU5,29,0.1438030333663553
612,IN_CARRY,1,MJ3,29,0.03278469112840493
612,IN_CARRY,1,MJ1,29,0.01146265128263299
612,IN_CARRY,1,ATU1,179,1.405804120786809e-10
612,IN_CARRY,1,ATU5,179,1.7401186555746086e-10
612,IN_CARRY,1,MJ3,179,1.2683850883447762e-11
612,IN_CARRY,1,MJ1,179,2.1431571983740938e-11
612,IN_CARRY,2,ATU1,0,1.7748563557610109
612,IN_CARRY,2,ATU5,0,1.3422450634496796
612,IN_CARRY,2,MJ3,0,0.7775109448655324
612,IN_CARRY,2,MJ1,0,0.805481565944364
612,IN_CARRY,2,ATU1,29,0.1440927367895192
612,IN_CARRY,2,ATU5,29,0.05048143624702336
612,IN_CARRY,2,MJ3,29,0.008847954251043543
612,IN_CARRY,2,MJ1,29,0.004044811208815628
612,IN_CARRY,2,ATU1,179,5.0400057323830185e-09
612,IN_CARRY,2,ATU5,179,1.3620346930261596e-08
612,IN_CARRY,2,MJ3,179,1.0036231119472556e-09
612,IN_CARRY,2,MJ1,179,2.1267008806196657e-09
612,IN_RESET,0,ATU1,0,0.0
612,IN_RESET,0,ATU5,0,0.0
612,IN_RESET,0,MJ3,0,0.0
612,IN_RESET,0,MJ1,0,0.0
612,IN_RESET,0,ATU1,29,0.0
612,IN_RESET,0,ATU5,29,0.0
612,IN_RESET,0,MJ3,29,0.0
612,IN_RESET,0,MJ1,29,0.0
612,IN_RESET,0,ATU1,179,0.0
612,IN_RESET,0,ATU5,179,0.0
612,IN_RESET,0,MJ3,179,0.0
612,IN_RESET,0,MJ1,179,0.0
612,IN_RESET,1,ATU1,0,0.0
612,IN_RESET,1,ATU5,0,0.0
612,IN_RESET,1,MJ3,0,0.0
612,IN_RESET,1,MJ1,0,0.0
612,IN_RESET,1,ATU1,29,0.0
612,IN_RESET,1,ATU5,29,0.0
612,IN_RESET,1,MJ3,29,0.0
612,IN_RESET,1,MJ1,29,0.0
612,IN_RESET,1,ATU1,179,0.0
612,IN_RESET,1,ATU5,179,0.0
612,IN_RESET,1,MJ3,179,0.0
612,IN_RESET,1,MJ1,179,0.0
612,IN_RESET,2,ATU1,0,0.0
612,IN_RESET,2,ATU5,0,0.0
612,IN_RESET,2,MJ3,0,0.0
612,IN_RESET,2,MJ1,0,0.0
612,IN_RESET,2,ATU1,29,0.0
612,IN_RESET,2,ATU5,29,0.0
612,IN_RESET,2,MJ3,29,0.0
612,IN_RESET,2,MJ1,29,0.0
612,IN_RESET,2,ATU1,179,0.0
612,IN_RESET,2,ATU5,179,0.0
612,IN_RESET,2,MJ3,179,0.0
612,IN_RESET,2,MJ1,179,0.0
612,OOF_CARRY,0,ATU1,0,1.7948316348880684
612,OOF_CARRY,0,ATU5,0,1.7709679783140342
612,OOF_CARRY,0,MJ3,0,0.8644190844237051
612,OOF_CARRY,0,MJ1,0,0.7383022032876202
612,OOF_CARRY,0,ATU1,29,0.09731525136892591
612,OOF_CARRY,0,ATU5,29,0.14894309505269634
612,OOF_CARRY,0,MJ3,29,0.037971458567136594
612,OOF_CARRY,0,MJ1,29,0.0017844037849547162
612,OOF_CARRY,0,ATU1,179,2.060226179922706e-10
612,OOF_CARRY,0,ATU5,179,1.566556423935787e-10
612,OOF_CARRY,0,MJ3,179,2.0689324341672105e-11
612,OOF_CARRY,0,MJ1,179,1.0383629202343652e-11
612,OOF_CARRY,1,ATU1,0,0.8721685736458352
612,OOF_CARRY,1,ATU5,0,1.2264281765455762
612,OOF_CARRY,1,MJ3,0,0.7814033574875167
612,OOF_CARRY,1,MJ1,0,0.6880316421510212
612,OOF_CARRY,1,ATU1,29,0.01008308165567562
612,OOF_CARRY,1,ATU5,29,0.01348468268190224
612,OOF_CARRY,1,MJ3,29,0.0024276217825820283
612,OOF_CARRY,1,MJ1,29,0.003036803826902353
612,OOF_CARRY,1,ATU1,179,5.159792897400648e-09
612,OOF_CARRY,1,ATU5,179,1.1498660344549854e-08
612,OOF_CARRY,1,MJ3,179,4.223137023594237e-09
612,OOF_CARRY,1,MJ1,179,6.617381965379554e-10
612,OOF_CARRY,2,ATU1,0,1.3733258153823265
612,OOF_CARRY,2,ATU5,0,1.3614060966139088
612,OOF_CARRY,2,MJ3,0,0.8185600501365876
612,OOF_CARRY,2,MJ1,0,0.70584380594169
612,OOF_CARRY,2,ATU1,29,0.021109316512998258
612,OOF_CARRY,2,ATU5,29,0.008667884880307257
612,OOF_CARRY,2,MJ3,29,0.006880277933510908
612,OOF_CARRY,2,MJ1,29,0.0021443264794152104
612,OOF_CARRY,2,ATU1,179,4.816872637435872e-11
612,OOF_CARRY,2,ATU5,179,2.570752240195803e-10
612,OOF_CARRY,2,MJ3,179,4.586572352341367e-12
612,OOF_CARRY,2,MJ1,179,4.635090328660853e-11
612,OOF_RESET,0,ATU1,0,0.0
612,OOF_RESET,0,ATU5,0,0.0
612,OOF_RESET,0,MJ3,0,0.0
612,OOF_RESET,0,MJ1,0,0.0
612,OOF_RESET,0,ATU1,29,0.0
612,OOF_RESET,0,ATU5,29,0.0
612,OOF_RESET,0,MJ3,29,0.0
612,OOF_RESET,0,MJ1,29,0.0
612,OOF_RESET,0,ATU1,179,0.0
612,OOF_RESET,0,ATU5,179,0.0
612,OOF_RESET,0,MJ3,179,0.0
612,OOF_RESET,0,MJ1,179,0.0
612,OOF_RESET,1,ATU1,0,0.0
612,OOF_RESET,1,ATU5,0,0.0
612,OOF_RESET,1,MJ3,0,0.0
612,OOF_RESET,1,MJ1,0,0.0
612,OOF_RESET,1,ATU1,29,0.0
612,OOF_RESET,1,ATU5,29,0.0
612,OOF_RESET,1,MJ3,29,0.0
612,OOF_RESET,1,MJ1,29,0.0
612,OOF_RESET,1,ATU1,179,0.0
612,OOF_RESET,1,ATU5,179,0.0
612,OOF_RESET,1,MJ3,179,0.0
612,OOF_RESET,1,MJ1,179,0.0
612,OOF_RESET,2,ATU1,0,0.0
612,OOF_RESET,2,ATU5,0,0.0
612,OOF_RESET,2,MJ3,0,0.0
612,OOF_RESET,2,MJ1,0,0.0
612,OOF_RESET,2,ATU1,29,0.0
612,OOF_RESET,2,ATU5,29,0.0
612,OOF_RESET,2,MJ3,29,0.0
612,OOF_RESET,2,MJ1,29,0.0
612,OOF_RESET,2,ATU1,179,0.0
612,OOF_RESET,2,ATU5,179,0.0
612,OOF_RESET,2,MJ3,179,0.0
612,OOF_RESET,2,MJ1,179,0.0
