fit_days,strategy,seed,station,lead,history_gradient_norm
612,IN_CARRY,2,ATU1,0,1.7748563557610109
612,IN_CARRY,2,ATU5,0,1.3422450634496796
612,IN_CARRY,2,MJ3,0,0.7775109448655324
612,IN_CARRY,2,MJ1,0,0.805481565944364
612,IN_CARRY,2,ATU1,29,0.1440927367895192
612,IN_CARRY,2,ATU5,29,0.05048143624702336
612,IN_CARRY,2,MJ3,29,0.008847954251043543
612,IN_CARRY,2,MJ1,29,0.004044811208815628
612,IN_CARRY,2,ATU1,179,5.0400057323830185e-09
612,IN_CARRY,2,ATU5,179,1.3620346930261596e-08
612,IN_CARRY,2,MJ3,179,1.0036231119472556e-09
612,IN_CARRY,2,MJ1,179,2.1267008806196657e-09
