fit_days,strategy,seed,station,lead,history_gradient_norm
612,OOF_CARRY,2,ATU1,0,1.3733258153823265
612,OOF_CARRY,2,ATU5,0,1.3614060966139088
612,OOF_CARRY,2,MJ3,0,0.8185600501365876
612,OOF_CARRY,2,MJ1,0,0.70584380594169
612,OOF_CARRY,2,ATU1,29,0.021109316512998258
612,OOF_CARRY,2,ATU5,29,0.008667884880307257
612,OOF_CARRY,2,MJ3,29,0.006880277933510908
612,OOF_CARRY,2,MJ1,29,0.0021443264794152104
612,OOF_CARRY,2,ATU1,179,4.816872637435872e-11
612,OOF_CARRY,2,ATU5,179,2.570752240195803e-10
612,OOF_CARRY,2,MJ3,179,4.586572352341367e-12
612,OOF_CARRY,2,MJ1,179,4.635090328660853e-11
