fit_days,strategy,seed,both_blocks_decreased,anchor_increased,paired_increased,final_anchor_below_initial,final_paired_below_initial
342,IN_CARRY,0,93,0,7,True,True
342,IN_CARRY,1,91,0,9,True,True
342,IN_CARRY,2,84,6,10,True,True
342,IN_RESET,0,96,0,4,True,True
342,IN_RESET,1,90,0,10,True,True
342,IN_RESET,2,84,6,10,True,True
342,OOF_CARRY,0,100,0,0,True,True
342,OOF_CARRY,1,86,0,14,True,True
342,OOF_CARRY,2,100,0,0,True,True
342,OOF_RESET,0,100,0,0,True,True
342,OOF_RESET,1,92,0,8,True,True
342,OOF_RESET,2,100,0,0,True,True
432,IN_CARRY,0,100,0,0,True,True
432,IN_CARRY,1,98,0,2,True,True
432,IN_CARRY,2,100,0,0,True,True
432,IN_RESET,0,100,0,0,True,True
432,IN_RESET,1,100,0,0,True,True
432,IN_RESET,2,100,0,0,True,True
432,OOF_CARRY,0,100,0,0,True,True
432,OOF_CARRY,1,100,0,0,True,True
432,OOF_CARRY,2,100,0,0,True,True
432,OOF_RESET,0,100,0,0,True,True
432,OOF_RESET,1,100,0,0,True,True
432,OOF_RESET,2,100,0,0,True,True
612,IN_CARRY,0,100,0,0,True,True
612,IN_CARRY,1,100,0,0,True,True
612,IN_CARRY,2,100,0,0,True,True
612,IN_RESET,0,100,0,0,True,True
612,IN_RESET,1,100,0,0,True,True
612,IN_RESET,2,100,0,0,True,True
612,OOF_CARRY,0,100,0,0,True,True
612,OOF_CARRY,1,98,1,1,True,True
612,OOF_CARRY,2,100,0,0,True,True
612,OOF_RESET,0,96,4,0,True,True
612,OOF_RESET,1,94,6,0,True,True
612,OOF_RESET,2,100,0,0,True,True
