origin,target,lead,block,teacher_IN,teacher_OOF,last_observation_index,weight
31,31,0,0,612,612,30,0.001718213058419244
31,37,6,0,612,612,30,0.001718213058419244
31,60,29,0,612,612,30,0.001718213058419244
31,90,59,0,612,612,30,0.001718213058419244
31,120,89,0,612,612,30,0.001718213058419244
31,150,119,0,612,612,30,0.001718213058419244
31,180,149,0,612,612,30,0.001718213058419244
31,210,179,0,612,612,30,0.001718213058419244
45,45,0,0,612,612,44,0.001718213058419244
45,51,6,0,612,612,44,0.001718213058419244
45,74,29,0,612,612,44,0.001718213058419244
45,104,59,0,612,612,44,0.001718213058419244
45,134,89,0,612,612,44,0.001718213058419244
45,164,119,0,612,612,44,0.001718213058419244
45,194,149,0,612,612,44,0.001718213058419244
45,224,179,0,612,612,44,0.001718213058419244
59,59,0,0,612,612,58,0.001718213058419244
59,65,6,0,612,612,58,0.001718213058419244
59,88,29,0,612,612,58,0.001718213058419244
59,118,59,0,612,612,58,0.001718213058419244
59,148,89,0,612,612,58,0.001718213058419244
59,178,119,0,612,612,58,0.001718213058419244
59,208,149,0,612,612,58,0.001718213058419244
59,238,179,0,612,612,58,0.001718213058419244
73,73,0,0,612,612,72,0.001718213058419244
73,79,6,0,612,612,72,0.001718213058419244
73,102,29,0,612,612,72,0.001718213058419244
73,132,59,0,612,612,72,0.001718213058419244
73,162,89,0,612,612,72,0.001718213058419244
73,192,119,0,612,612,72,0.001718213058419244
73,222,149,0,612,612,72,0.001718213058419244
73,252,179,0,612,612,72,0.001718213058419244
87,87,0,0,612,612,86,0.001718213058419244
87,93,6,0,612,612,86,0.001718213058419244
87,116,29,0,612,612,86,0.001718213058419244
87,146,59,0,612,612,86,0.001718213058419244
87,176,89,0,612,612,86,0.001718213058419244
87,206,119,0,612,612,86,0.001718213058419244
87,236,149,0,612,612,86,0.001718213058419244
87,266,179,0,612,612,86,0.001718213058419244
101,101,0,0,612,612,100,0.001718213058419244
101,107,6,0,612,612,100,0.001718213058419244
101,130,29,0,612,612,100,0.001718213058419244
101,160,59,0,612,612,100,0.001718213058419244
101,190,89,0,612,612,100,0.001718213058419244
101,220,119,0,612,612,100,0.001718213058419244
101,250,149,0,612,612,100,0.001718213058419244
101,280,179,0,612,612,100,0.001718213058419244
115,115,0,0,612,612,114,0.001718213058419244
115,121,6,0,612,612,114,0.001718213058419244
115,144,29,0,612,612,114,0.001718213058419244
115,174,59,0,612,612,114,0.001718213058419244
115,204,89,0,612,612,114,0.001718213058419244
115,234,119,0,612,612,114,0.001718213058419244
115,264,149,0,612,612,114,0.001718213058419244
115,294,179,0,612,612,114,0.001718213058419244
129,129,0,0,612,612,128,0.001718213058419244
129,135,6,0,612,612,128,0.001718213058419244
129,158,29,0,612,612,128,0.001718213058419244
129,188,59,0,612,612,128,0.001718213058419244
129,218,89,0,612,612,128,0.001718213058419244
129,248,119,0,612,612,128,0.001718213058419244
129,278,149,0,612,612,128,0.001718213058419244
129,308,179,0,612,612,128,0.001718213058419244
143,143,0,0,612,612,142,0.001718213058419244
143,149,6,0,612,612,142,0.001718213058419244
143,172,29,0,612,612,142,0.001718213058419244
143,202,59,0,612,612,142,0.001718213058419244
143,232,89,0,612,612,142,0.001718213058419244
143,262,119,0,612,612,142,0.001718213058419244
143,292,149,0,612,612,142,0.001718213058419244
143,322,179,0,612,612,142,0.001718213058419244
157,157,0,0,612,612,156,0.001718213058419244
157,163,6,0,612,612,156,0.001718213058419244
157,186,29,0,612,612,156,0.001718213058419244
157,216,59,0,612,612,156,0.001718213058419244
157,246,89,0,612,612,156,0.001718213058419244
157,276,119,0,612,612,156,0.001718213058419244
157,306,149,0,612,612,156,0.001718213058419244
157,336,179,0,612,612,156,0.001718213058419244
171,171,0,0,612,612,170,0.001718213058419244
171,177,6,0,612,612,170,0.001718213058419244
171,200,29,0,612,612,170,0.001718213058419244
171,230,59,0,612,612,170,0.001718213058419244
171,260,89,0,612,612,170,0.001718213058419244
171,290,119,0,612,612,170,0.001718213058419244
171,320,149,0,612,612,170,0.001718213058419244
171,350,179,0,612,612,170,0.001718213058419244
185,185,0,0,612,612,184,0.001718213058419244
