fit_days,comparison,station,C0_start,C1_start,simultaneously_improved
432,selected,ATU1,B,B,False
432,selected,ATU5,B,B,True
432,selected,MJ3,B,B,False
432,selected,MJ1,B,B,False
432,paired_A,ATU1,A,A,False
432,paired_A,ATU5,A,A,False
432,paired_A,MJ3,A,A,False
432,paired_A,MJ1,A,A,False
432,paired_B,ATU1,B,B,False
432,paired_B,ATU5,B,B,True
432,paired_B,MJ3,B,B,False
432,paired_B,MJ1,B,B,False
612,selected,ATU1,B,A,False
612,selected,ATU5,B,A,False
612,selected,MJ3,B,A,False
612,selected,MJ1,B,A,False
612,paired_A,ATU1,A,A,False
612,paired_A,ATU5,A,A,False
612,paired_A,MJ3,A,A,False
612,paired_A,MJ1,A,A,False
612,paired_B,ATU1,B,B,False
612,paired_B,ATU5,B,B,False
612,paired_B,MJ3,B,B,False
612,paired_B,MJ1,B,B,False
