fit_days,candidate,arm,start,stage,training_selected,objective,trajectory_objective,terminal_objective,increment_objective,original_objective,joint_objective
432,C0_A_final,C0,A,final,False,14.67720757773013,14.676281652253484,0.0009259254766452054,19.28554527419107,14.67720757773013,33.962752851921195
432,C0_B_final,C0,B,final,True,9.011946210941293,9.011158859888807,0.0007873510524852547,9.275646056670896,9.011946210941293,18.28759226761219
432,C1_A_final,C1,A,final,False,34.010309315954764,20.79947474260342,0.005380869516946416,13.205453703834399,20.804855612120367,34.010309315954764
432,C1_A_stage3,C1,A,stage3,False,40.83267048210673,23.822995056335643,0.0053867340282487556,17.004288691742836,23.828381790363892,40.83267048210673
432,C1_B_final,C1,B,final,True,16.367884340900286,8.93128751425096,0.0009502768911378174,7.4356465497581885,8.932237791142096,16.367884340900286
432,C1_B_stage3,C1,B,stage3,True,16.666203954181107,9.099383620063648,0.0012080119183098753,7.565612322199148,9.100591631981958,16.666203954181107
612,C0_A_final,C0,A,final,False,23.640274518641824,23.638226572143193,0.002047946498632286,31.51236146859624,23.640274518641824,55.152635987238064
612,C0_B_final,C0,B,final,True,13.111521786505296,13.11071518070292,0.0008066058023759742,19.33259525588525,13.111521786505296,32.444117042390545
612,C1_A_final,C1,A,final,True,41.801141857572986,20.663095918440817,0.0019615860159188955,21.13608435311625,20.665057504456737,41.801141857572986
612,C1_A_stage3,C1,A,stage3,True,42.10399096684179,20.855991730150766,0.0021468178329907077,21.245852418858036,20.858138547983756,42.10399096684179
612,C1_B_final,C1,B,final,False,52.78869383252883,31.9740389305212,0.0037934689408246933,20.810861433066805,31.977832399462024,52.78869383252883
612,C1_B_stage3,C1,B,stage3,False,53.00390965665128,32.16104878348645,0.003976784891814262,20.83888408827302,32.16502556837826,53.00390965665128
