fit_days,station,phase,T_recipe,V_recipe,T_rmse_mm,V_rmse_mm,change_rmse_mm,T_mae_mm,V_mae_mm,change_mae_mm,T_bias_mm,V_bias_mm,change_bias_mm
432,ATU1,train,B,A,9.663759325541797,9.695007569910576,0.031248244368779154,7.424712228000846,7.418216714017685,-0.006495513983161061,0.0284168980845774,0.3018022997985782,0.2733854017140008
432,ATU1,prediction,B,A,55.38600041877093,32.24916617743078,-23.136834241340146,54.51397089697244,30.036039166704107,-24.47793173026833,-54.51397089697244,-30.036039166704107,24.47793173026833
432,ATU5,train,B,A,4.005363489196313,12.199440504581291,8.194077015384979,2.8934151418710097,9.275025933986708,6.381610792115698,0.2736030300361978,0.0214799693704364,-0.2521230606657614
432,ATU5,prediction,B,A,140.06419011407704,41.92488797849843,-98.1393021355786,134.60639192010478,38.28745603372779,-96.31893588637699,-134.60639192010478,30.966172725263217,165.572564645368
432,MJ3,train,B,A,6.545388968296212,7.027264679667978,0.48187571137176555,5.642903753780939,6.070756035663442,0.4278522818825037,0.2836226039307987,0.5769553734784995,0.29333276954770077
432,MJ3,prediction,B,A,14.720515018928182,9.755932127576576,-4.964582891351606,12.545990697413943,8.284583044686128,-4.261407652727815,9.369023589531562,4.136412259083191,-5.23261133044837
432,MJ1,train,B,A,8.277645765670895,8.298742988369813,0.021097222698918117,6.927245936145315,6.86083847466137,-0.06640746148394516,-1.4748320227623013,-1.609079229423123,-0.1342472066608218
432,MJ1,prediction,B,A,21.87799244361273,17.93523281468258,-3.942759628930151,18.14408769179218,14.543174903401733,-3.6009127883904473,17.989047984031647,14.366793629725034,-3.6222543543066124
612,ATU1,train,B,A,8.205017090481677,11.055528081824074,2.8505109913423965,6.205121246043948,7.552866398190489,1.3477451521465413,2.669170126734383,0.2051448118087088,-2.464025314925674
612,ATU1,prediction,B,A,4.264416212270162,9.647104317382386,5.382688105112224,2.95704554757896,7.330830285657119,4.373784738078159,0.3749605518646828,7.297960758353375,6.923000206488693
612,ATU5,train,B,A,9.456274591068324,11.609881775411226,2.1536071843429028,7.9087461825111935,9.00146663248772,1.0927204499765262,-1.9849726051088803,0.1097538439517923,2.0947264490606727
612,ATU5,prediction,B,A,5.021708368573075,52.22671131076432,47.20500294219125,4.3470540930039006,36.67154935658959,32.32449526358569,-1.5134557591683089,33.57744755342511,35.09090331259342
612,MJ3,train,B,A,5.607264439348575,8.592797344703712,2.9855329053551367,4.851707010023787,7.552567196962683,2.700860186938896,-0.9885795183177032,-2.125276089959982,-1.136696571642279
612,MJ3,prediction,B,A,61.04552849517042,124.33704152965942,63.29151303448899,50.59326022797688,96.1531755902714,45.559915362294525,50.59326022797688,96.1531755902714,45.559915362294525
612,MJ1,train,B,A,5.503248859314612,8.557094835423914,3.0538459761093026,3.9236001083898864,5.675464493677506,1.7518643852876195,-0.2816614689197368,-0.72749197152263,-0.4458305026028932
612,MJ1,prediction,B,A,18.647526258184858,67.38395355036126,48.7364272921764,15.311142958359277,52.68310356770512,37.37196060934584,10.441309361315612,40.843125060015545,30.401815698699934
