fit_days,candidate,phase,station,days,rmse_mm,mae_mm,bias_mm
432,A,train,ATU1,402,9.695007569910576,7.418216714017685,0.3018022997985782
432,A,train,ATU5,402,12.199440504581291,9.275025933986708,0.021479969370436485
432,A,train,MJ3,402,7.027264679667978,6.070756035663442,0.5769553734784995
432,A,train,MJ1,402,8.298742988369813,6.86083847466137,-1.6090792294231233
432,A,train,four_point_mean,402,9.305113935632416,7.406209289582302,-0.1772103966939023
432,A,prediction,ATU1,180,32.24916617743078,30.036039166704107,-30.036039166704107
432,A,prediction,ATU5,180,41.92488797849843,38.28745603372779,30.966172725263217
432,A,prediction,MJ3,180,9.755932127576576,8.284583044686128,4.136412259083191
432,A,prediction,MJ1,180,17.93523281468258,14.543174903401733,14.366793629725034
432,A,prediction,four_point_mean,180,25.46630477454709,22.78781328712994,4.858334861841834
432,B,train,ATU1,402,9.663759325541795,7.424712228000846,0.028416898084577414
432,B,train,ATU5,402,4.005363489196313,2.8934151418710097,0.2736030300361978
432,B,train,MJ3,402,6.545388968296212,5.642903753780939,0.2836226039307987
432,B,train,MJ1,402,8.277645765670895,6.927245936145315,-1.4748320227623013
432,B,train,four_point_mean,402,7.123039387176304,5.7220692649495275,-0.22229737267768185
432,B,prediction,ATU1,180,55.38600041877093,54.51397089697244,-54.51397089697244
432,B,prediction,ATU5,180,140.06419011407704,134.60639192010478,-134.60639192010478
432,B,prediction,MJ3,180,14.720515018928182,12.545990697413945,9.369023589531562
432,B,prediction,MJ1,180,21.877992443612726,18.14408769179218,17.989047984031647
432,B,prediction,four_point_mean,180,58.012174498847216,54.952610301570836,-40.4405728108785
612,A,train,ATU1,582,11.055528081824074,7.552866398190489,0.2051448118087088
612,A,train,ATU5,582,11.609881775411226,9.00146663248772,0.1097538439517923
612,A,train,MJ3,582,8.592797344703712,7.552567196962683,-2.125276089959982
612,A,train,MJ1,582,8.557094835423914,5.675464493677506,-0.72749197152263
612,A,train,four_point_mean,582,9.953825509340732,7.4455911803295995,-0.6344673514305277
612,A,prediction,ATU1,180,9.647104317382386,7.330830285657119,7.297960758353375
612,A,prediction,ATU5,180,52.22671131076432,36.67154935658959,33.57744755342511
612,A,prediction,MJ3,180,124.33704152965942,96.1531755902714,96.1531755902714
612,A,prediction,MJ1,180,67.38395355036126,52.68310356770512,40.843125060015545
612,A,prediction,four_point_mean,180,63.39870267704184,48.20966470005581,44.46792724051636
612,B,train,ATU1,582,8.205017090481677,6.205121246043948,2.669170126734383
612,B,train,ATU5,582,9.456274591068324,7.9087461825111935,-1.9849726051088803
612,B,train,MJ3,582,5.607264439348575,4.851707010023787,-0.9885795183177032
612,B,train,MJ1,582,5.503248859314612,3.9236001083898864,-0.2816614689197368
612,B,train,four_point_mean,582,7.1929512450532975,5.722293636742204,-0.14651086640298439
612,B,prediction,ATU1,180,4.264416212270162,2.95704554757896,0.3749605518646828
612,B,prediction,ATU5,180,5.021708368573075,4.3470540930039006,-1.5134557591683089
612,B,prediction,MJ3,180,61.04552849517042,50.593260227976884,50.593260227976884
612,B,prediction,MJ1,180,18.647526258184858,15.311142958359275,10.441309361315612
612,B,prediction,four_point_mean,180,22.244794833549626,18.302125706729754,14.974018595497217
