fit_days,recipe,selected_by_training,station,feature,pearson,days
252,A,False,ATU1,rain_mm,-0.10004112654668261,180
252,A,False,ATU1,rain_sum30_mm,-0.7444595811308949,180
252,A,False,ATU1,rwl_m,0.5088185964944026,180
252,A,False,ATU1,rwl_change30_m,-0.3483194516604506,180
252,A,False,ATU5,rain_mm,-0.16284093892517548,180
252,A,False,ATU5,rain_sum30_mm,-0.6983600003552396,180
252,A,False,ATU5,rwl_m,0.7503970394774782,180
252,A,False,ATU5,rwl_change30_m,-0.2722513096021393,180
252,A,False,MJ3,rain_mm,0.05182050446545123,180
252,A,False,MJ3,rain_sum30_mm,-0.14474151005478705,180
252,A,False,MJ3,rwl_m,0.8969776917940574,180
252,A,False,MJ3,rwl_change30_m,0.2387893500315629,180
252,A,False,MJ1,rain_mm,0.22752195583884802,180
252,A,False,MJ1,rain_sum30_mm,0.903040728260764,180
252,A,False,MJ1,rwl_m,-0.05208651417005499,180
252,A,False,MJ1,rwl_change30_m,0.8295696063604252,180
252,B,True,ATU1,rain_mm,-0.1010738358529202,180
252,B,True,ATU1,rain_sum30_mm,-0.7431391956424752,180
252,B,True,ATU1,rwl_m,0.5053598615216065,180
252,B,True,ATU1,rwl_change30_m,-0.34767118280125586,180
252,B,True,ATU5,rain_mm,-0.16284115137447527,180
252,B,True,ATU5,rain_sum30_mm,-0.6983571936431698,180
252,B,True,ATU5,rwl_m,0.7503954985661037,180
252,B,True,ATU5,rwl_change30_m,-0.27225119165942957,180
252,B,True,MJ3,rain_mm,0.028656872296371684,180
252,B,True,MJ3,rain_sum30_mm,-0.35200643514595203,180
252,B,True,MJ3,rwl_m,0.8806983783616299,180
252,B,True,MJ3,rwl_change30_m,0.05436856877616344,180
252,B,True,MJ1,rain_mm,0.4300924593674517,180
252,B,True,MJ1,rain_sum30_mm,0.13208764307770615,180
252,B,True,MJ1,rwl_m,0.1827033380260052,180
252,B,True,MJ1,rwl_change30_m,0.38854905322636996,180
342,A,True,ATU1,rain_mm,-0.4231906756226248,180
342,A,True,ATU1,rain_sum30_mm,-0.8690534572697312,180
342,A,True,ATU1,rwl_m,-0.11329822169540352,180
342,A,True,ATU1,rwl_change30_m,-0.6994855104250899,180
342,A,True,ATU5,rain_mm,-0.34698692645192486,180
342,A,True,ATU5,rain_sum30_mm,-0.8912939328783798,180
342,A,True,ATU5,rwl_m,-0.35579319279863497,180
342,A,True,ATU5,rwl_change30_m,-0.7816166261588983,180
342,A,True,MJ3,rain_mm,-0.20341153920782912,180
342,A,True,MJ3,rain_sum30_mm,-0.2798526971821105,180
342,A,True,MJ3,rwl_m,0.36978232503533515,180
342,A,True,MJ3,rwl_change30_m,-0.18620978177024997,180
342,A,True,MJ1,rain_mm,0.06996433150032737,180
342,A,True,MJ1,rain_sum30_mm,-0.031014096252920075,180
342,A,True,MJ1,rwl_m,0.3745581139920099,180
342,A,True,MJ1,rwl_change30_m,-0.03656534914948748,180
342,B,False,ATU1,rain_mm,-0.3654336748210562,180
342,B,False,ATU1,rain_sum30_mm,-0.9088385039552964,180
342,B,False,ATU1,rwl_m,-0.25845005800893756,180
342,B,False,ATU1,rwl_change30_m,-0.7668517856429841,180
342,B,False,ATU5,rain_mm,-0.34834347190205733,180
342,B,False,ATU5,rain_sum30_mm,-0.8983971558042803,180
342,B,False,ATU5,rwl_m,-0.34713516602875893,180
342,B,False,ATU5,rwl_change30_m,-0.7857120274138549,180
342,B,False,MJ3,rain_mm,-0.21414808397431237,180
