origin,target,teacher
31,31,612
31,32,612
31,33,612
31,34,612
31,35,612
31,36,612
31,37,612
31,38,612
31,39,612
31,40,612
31,41,612
31,42,612
31,43,612
31,44,612
31,45,612
31,46,612
31,47,612
31,48,612
31,49,612
31,50,612
31,51,612
31,52,612
31,53,612
31,54,612
31,55,612
31,56,612
31,57,612
31,58,612
31,59,612
31,60,612
31,61,612
31,62,612
31,63,612
31,64,612
31,65,612
31,66,612
31,67,612
31,68,612
31,69,612
31,70,612
31,71,612
31,72,612
31,73,612
31,74,612
31,75,612
31,76,612
31,77,612
31,78,612
31,79,612
31,80,612
31,81,612
31,82,612
31,83,612
31,84,612
31,85,612
31,86,612
31,87,612
31,88,612
31,89,612
31,90,612
31,91,612
31,92,612
31,93,612
31,94,612
31,95,612
31,96,612
31,97,612
31,98,612
31,99,612
31,100,612
31,101,612
31,102,612
31,103,612
31,104,612
31,105,612
31,106,612
31,107,612
31,108,612
31,109,612
31,110,612
31,111,612
31,112,612
31,113,612
31,114,612
31,115,612
31,116,612
31,117,612
31,118,612
31,119,612
31,120,612
31,121,612
31,122,612
31,123,612
31,124,612
31,125,612
31,126,612
31,127,612
31,128,612
31,129,612
31,130,612
31,131,612
31,132,612
31,133,612
31,134,612
31,135,612
31,136,612
31,137,612
31,138,612
31,139,612
31,140,612
31,141,612
31,142,612
31,143,612
31,144,612
31,145,612
31,146,612
31,147,612
31,148,612
31,149,612
31,150,612
31,151,612
31,152,612
31,153,612
31,154,612
31,155,612
31,156,612
31,157,612
31,158,612
31,159,612
31,160,612
31,161,612
31,162,612
31,163,612
31,164,612
31,165,612
31,166,612
31,167,612
31,168,612
31,169,612
31,170,612
31,171,612
31,172,612
31,173,612
31,174,612
31,175,612
31,176,612
31,177,612
31,178,612
31,179,612
31,180,612
31,181,612
31,182,612
31,183,612
31,184,612
31,185,612
31,186,612
31,187,612
31,188,612
31,189,612
31,190,612
31,191,612
31,192,612
31,193,612
31,194,612
31,195,612
31,196,612
31,197,612
31,198,612
31,199,612
31,200,612
31,201,612
31,202,612
31,203,612
31,204,612
31,205,612
31,206,612
31,207,612
31,208,612
31,209,612
31,210,612
211,211,612
211,212,612
211,213,612
211,214,612
211,215,612
211,216,612
211,217,612
211,218,612
211,219,612
211,220,612
211,221,612
211,222,612
211,223,612
211,224,612
211,225,612
211,226,612
211,227,612
211,228,612
211,229,612
211,230,612
211,231,612
211,232,612
211,233,612
211,234,612
211,235,612
211,236,612
211,237,612
211,238,612
211,239,612
211,240,612
211,241,612
211,242,612
211,243,612
211,244,612
211,245,612
211,246,612
211,247,612
211,248,612
211,249,612
211,250,612
211,251,612
211,252,612
211,253,612
211,254,612
211,255,612
211,256,612
211,257,612
211,258,612
211,259,612
211,260,612
211,261,612
211,262,612
211,263,612
211,264,612
211,265,612
211,266,612
211,267,612
211,268,612
211,269,612
211,270,612
211,271,612
211,272,612
211,273,612
211,274,612
211,275,612
211,276,612
211,277,612
211,278,612
211,279,612
211,280,612
211,281,612
211,282,612
211,283,612
211,284,612
211,285,612
211,286,612
211,287,612
211,288,612
211,289,612
211,290,612
211,291,612
211,292,612
211,293,612
211,294,612
211,295,612
211,296,612
211,297,612
211,298,612
211,299,612
211,300,612
211,301,612
211,302,612
211,303,612
211,304,612
211,305,612
211,306,612
211,307,612
211,308,612
211,309,612
211,310,612
211,311,612
211,312,612
211,313,612
211,314,612
211,315,612
211,316,612
211,317,612
211,318,612
211,319,612
211,320,612
211,321,612
211,322,612
211,323,612
211,324,612
211,325,612
211,326,612
211,327,612
211,328,612
211,329,612
211,330,612
211,331,612
211,332,612
211,333,612
211,334,612
211,335,612
211,336,612
211,337,612
211,338,612
211,339,612
211,340,612
211,341,612
211,342,612
211,343,612
211,344,612
211,345,612
211,346,612
211,347,612
211,348,612
211,349,612
211,350,612
211,351,612
211,352,612
211,353,612
211,354,612
211,355,612
211,356,612
211,357,612
211,358,612
211,359,612
211,360,612
211,361,612
211,362,612
211,363,612
211,364,612
211,365,612
211,366,612
211,367,612
211,368,612
211,369,612
211,370,612
211,371,612
211,372,612
211,373,612
211,374,612
211,375,612
211,376,612
211,377,612
211,378,612
211,379,612
211,380,612
211,381,612
211,382,612
211,383,612
211,384,612
211,385,612
211,386,612
211,387,612
211,388,612
211,389,612
211,390,612
391,391,612
391,392,612
391,393,612
391,394,612
391,395,612
391,396,612
391,397,612
391,398,612
391,399,612
391,400,612
391,401,612
391,402,612
391,403,612
391,404,612
391,405,612
391,406,612
391,407,612
391,408,612
391,409,612
391,410,612
391,411,612
391,412,612
391,413,612
391,414,612
391,415,612
391,416,612
391,417,612
391,418,612
391,419,612
391,420,612
391,421,612
391,422,612
391,423,612
391,424,612
391,425,612
391,426,612
391,427,612
391,428,612
391,429,612
391,430,612
391,431,612
391,432,612
391,433,612
391,434,612
391,435,612
391,436,612
391,437,612
391,438,612
391,439,612
391,440,612
391,441,612
391,442,612
391,443,612
391,444,612
391,445,612
391,446,612
391,447,612
391,448,612
391,449,612
391,450,612
391,451,612
391,452,612
391,453,612
391,454,612
391,455,612
391,456,612
391,457,612
391,458,612
391,459,612
391,460,612
391,461,612
391,462,612
391,463,612
391,464,612
391,465,612
391,466,612
391,467,612
391,468,612
391,469,612
391,470,612
391,471,612
391,472,612
391,473,612
391,474,612
391,475,612
391,476,612
391,477,612
391,478,612
391,479,612
391,480,612
391,481,612
391,482,612
391,483,612
391,484,612
391,485,612
391,486,612
391,487,612
391,488,612
391,489,612
391,490,612
391,491,612
391,492,612
391,493,612
391,494,612
391,495,612
391,496,612
391,497,612
391,498,612
391,499,612
391,500,612
391,501,612
391,502,612
391,503,612
391,504,612
391,505,612
391,506,612
391,507,612
391,508,612
391,509,612
391,510,612
391,511,612
391,512,612
391,513,612
391,514,612
391,515,612
391,516,612
391,517,612
391,518,612
391,519,612
391,520,612
391,521,612
391,522,612
391,523,612
391,524,612
391,525,612
391,526,612
391,527,612
391,528,612
391,529,612
391,530,612
391,531,612
391,532,612
391,533,612
391,534,612
391,535,612
391,536,612
391,537,612
391,538,612
391,539,612
391,540,612
391,541,612
391,542,612
391,543,612
391,544,612
391,545,612
391,546,612
391,547,612
391,548,612
391,549,612
391,550,612
391,551,612
391,552,612
391,553,612
391,554,612
391,555,612
391,556,612
391,557,612
391,558,612
391,559,612
391,560,612
391,561,612
391,562,612
391,563,612
391,564,612
391,565,612
391,566,612
391,567,612
391,568,612
391,569,612
391,570,612
571,571,612
571,572,612
571,573,612
571,574,612
571,575,612
571,576,612
571,577,612
571,578,612
571,579,612
571,580,612
571,581,612
571,582,612
571,583,612
571,584,612
571,585,612
571,586,612
571,587,612
571,588,612
571,589,612
571,590,612
571,591,612
571,592,612
571,593,612
571,594,612
571,595,612
571,596,612
571,597,612
571,598,612
571,599,612
571,600,612
571,601,612
571,602,612
571,603,612
571,604,612
571,605,612
571,606,612
571,607,612
571,608,612
571,609,612
571,610,612
571,611,612
612,612,612
612,613,612
612,614,612
612,615,612
612,616,612
612,617,612
612,618,612
612,619,612
612,620,612
612,621,612
612,622,612
612,623,612
612,624,612
612,625,612
612,626,612
612,627,612
612,628,612
612,629,612
612,630,612
612,631,612
612,632,612
612,633,612
612,634,612
612,635,612
612,636,612
612,637,612
612,638,612
612,639,612
612,640,612
612,641,612
612,642,612
612,643,612
612,644,612
612,645,612
612,646,612
612,647,612
612,648,612
612,649,612
612,650,612
612,651,612
612,652,612
612,653,612
612,654,612
612,655,612
612,656,612
612,657,612
612,658,612
612,659,612
612,660,612
612,661,612
612,662,612
612,663,612
612,664,612
612,665,612
612,666,612
612,667,612
612,668,612
612,669,612
612,670,612
612,671,612
612,672,612
612,673,612
612,674,612
612,675,612
612,676,612
612,677,612
612,678,612
612,679,612
612,680,612
612,681,612
612,682,612
612,683,612
612,684,612
612,685,612
612,686,612
612,687,612
612,688,612
612,689,612
612,690,612
612,691,612
612,692,612
612,693,612
612,694,612
612,695,612
612,696,612
612,697,612
612,698,612
612,699,612
612,700,612
612,701,612
612,702,612
612,703,612
612,704,612
612,705,612
612,706,612
612,707,612
612,708,612
612,709,612
612,710,612
612,711,612
612,712,612
612,713,612
612,714,612
612,715,612
612,716,612
612,717,612
612,718,612
612,719,612
612,720,612
612,721,612
612,722,612
612,723,612
612,724,612
612,725,612
612,726,612
612,727,612
612,728,612
612,729,612
612,730,612
612,731,612
612,732,612
612,733,612
612,734,612
612,735,612
612,736,612
612,737,612
612,738,612
612,739,612
612,740,612
612,741,612
