origin,target,lead,block,teacher_IN,teacher_OOF,last_observation_index,weight
31,31,0,0,342,342,30,0.003676470588235294
31,37,6,0,342,342,30,0.003676470588235294
31,60,29,0,342,342,30,0.003676470588235294
31,90,59,0,342,342,30,0.003676470588235294
31,120,89,0,342,342,30,0.003676470588235294
31,150,119,0,342,342,30,0.003676470588235294
31,180,149,0,342,342,30,0.003676470588235294
31,210,179,0,342,342,30,0.003676470588235294
45,45,0,0,342,342,44,0.003676470588235294
45,51,6,0,342,342,44,0.003676470588235294
45,74,29,0,342,342,44,0.003676470588235294
45,104,59,0,342,342,44,0.003676470588235294
45,134,89,0,342,342,44,0.003676470588235294
45,164,119,0,342,342,44,0.003676470588235294
45,194,149,0,342,342,44,0.003676470588235294
45,224,179,0,342,342,44,0.003676470588235294
59,59,0,0,342,342,58,0.003676470588235294
59,65,6,0,342,342,58,0.003676470588235294
59,88,29,0,342,342,58,0.003676470588235294
59,118,59,0,342,342,58,0.003676470588235294
59,148,89,0,342,342,58,0.003676470588235294
59,178,119,0,342,342,58,0.003676470588235294
59,208,149,0,342,342,58,0.003676470588235294
59,238,179,0,342,342,58,0.003676470588235294
73,73,0,0,342,342,72,0.003676470588235294
73,79,6,0,342,342,72,0.003676470588235294
73,102,29,0,342,342,72,0.003676470588235294
73,132,59,0,342,342,72,0.003676470588235294
73,162,89,0,342,342,72,0.003676470588235294
73,192,119,0,342,342,72,0.003676470588235294
73,222,149,0,342,342,72,0.003676470588235294
73,252,179,0,342,342,72,0.003676470588235294
87,87,0,0,342,342,86,0.003676470588235294
87,93,6,0,342,342,86,0.003676470588235294
87,116,29,0,342,342,86,0.003676470588235294
87,146,59,0,342,342,86,0.003676470588235294
87,176,89,0,342,342,86,0.003676470588235294
87,206,119,0,342,342,86,0.003676470588235294
87,236,149,0,342,342,86,0.003676470588235294
87,266,179,0,342,342,86,0.003676470588235294
101,101,0,0,342,342,100,0.003676470588235294
101,107,6,0,342,342,100,0.003676470588235294
101,130,29,0,342,342,100,0.003676470588235294
101,160,59,0,342,342,100,0.003676470588235294
101,190,89,0,342,342,100,0.003676470588235294
101,220,119,0,342,342,100,0.003676470588235294
101,250,149,0,342,342,100,0.003676470588235294
101,280,179,0,342,342,100,0.003676470588235294
115,115,0,0,342,342,114,0.003676470588235294
115,121,6,0,342,342,114,0.003676470588235294
115,144,29,0,342,342,114,0.003676470588235294
115,174,59,0,342,342,114,0.003676470588235294
115,204,89,0,342,342,114,0.003676470588235294
115,234,119,0,342,342,114,0.003676470588235294
115,264,149,0,342,342,114,0.003676470588235294
115,294,179,0,342,342,114,0.003676470588235294
129,129,0,0,342,342,128,0.003676470588235294
129,135,6,0,342,342,128,0.003676470588235294
129,158,29,0,342,342,128,0.003676470588235294
129,188,59,0,342,342,128,0.003676470588235294
129,218,89,0,342,342,128,0.003676470588235294
129,248,119,0,342,342,128,0.003676470588235294
129,278,149,0,342,342,128,0.003676470588235294
129,308,179,0,342,342,128,0.003676470588235294
143,143,0,0,342,342,142,0.003676470588235294
143,149,6,0,342,342,142,0.003676470588235294
143,172,29,0,342,342,142,0.003676470588235294
143,202,59,0,342,342,142,0.003676470588235294
143,232,89,0,342,342,142,0.003676470588235294
143,262,119,0,342,342,142,0.003676470588235294
143,292,149,0,342,342,142,0.003676470588235294
143,322,179,0,342,342,142,0.003676470588235294
157,157,0,0,342,342,156,0.003676470588235294
157,163,6,0,342,342,156,0.003676470588235294
157,186,29,0,342,342,156,0.003676470588235294
157,216,59,0,342,342,156,0.003676470588235294
157,246,89,0,342,342,156,0.003676470588235294
157,276,119,0,342,342,156,0.003676470588235294
157,306,149,0,342,342,156,0.003676470588235294
157,336,179,0,342,342,156,0.003676470588235294
171,171,0,0,342,342,170,0.003676470588235294
171,177,6,0,342,342,170,0.003676470588235294
171,200,29,0,342,342,170,0.003676470588235294
171,230,59,0,342,342,170,0.003676470588235294
171,260,89,0,342,342,170,0.003676470588235294
171,290,119,0,342,342,170,0.003676470588235294
171,320,149,0,342,342,170,0.003676470588235294
185,185,0,0,342,342,184,0.003676470588235294
185,191,6,0,342,342,184,0.003676470588235294
185,214,29,0,342,342,184,0.003676470588235294
185,244,59,0,342,342,184,0.003676470588235294
185,274,89,0,342,342,184,0.003676470588235294
185,304,119,0,342,342,184,0.003676470588235294
185,334,149,0,342,342,184,0.003676470588235294
199,199,0,0,342,342,198,0.003676470588235294
199,205,6,0,342,342,198,0.003676470588235294
199,228,29,0,342,342,198,0.003676470588235294
199,258,59,0,342,342,198,0.003676470588235294
199,288,89,0,342,342,198,0.003676470588235294
199,318,119,0,342,342,198,0.003676470588235294
213,213,0,0,342,342,212,0.003676470588235294
213,219,6,0,342,342,212,0.003676470588235294
213,242,29,0,342,342,212,0.003676470588235294
213,272,59,0,342,342,212,0.003676470588235294
213,302,89,0,342,342,212,0.003676470588235294
213,332,119,0,342,342,212,0.003676470588235294
227,227,0,0,342,342,226,0.003676470588235294
227,233,6,0,342,342,226,0.003676470588235294
227,256,29,0,342,342,226,0.003676470588235294
227,286,59,0,342,342,226,0.003676470588235294
227,316,89,0,342,342,226,0.003676470588235294
241,241,0,0,342,342,240,0.003676470588235294
241,247,6,0,342,342,240,0.003676470588235294
241,270,29,0,342,342,240,0.003676470588235294
241,300,59,0,342,342,240,0.003676470588235294
241,330,89,0,342,342,240,0.003676470588235294
255,255,0,0,342,342,254,0.003676470588235294
255,261,6,0,342,342,254,0.003676470588235294
255,284,29,0,342,342,254,0.003676470588235294
255,314,59,0,342,342,254,0.003676470588235294
269,269,0,0,342,342,268,0.003676470588235294
269,275,6,0,342,342,268,0.003676470588235294
269,298,29,0,342,342,268,0.003676470588235294
269,328,59,0,342,342,268,0.003676470588235294
283,283,0,0,342,342,282,0.003676470588235294
283,289,6,0,342,342,282,0.003676470588235294
283,312,29,0,342,342,282,0.003676470588235294
297,297,0,0,342,342,296,0.003676470588235294
297,303,6,0,342,342,296,0.003676470588235294
297,326,29,0,342,342,296,0.003676470588235294
311,311,0,0,342,342,310,0.003676470588235294
311,317,6,0,342,342,310,0.003676470588235294
311,340,29,0,342,342,310,0.003676470588235294
325,325,0,0,342,342,324,0.003676470588235294
325,331,6,0,342,342,324,0.003676470588235294
339,339,0,0,342,342,338,0.003676470588235294
252,252,0,1,342,252,251,0.005555555555555556
252,253,1,1,342,252,251,0.005555555555555556
252,254,2,1,342,252,251,0.005555555555555556
252,255,3,1,342,252,251,0.005555555555555556
252,256,4,1,342,252,251,0.005555555555555556
252,257,5,1,342,252,251,0.005555555555555556
252,258,6,1,342,252,251,0.005555555555555556
252,259,7,1,342,252,251,0.005555555555555556
252,260,8,1,342,252,251,0.005555555555555556
252,261,9,1,342,252,251,0.005555555555555556
252,262,10,1,342,252,251,0.005555555555555556
252,263,11,1,342,252,251,0.005555555555555556
252,264,12,1,342,252,251,0.005555555555555556
252,265,13,1,342,252,251,0.005555555555555556
