origin,seed,policy,origin_draws,query_draws,fresh_origin_draws,fresh_queries,fresh_h1,all_h1
612,0,uniform,800,12800,5,80,0,491
612,0,boundary,800,12800,200,3200,209,665
612,1,uniform,800,12800,1,16,0,392
612,1,boundary,800,12800,200,3200,206,616
612,2,uniform,800,12800,4,64,0,448
612,2,boundary,800,12800,201,3216,208,644
792,0,uniform,800,12800,5,80,0,267
792,0,boundary,800,12800,201,3216,206,534
792,1,uniform,800,12800,6,96,0,244
792,1,boundary,800,12800,201,3216,204,529
792,2,uniform,800,12800,4,64,1,250
792,2,boundary,800,12800,201,3216,205,545
972,0,uniform,800,12800,4,64,1,204
972,0,boundary,800,12800,202,3232,208,503
972,1,uniform,800,12800,1,16,0,160
972,1,boundary,800,12800,200,3200,204,488
972,2,uniform,800,12800,2,32,0,193
972,2,boundary,800,12800,202,3232,205,512
1168,0,uniform,800,12800,1,16,0,162
1168,0,boundary,800,12800,200,3200,204,477
1168,1,uniform,800,12800,5,80,0,145
1168,1,boundary,800,12800,202,3232,203,479
1168,2,uniform,800,12800,3,48,1,160
1168,2,boundary,800,12800,200,3200,204,495
