origin,arm,seed,horizon,point,baseline_teacher,input_teacher,coherent,bplus_mean_residual_mm,bplus_rmse_mm,correction_mean_mm,forecast_rmse_mm,new_minus_old_bplus_mean_mm,required_correction_change_mm,actual_correction_change_mm,half_target_mean_mm,error_to_half_target_mean_mm,half_target_change_mm
1168,GRU_LOCAL,ensemble,97,ATU1,1168,1168,True,-2.6105454332132707,2.8970077854703575,-8.3336251947226714,7.6631279974694495,-70.602341539675606,70.602341539675606,27.168564528268657,-1.3052727166066354,-7.0283524781160356,35.301170769837803
1168,GRU_LOCAL,ensemble,97,ATU5,1168,1168,True,-3.602176904879737,4.6145529647169354,-11.147077052671376,10.597861668562484,-73.923371666775168,73.923371666775168,25.727480360055154,-1.8010884524398685,-9.3459886002315073,36.961685833387584
1168,GRU_LOCAL,ensemble,97,MJ3,1168,1168,True,1.571389257763314,1.6314000677056413,-9.9563082003793681,11.885920633840676,-100.9836890478674,100.9836890478674,46.088010855996565,0.78569462888165698,-10.742002829261025,50.4918445239337
1168,GRU_LOCAL,ensemble,97,MJ1,1168,1168,True,-4.8268184211630887,5.4743305616201088,-10.284849480955154,7.0884814337310615,-96.970694561070246,96.970694561070246,34.74307008033923,-2.4134092105815443,-7.8714402703736095,48.485347280535123
1168,GRU_LOCAL,ensemble,97,ATU1,792,792,True,-73.212886972888867,73.309125284674963,-35.502189722991332,37.964450490752959,-70.602341539675606,70.602341539675606,27.168564528268657,-36.606443486444434,1.1042537634531016,35.301170769837803
1168,GRU_LOCAL,ensemble,97,ATU5,792,792,True,-77.525548571654909,77.715935168480939,-36.874557412726531,41.099259346087031,-73.923371666775168,73.923371666775168,25.727480360055154,-38.762774285827454,1.888216873100923,36.961685833387584
1168,GRU_LOCAL,ensemble,97,MJ3,792,792,True,-99.412299790104129,99.518233059630973,-56.044319056375933,43.651537061098828,-100.9836890478674,100.9836890478674,46.088010855996565,-49.706149895052064,-6.3381691613238687,50.4918445239337
1168,GRU_LOCAL,ensemble,97,MJ1,792,792,True,-101.79751298223334,102.04081060767794,-45.027919561294382,57.179658556912187,-96.970694561070246,96.970694561070246,34.74307008033923,-50.898756491116671,5.8708369298222891,48.485347280535123
1168,GRU_GRAPH,ensemble,97,ATU1,1168,1168,True,-2.6105454332132707,2.8970077854703575,-8.4618520905038359,7.7236953453622048,-70.602341539675606,70.602341539675606,26.927028979139621,-1.3052727166066354,-7.1565793738972001,35.301170769837803
1168,GRU_GRAPH,ensemble,97,ATU5,1168,1168,True,-3.602176904879737,4.6145529647169354,-11.391798020062325,10.704834010447192,-73.923371666775168,73.923371666775168,25.498744638714371,-1.8010884524398685,-9.5907095676224561,36.961685833387584
