origin,seed,query_draws,origin_draws,fresh_origin_draws,fresh_origin_ids,fresh_query_draws,fresh_h1,fresh_h1_7,all_h1,all_h1_7
612,0,12800,800,5,432,80,0,1,491,2263
612,1,12800,800,1,432,16,0,0,392,2078
612,2,12800,800,4,432,64,0,3,448,2134
792,0,12800,800,5,"432,612",80,0,1,267,1381
792,1,12800,800,6,"432,612",96,0,6,244,1217
792,2,12800,800,4,"432,612",64,1,2,250,1272
972,0,12800,800,4,"432,792",64,1,2,204,1007
972,1,12800,800,1,792,16,0,2,160,882
972,2,12800,800,2,"432,612",32,0,1,193,940
1168,0,12800,800,1,432,16,0,0,162,826
1168,1,12800,800,5,"612,792",80,0,2,145,715
1168,2,12800,800,3,612,48,1,2,160,766
