origin,arm,seed,horizon,point,physics_teacher,residual_teacher,correction_mean_mm,required_residual_mean_mm
612,GRU_LOCAL,0,292,ATU1,432,432,25.663674839801949,-4.2168799406164323
612,GRU_LOCAL,0,292,ATU5,432,432,74.622187654803795,-4.5160254806391276
612,GRU_LOCAL,0,292,MJ3,432,432,-12.648285640969013,-77.560651055115002
612,GRU_LOCAL,0,292,MJ1,432,432,-15.830566568995387,-22.575542523130032
612,GRU_LOCAL,0,292,ATU1,432,612,2.0095482955516766,-4.2168799406164323
612,GRU_LOCAL,0,292,ATU5,432,612,20.384697315802782,-4.5160254806391276
612,GRU_LOCAL,0,292,MJ3,432,612,-1.3689167748217925,-77.560651055115002
612,GRU_LOCAL,0,292,MJ1,432,612,-2.2364958537188944,-22.575542523130032
612,GRU_LOCAL,0,292,ATU1,612,432,28.354447381865157,-4.2168799406164323
612,GRU_LOCAL,0,292,ATU5,612,432,67.919270727988248,-4.5160254806391276
612,GRU_LOCAL,0,292,MJ3,612,432,-11.093440972575362,-77.560651055115002
612,GRU_LOCAL,0,292,MJ1,612,432,-14.200168587800256,-22.575542523130032
612,GRU_LOCAL,0,292,ATU1,612,612,4.3946670848174465,-4.2168799406164323
612,GRU_LOCAL,0,292,ATU5,612,612,8.3562598844427978,-4.5160254806391276
612,GRU_LOCAL,0,292,MJ3,612,612,0.53698774918165881,-77.560651055115002
612,GRU_LOCAL,0,292,MJ1,612,612,-0.3655266057065476,-22.575542523130032
612,GRU_LOCAL,1,292,ATU1,432,432,26.522107049804486,-4.2168799406164323
612,GRU_LOCAL,1,292,ATU5,432,432,76.82905154060775,-4.5160254806391276
612,GRU_LOCAL,1,292,MJ3,432,432,-16.287192163170364,-77.560651055115002
612,GRU_LOCAL,1,292,MJ1,432,432,-18.832144650676383,-22.575542523130032
612,GRU_LOCAL,1,292,ATU1,432,612,2.5313005486275251,-4.2168799406164323
612,GRU_LOCAL,1,292,ATU5,432,612,20.758402210171408,-4.5160254806391276
612,GRU_LOCAL,1,292,MJ3,432,612,-5.2696993585247895,-77.560651055115002
612,GRU_LOCAL,1,292,MJ1,432,612,-6.2372345945145113,-22.575542523130032
612,GRU_LOCAL,1,292,ATU1,612,432,28.895021945479876,-4.2168799406164323
612,GRU_LOCAL,1,292,ATU5,612,432,72.648139947800644,-4.5160254806391276
612,GRU_LOCAL,1,292,MJ3,612,432,-13.366961509675519,-77.560651055115002
612,GRU_LOCAL,1,292,MJ1,612,432,-15.605252506807934,-22.575542523130032
612,GRU_LOCAL,1,292,ATU1,612,612,4.81543454761644,-4.2168799406164323
612,GRU_LOCAL,1,292,ATU5,612,612,3.4533254514298206,-4.5160254806391276
612,GRU_LOCAL,1,292,MJ3,612,612,-1.9953544647476298,-77.560651055115002
612,GRU_LOCAL,1,292,MJ1,612,612,-2.5192209969670705,-22.575542523130032
612,GRU_LOCAL,2,292,ATU1,432,432,24.692709488786132,-4.2168799406164323
612,GRU_LOCAL,2,292,ATU5,432,432,72.202733575843368,-4.5160254806391276
612,GRU_LOCAL,2,292,MJ3,432,432,-15.06816130504242,-77.560651055115002
612,GRU_LOCAL,2,292,MJ1,432,432,-17.002976909366762,-22.575542523130032
612,GRU_LOCAL,2,292,ATU1,432,612,-1.9709971523573155,-4.2168799406164323
612,GRU_LOCAL,2,292,ATU5,432,612,23.579374022804171,-4.5160254806391276
612,GRU_LOCAL,2,292,MJ3,432,612,-4.6654137156134077,-77.560651055115002
612,GRU_LOCAL,2,292,MJ1,432,612,-6.2710679925414121,-22.575542523130032
612,GRU_LOCAL,2,292,ATU1,612,432,26.681576080827742,-4.2168799406164323
612,GRU_LOCAL,2,292,ATU5,612,432,63.380047651348171,-4.5160254806391276
612,GRU_LOCAL,2,292,MJ3,612,432,-13.451698055846393,-77.560651055115002
