model,phase,station,metric,value
M0,train,ATU1,mae,7.991466305348948
M0,train,ATU5,mae,12.371456182607602
M0,train,MJ3,mae,11.41887299723195
M0,train,MJ1,mae,6.543584625410901
M0,train,point_mean,mae,9.58134502764985
M0,train,ATU1,rmse,12.12061220337945
M0,train,ATU5,rmse,16.622195814887352
M0,train,MJ3,rmse,14.546922536462928
M0,train,MJ1,rmse,8.039703889952271
M0,train,point_mean,rmse,12.8323586111705
M0,train,pooled,rmse,13.223619283436893
M0,prediction,ATU1,mae,35.97756723316945
M0,prediction,ATU5,mae,43.55499084906868
M0,prediction,MJ3,mae,20.525886341157616
M0,prediction,MJ1,mae,33.00210298445223
M0,prediction,point_mean,mae,33.26513685196199
M0,prediction,ATU1,rmse,40.328442814079295
M0,prediction,ATU5,rmse,48.518020357563614
M0,prediction,MJ3,rmse,36.377155092530664
M0,prediction,MJ1,rmse,40.24986922358542
M0,prediction,point_mean,rmse,41.36837187193975
M0,prediction,pooled,rmse,41.604479880077754
v1.1-e0,train,ATU1,mae,7.991466305348942
v1.1-e0,train,ATU5,mae,12.371456182607602
v1.1-e0,train,MJ3,mae,11.41887299723195
v1.1-e0,train,MJ1,mae,6.543584625410904
v1.1-e0,train,point_mean,mae,9.58134502764985
v1.1-e0,train,ATU1,rmse,12.120612203379453
v1.1-e0,train,ATU5,rmse,16.622195814887352
v1.1-e0,train,MJ3,rmse,14.54692253646293
v1.1-e0,train,MJ1,rmse,8.039703889952275
v1.1-e0,train,point_mean,rmse,12.832358611170502
v1.1-e0,train,ATU1,crps,6.0988116472346645
v1.1-e0,train,ATU5,crps,8.891175617286315
v1.1-e0,train,MJ3,crps,8.36324686528694
v1.1-e0,train,MJ1,crps,4.905674619629014
v1.1-e0,train,point_mean,crps,7.064727187359233
v1.1-e0,train,ATU1,coverage_80,0.9251968503937008
v1.1-e0,train,ATU5,coverage_80,0.7440944881889764
v1.1-e0,train,MJ3,coverage_80,0.65748031496063
v1.1-e0,train,MJ1,coverage_80,0.9671916010498688
v1.1-e0,train,point_mean,coverage_80,0.823490813648294
v1.1-e0,train,ATU1,width_80,33.89350009961352
v1.1-e0,train,ATU5,width_80,33.89350009961352
v1.1-e0,train,MJ3,width_80,33.89350009961363
v1.1-e0,train,MJ1,width_80,33.893500099613625
v1.1-e0,train,point_mean,width_80,33.893500099613576
v1.1-e0,train,ATU1,interval_score_80,46.17878651826304
v1.1-e0,train,ATU5,interval_score_80,57.58421492074796
v1.1-e0,train,MJ3,interval_score_80,53.54590724803451
v1.1-e0,train,MJ1,interval_score_80,34.2482269909722
v1.1-e0,train,point_mean,interval_score_80,47.88928391950443
v1.1-e0,train,ATU1,coverage_90,0.9422572178477691
v1.1-e0,train,ATU5,coverage_90,0.8871391076115486
v1.1-e0,train,MJ3,coverage_90,0.7545931758530183
v1.1-e0,train,MJ1,coverage_90,1.0
v1.1-e0,train,point_mean,coverage_90,0.895997375328084
v1.1-e0,train,ATU1,width_90,43.50183614124835
v1.1-e0,train,ATU5,width_90,43.50183614124835
v1.1-e0,train,MJ3,width_90,43.501836141248226
v1.1-e0,train,MJ1,width_90,43.50183614124842
v1.1-e0,train,point_mean,width_90,43.50183614124833
v1.1-e0,train,ATU1,interval_score_90,61.823922065880204
v1.1-e0,train,ATU5,interval_score_90,73.1162829161285
v1.1-e0,train,MJ3,interval_score_90,53.72047569985527
v1.1-e0,train,MJ1,interval_score_90,43.50183614124842
v1.1-e0,train,point_mean,interval_score_90,58.0406292057781
v1.1-e0,train,ATU1,coverage_95,0.9553805774278216
v1.1-e0,train,ATU5,coverage_95,0.9330708661417323
v1.1-e0,train,MJ3,coverage_95,0.968503937007874
v1.1-e0,train,MJ1,coverage_95,1.0
v1.1-e0,train,point_mean,coverage_95,0.964238845144357
v1.1-e0,train,ATU1,width_95,51.83563567929635
v1.1-e0,train,ATU5,width_95,51.835635679296466
v1.1-e0,train,MJ3,width_95,51.835635679296665
v1.1-e0,train,MJ1,width_95,51.835635679296665
v1.1-e0,train,point_mean,width_95,51.83563567929654
v1.1-e0,train,ATU1,interval_score_95,79.7925160766402
v1.1-e0,train,ATU5,interval_score_95,97.45381633592012
v1.1-e0,train,MJ3,interval_score_95,52.73928919069236
v1.1-e0,train,MJ1,interval_score_95,51.835635679296665
v1.1-e0,train,point_mean,interval_score_95,70.45531432063734
v1.1-e0,train,pooled,rmse,13.223619283436893
v1.1-e0,prediction,ATU1,mae,35.97756723316945
v1.1-e0,prediction,ATU5,mae,43.55499084906868
v1.1-e0,prediction,MJ3,mae,20.525886341157616
v1.1-e0,prediction,MJ1,mae,33.00210298445224
v1.1-e0,prediction,point_mean,mae,33.265136851962
v1.1-e0,prediction,ATU1,rmse,40.328442814079295
v1.1-e0,prediction,ATU5,rmse,48.518020357563614
v1.1-e0,prediction,MJ3,rmse,36.377155092530664
v1.1-e0,prediction,MJ1,rmse,40.24986922358542
v1.1-e0,prediction,point_mean,rmse,41.36837187193975
v1.1-e0,prediction,ATU1,crps,29.680364798935226
v1.1-e0,prediction,ATU5,crps,37.37794887783971
v1.1-e0,prediction,MJ3,crps,18.60902121840634
v1.1-e0,prediction,MJ1,crps,26.79504843175213
v1.1-e0,prediction,point_mean,crps,28.11559583173335
v1.1-e0,prediction,ATU1,coverage_80,0.2047872340425532
v1.1-e0,prediction,ATU5,coverage_80,0.2074468085106383
v1.1-e0,prediction,MJ3,coverage_80,0.7287234042553191
v1.1-e0,prediction,MJ1,coverage_80,0.21808510638297873
v1.1-e0,prediction,point_mean,coverage_80,0.33976063829787234
v1.1-e0,prediction,ATU1,width_80,33.89350009961365
v1.1-e0,prediction,ATU5,width_80,33.893500099613895
v1.1-e0,prediction,MJ3,width_80,33.893500099613505
v1.1-e0,prediction,MJ1,width_80,33.893500099613725
v1.1-e0,prediction,point_mean,width_80,33.893500099613696
v1.1-e0,prediction,ATU1,interval_score_80,245.3486213918415
v1.1-e0,prediction,ATU5,interval_score_80,323.2928791131418
v1.1-e0,prediction,MJ3,interval_score_80,167.376848026069
v1.1-e0,prediction,MJ1,interval_score_80,214.32216949345434
v1.1-e0,prediction,point_mean,interval_score_80,237.58512950612663
v1.1-e0,prediction,ATU1,coverage_90,0.21010638297872342
v1.1-e0,prediction,ATU5,coverage_90,0.2127659574468085
v1.1-e0,prediction,MJ3,coverage_90,0.7393617021276596
v1.1-e0,prediction,MJ1,coverage_90,0.2872340425531915
v1.1-e0,prediction,point_mean,coverage_90,0.3623670212765957
v1.1-e0,prediction,ATU1,width_90,43.50183614124907
v1.1-e0,prediction,ATU5,width_90,43.50183614124911
v1.1-e0,prediction,MJ3,width_90,43.50183614124767
v1.1-e0,prediction,MJ1,width_90,43.50183614124874
v1.1-e0,prediction,point_mean,width_90,43.501836141248646
v1.1-e0,prediction,ATU1,interval_score_90,390.37215448761174
v1.1-e0,prediction,ATU5,interval_score_90,546.5177285589542
v1.1-e0,prediction,MJ3,interval_score_90,284.8938805946844
v1.1-e0,prediction,MJ1,interval_score_90,331.9710558459845
v1.1-e0,prediction,point_mean,interval_score_90,388.4387048718087
v1.1-e0,prediction,ATU1,coverage_95,0.2154255319148936
v1.1-e0,prediction,ATU5,coverage_95,0.2154255319148936
v1.1-e0,prediction,MJ3,coverage_95,0.7446808510638298
v1.1-e0,prediction,MJ1,coverage_95,0.3696808510638298
v1.1-e0,prediction,point_mean,coverage_95,0.3863031914893617
v1.1-e0,prediction,ATU1,width_95,51.835635679297035
v1.1-e0,prediction,ATU5,width_95,51.835635679297134
v1.1-e0,prediction,MJ3,width_95,51.8356356792971
v1.1-e0,prediction,MJ1,width_95,51.83563567929722
v1.1-e0,prediction,point_mean,width_95,51.83563567929712
v1.1-e0,prediction,ATU1,interval_score_95,614.3918689631907
v1.1-e0,prediction,ATU5,interval_score_95,926.9038959353436
v1.1-e0,prediction,MJ3,interval_score_95,491.60777967314965
v1.1-e0,prediction,MJ1,interval_score_95,516.5515044442225
v1.1-e0,prediction,point_mean,interval_score_95,637.3637622539766
v1.1-e0,prediction,pooled,rmse,41.604479880077754
PINN,train,ATU1,mae,48.83310034276472
PINN,train,ATU5,mae,47.36001623074856
PINN,train,MJ3,mae,27.881615432439325
PINN,train,MJ1,mae,12.672155544676624
PINN,train,point_mean,mae,34.18672188765731
PINN,train,ATU1,rmse,57.09020415640713
PINN,train,ATU5,rmse,56.02795655853323
PINN,train,MJ3,rmse,35.22006736171718
PINN,train,MJ1,rmse,15.366943104329229
PINN,train,point_mean,rmse,40.926292795246695
PINN,train,ATU1,crps,40.14847569693212
PINN,train,ATU5,crps,39.15728380080156
PINN,train,MJ3,crps,21.268517649884583
PINN,train,MJ1,crps,8.74137256182584
PINN,train,point_mean,crps,27.328912427361026
PINN,train,ATU1,coverage_80,0.25984251968503935
PINN,train,ATU5,coverage_80,0.30183727034120733
PINN,train,MJ3,coverage_80,0.5131233595800525
PINN,train,MJ1,coverage_80,0.800524934383202
PINN,train,point_mean,coverage_80,0.4688320209973753
PINN,train,ATU1,width_80,48.358876275627345
PINN,train,ATU5,width_80,48.55504672029857
PINN,train,MJ3,width_80,47.44717585969396
PINN,train,MJ1,width_80,42.50732707638159
PINN,train,point_mean,width_80,46.717106483000364
PINN,train,ATU1,interval_score_80,326.81494958763375
PINN,train,ATU5,interval_score_80,320.8263508311489
PINN,train,MJ3,interval_score_80,153.44836419095358
PINN,train,MJ1,interval_score_80,51.32779041257596
PINN,train,point_mean,interval_score_80,213.10436375557805
PINN,train,ATU1,coverage_90,0.3241469816272966
PINN,train,ATU5,coverage_90,0.35958005249343833
PINN,train,MJ3,coverage_90,0.5866141732283464
PINN,train,MJ1,coverage_90,0.952755905511811
PINN,train,point_mean,coverage_90,0.5557742782152231
PINN,train,ATU1,width_90,62.06680928817917
PINN,train,ATU5,width_90,62.3191041275581
PINN,train,MJ3,width_90,60.897661553931435
PINN,train,MJ1,width_90,54.56095919349747
PINN,train,point_mean,width_90,59.96113354079154
PINN,train,ATU1,interval_score_90,522.2298855203179
PINN,train,ATU5,interval_score_90,515.0191175365486
PINN,train,MJ3,interval_score_90,211.3882402394663
PINN,train,MJ1,interval_score_90,59.090670135261774
PINN,train,point_mean,interval_score_90,326.93197835789863
PINN,train,ATU1,coverage_95,0.39763779527559057
PINN,train,ATU5,coverage_95,0.4041994750656168
PINN,train,MJ3,coverage_95,0.6404199475065617
PINN,train,MJ1,coverage_95,0.9816272965879265
PINN,train,point_mean,coverage_95,0.6059711286089239
PINN,train,ATU1,width_95,73.95573605687532
PINN,train,ATU5,width_95,74.25691280277779
PINN,train,MJ3,width_95,72.56388190889511
PINN,train,MJ1,width_95,65.01772449751324
PINN,train,point_mean,width_95,71.44856381651537
PINN,train,ATU1,interval_score_95,841.9148134577089
PINN,train,ATU5,interval_score_95,832.5546805316815
PINN,train,MJ3,interval_score_95,276.8101111951408
PINN,train,MJ1,interval_score_95,67.76642596809612
PINN,train,point_mean,interval_score_95,504.7615077881568
PINN,train,pooled,rmse,44.37065306055546
PINN,prediction,ATU1,mae,212.2379856597198
PINN,prediction,ATU5,mae,245.6443672891367
PINN,prediction,MJ3,mae,151.99147102149962
PINN,prediction,MJ1,mae,100.27545575839703
PINN,prediction,point_mean,mae,177.5373199321883
PINN,prediction,ATU1,rmse,229.70530445731288
PINN,prediction,ATU5,rmse,266.02107171631445
PINN,prediction,MJ3,rmse,158.90429298808908
PINN,prediction,MJ1,rmse,106.06055368175431
PINN,prediction,point_mean,rmse,190.1728057108677
PINN,prediction,ATU1,crps,200.70846255978446
PINN,prediction,ATU5,crps,233.5356210432987
PINN,prediction,MJ3,crps,141.37960517566836
PINN,prediction,MJ1,crps,90.91617576118021
PINN,prediction,point_mean,crps,166.63496613498293
PINN,prediction,ATU1,coverage_80,0.0
PINN,prediction,ATU5,coverage_80,0.0
PINN,prediction,MJ3,coverage_80,0.0
PINN,prediction,MJ1,coverage_80,0.0
PINN,prediction,point_mean,coverage_80,0.0
PINN,prediction,ATU1,width_80,52.4741169350135
PINN,prediction,ATU5,width_80,55.20576695111356
PINN,prediction,MJ3,width_80,48.22826896184041
PINN,prediction,MJ1,width_80,42.589344038996295
PINN,prediction,point_mean,width_80,49.62437422174094
PINN,prediction,ATU1,interval_score_80,1912.4631235853292
PINN,prediction,ATU5,interval_score_80,2233.6160290273087
PINN,prediction,MJ3,interval_score_80,1326.736352826045
PINN,prediction,MJ1,interval_score_80,832.402849119891
PINN,prediction,point_mean,interval_score_80,1576.3045886396435
PINN,prediction,ATU1,coverage_90,0.0
PINN,prediction,ATU5,coverage_90,0.0
PINN,prediction,MJ3,coverage_90,0.0
PINN,prediction,MJ1,coverage_90,0.0
PINN,prediction,point_mean,coverage_90,0.0
PINN,prediction,ATU1,width_90,67.15175281400326
PINN,prediction,ATU5,width_90,70.42008839624205
PINN,prediction,MJ3,width_90,61.87397321884251
PINN,prediction,MJ1,width_90,54.66249879655773
PINN,prediction,point_mean,width_90,63.52707830641138
PINN,prediction,ATU1,interval_score_90,3640.290516267824
PINN,prediction,ATU5,interval_score_90,4271.70127850475
PINN,prediction,MJ3,interval_score_90,2481.7220259636133
PINN,prediction,MJ1,interval_score_90,1513.575860247866
PINN,prediction,point_mean,interval_score_90,2976.822420246013
PINN,prediction,ATU1,coverage_95,0.0
PINN,prediction,ATU5,coverage_95,0.0
PINN,prediction,MJ3,coverage_95,0.0
PINN,prediction,MJ1,coverage_95,0.0
PINN,prediction,point_mean,coverage_95,0.0
PINN,prediction,ATU1,width_95,79.7931070848358
PINN,prediction,ATU5,width_95,83.43809796239985
PINN,prediction,MJ3,width_95,73.69509415098346
PINN,prediction,MJ1,width_95,65.13401400956705
PINN,prediction,point_mean,width_95,75.51507830194655
PINN,prediction,ATU1,interval_score_95,6973.122119524442
PINN,prediction,ATU5,interval_score_95,8220.339784327425
PINN,prediction,MJ3,interval_score_95,4675.594711947203
PINN,prediction,MJ1,interval_score_95,2773.567893754817
PINN,prediction,point_mean,interval_score_95,5660.656127388472
PINN,prediction,pooled,rmse,200.0194695962421
replay_diagnostic,train,ATU1,mae,6.997249967414754
replay_diagnostic,train,ATU5,mae,11.749490786800296
replay_diagnostic,train,MJ3,mae,12.668040323760176
replay_diagnostic,train,MJ1,mae,6.666739661265131
replay_diagnostic,train,point_mean,mae,9.52038018481009
replay_diagnostic,train,ATU1,rmse,11.586747191739645
replay_diagnostic,train,ATU5,rmse,16.297824261540764
replay_diagnostic,train,MJ3,rmse,16.476008772545256
replay_diagnostic,train,MJ1,rmse,8.142343691589723
replay_diagnostic,train,point_mean,rmse,13.125730979353847
replay_diagnostic,train,ATU1,crps,6.6105729642451845
replay_diagnostic,train,ATU5,crps,8.85433378356303
replay_diagnostic,train,MJ3,crps,9.588191070317594
replay_diagnostic,train,MJ1,crps,5.478461203549575
replay_diagnostic,train,point_mean,crps,7.632889755418845
replay_diagnostic,train,ATU1,coverage_80,0.9409448818897638
replay_diagnostic,train,ATU5,coverage_80,0.9120734908136483
replay_diagnostic,train,MJ3,coverage_80,0.7795275590551181
replay_diagnostic,train,MJ1,coverage_80,0.9645669291338582
replay_diagnostic,train,point_mean,coverage_80,0.8992782152230971
replay_diagnostic,train,ATU1,width_80,48.034234116298286
replay_diagnostic,train,ATU5,width_80,48.133972493378316
replay_diagnostic,train,MJ3,width_80,47.26726085273251
replay_diagnostic,train,MJ1,width_80,42.47075274502659
replay_diagnostic,train,point_mean,width_80,46.476555051858924
replay_diagnostic,train,ATU1,interval_score_80,56.830130409455705
replay_diagnostic,train,ATU5,interval_score_80,62.527596309423785
replay_diagnostic,train,MJ3,interval_score_80,57.95292681290167
replay_diagnostic,train,MJ1,interval_score_80,43.42424349735655
replay_diagnostic,train,point_mean,interval_score_80,55.183724257284425
replay_diagnostic,train,ATU1,coverage_90,0.9553805774278216
replay_diagnostic,train,ATU5,coverage_90,0.9396325459317585
replay_diagnostic,train,MJ3,coverage_90,0.9199475065616798
replay_diagnostic,train,MJ1,coverage_90,0.9986876640419947
replay_diagnostic,train,point_mean,coverage_90,0.9534120734908136
replay_diagnostic,train,ATU1,width_90,61.65219039817787
replay_diagnostic,train,ATU5,width_90,61.78137534498376
replay_diagnostic,train,MJ3,width_90,60.66780775907249
replay_diagnostic,train,MJ1,width_90,54.51426790086963
replay_diagnostic,train,point_mean,width_90,59.653910350775945
replay_diagnostic,train,ATU1,interval_score_90,72.59350941806824
replay_diagnostic,train,ATU5,interval_score_90,81.15434621981822
replay_diagnostic,train,MJ3,interval_score_90,65.75223189475825
replay_diagnostic,train,MJ1,interval_score_90,54.66423830323973
replay_diagnostic,train,point_mean,interval_score_90,68.54108145897112
replay_diagnostic,train,ATU1,coverage_95,0.9698162729658792
replay_diagnostic,train,ATU5,coverage_95,0.9593175853018373
replay_diagnostic,train,MJ3,coverage_95,0.9776902887139107
replay_diagnostic,train,MJ1,coverage_95,0.9986876640419947
replay_diagnostic,train,point_mean,coverage_95,0.9763779527559054
replay_diagnostic,train,ATU1,width_95,73.46428593833586
replay_diagnostic,train,ATU5,width_95,73.61971293352056
replay_diagnostic,train,MJ3,width_95,72.29134232143302
replay_diagnostic,train,MJ1,width_95,64.96241115646434
replay_diagnostic,train,point_mean,width_95,71.08443808743844
replay_diagnostic,train,ATU1,interval_score_95,87.28965837748842
replay_diagnostic,train,ATU5,interval_score_95,101.63572502041387
replay_diagnostic,train,MJ3,interval_score_95,74.97520378047632
replay_diagnostic,train,MJ1,interval_score_95,65.13388885149733
replay_diagnostic,train,point_mean,interval_score_95,82.25861900746898
replay_diagnostic,train,pooled,rmse,13.579657690920564
replay_diagnostic,prediction,ATU1,mae,45.14449399191146
replay_diagnostic,prediction,ATU5,mae,49.752781006934605
replay_diagnostic,prediction,MJ3,mae,28.24620650369935
replay_diagnostic,prediction,MJ1,mae,41.29473227204567
replay_diagnostic,prediction,point_mean,mae,41.10955344364777
replay_diagnostic,prediction,ATU1,rmse,49.43829190099685
replay_diagnostic,prediction,ATU5,rmse,54.82245382268107
replay_diagnostic,prediction,MJ3,rmse,41.58404186751531
replay_diagnostic,prediction,MJ1,rmse,48.22318629807229
replay_diagnostic,prediction,point_mean,rmse,48.516993472316386
replay_diagnostic,prediction,ATU1,crps,35.77555996091873
replay_diagnostic,prediction,ATU5,crps,40.61694619386278
replay_diagnostic,prediction,MJ3,crps,23.0038791818805
replay_diagnostic,prediction,MJ1,crps,33.163265328674086
replay_diagnostic,prediction,point_mean,crps,33.13991266633403
replay_diagnostic,prediction,ATU1,coverage_80,0.21010638297872342
replay_diagnostic,prediction,ATU5,coverage_80,0.2127659574468085
replay_diagnostic,prediction,MJ3,coverage_80,0.7074468085106383
replay_diagnostic,prediction,MJ1,coverage_80,0.22074468085106383
replay_diagnostic,prediction,point_mean,coverage_80,0.3377659574468085
replay_diagnostic,prediction,ATU1,width_80,47.92772667030127
replay_diagnostic,prediction,ATU5,width_80,48.134022963786826
replay_diagnostic,prediction,MJ3,width_80,46.72322171469873
replay_diagnostic,prediction,MJ1,width_80,42.33055553478083
replay_diagnostic,prediction,point_mean,width_80,46.27888172089192
replay_diagnostic,prediction,ATU1,interval_score_80,281.33890113292273
replay_diagnostic,prediction,ATU5,interval_score_80,333.17791095692564
replay_diagnostic,prediction,MJ3,interval_score_80,190.9585002726877
replay_diagnostic,prediction,MJ1,interval_score_80,263.64139820142174
replay_diagnostic,prediction,point_mean,interval_score_80,267.2791776409895
replay_diagnostic,prediction,ATU1,coverage_90,0.2154255319148936
replay_diagnostic,prediction,ATU5,coverage_90,0.2154255319148936
replay_diagnostic,prediction,MJ3,coverage_90,0.723404255319149
replay_diagnostic,prediction,MJ1,coverage_90,0.2712765957446808
replay_diagnostic,prediction,point_mean,coverage_90,0.35638297872340424
replay_diagnostic,prediction,ATU1,width_90,61.515370632708525
replay_diagnostic,prediction,ATU5,width_90,61.781327334824866
replay_diagnostic,prediction,MJ3,width_90,59.969521605439915
replay_diagnostic,prediction,MJ1,width_90,54.33407674269202
