phase,model,horizon,n,crps,coverage90,width90,interval_score90,mae,rmse,pooled_rmse
development,C18_PHYS,1,376,0.00242936063823,1,0.0341939739363,0.0341939739363,4.0987699252e-05,8.3672608773e-05,8.6543832885e-05
development,C18_PHYS,2,375,0.00269864479658,1,0.0379209721591,0.0379209721591,0.00018985917416,0.00036397171041,0.000376398603883
development,C18_PHYS,3,374,0.00326166414732,1,0.0455093143237,0.0455093143237,0.000529914272521,0.000959249479262,0.000991520358712
development,C18_PHYS,4,373,0.0041352927299,1,0.0567274455674,0.0567274455674,0.00115691622768,0.00198460715418,0.00204959831066
development,C18_PHYS,5,372,0.00543987867687,0.997983870968,0.0726200700855,0.0727654295218,0.00217090873332,0.00357272050847,0.0036868661791
development,C18_PHYS,6,371,0.00725134156524,0.992587601078,0.0938040812383,0.094542712776,0.0036789662347,0.00587145176973,0.00605481640662
development,C18_PHYS,7,370,0.00957584712876,0.989189189189,0.119918788372,0.121820716307,0.00581432168576,0.00903349193974,0.00931053453396
development,C18_PHYS,8,369,0.0124271854525,0.983062330623,0.150238228385,0.154138633349,0.00867642052861,0.013211444278,0.0136148855319
development,C18_PHYS,9,368,0.0159322372504,0.980298913043,0.186464872479,0.192679285852,0.0123573329693,0.018511321638,0.0190848864602
development,C18_PHYS,10,367,0.020037902483,0.977520435967,0.227497713604,0.236822860246,0.0168875379285,0.0249201506123,0.0257320432804
development,C18_PHYS,11,366,0.0248788046679,0.976092896175,0.273615387751,0.287285709461,0.022430787818,0.0327540484132,0.0338801574632
development,C18_PHYS,12,365,0.0305791668768,0.973287671233,0.325788120171,0.344974309455,0.0291915401758,0.0422845967307,0.0438171623578
development,C18_PHYS,13,364,0.0372415181833,0.972527472527,0.384201225032,0.410472359617,0.0373547558707,0.0537388790447,0.0557876287996
development,C18_PHYS,14,363,0.0450484145522,0.968319559229,0.450811121641,0.485379235917,0.0470621248652,0.0673535472367,0.0700396301594
development,C18_PHYS,15,362,0.0541987222855,0.966160220994,0.529418129487,0.572038000847,0.05837670603,0.0833540742179,0.0868150942816
development,C18_PHYS,16,361,0.0646328483971,0.963296398892,0.616702587619,0.670928664817,0.0713705442716,0.101657539475,0.105971161857
development,C18_PHYS,17,360,0.076229002403,0.960416666667,0.71224043942,0.778213812709,0.0860227867592,0.122004421761,0.127178503293
development,C18_PHYS,18,359,0.0890083571412,0.951949860724,0.813773053314,0.896300711337,0.102013622801,0.143849427403,0.149768234772
development,C18_PHYS,19,358,0.103249436989,0.940642458101,0.924770725192,1.03025539353,0.119475892548,0.167294323859,0.173951141103
development,C18_PHYS,20,357,0.118859280661,0.93837535014,1.04604217956,1.17598764898,0.138717117814,0.19282528852,0.200342410996
development,C18_PHYS,21,356,0.135659888746,0.934691011236,1.16977940799,1.3326393656,0.159704725241,0.22040051327,0.228832013929
development,C18_PHYS,22,355,0.153611910062,0.930985915493,1.3003838924,1.49748381244,0.182148344665,0.249954597964,0.259242725115
development,C18_PHYS,23,354,0.173116800299,0.925847457627,1.44509651918,1.67717434715,0.206130117555,0.281629076977,0.291688527664
development,C18_PHYS,24,353,0.194190148646,0.92209631728,1.60188145862,1.87627525807,0.2317029075,0.315696804897,0.326485701507
development,C18_PHYS,25,352,0.216374022056,0.918323863636,1.75069659768,2.08092224513,0.259480949749,0.352930080925,0.3645344317
development,C18_PHYS,26,351,0.24011555138,0.91452991453,1.91242511869,2.30360409727,0.288924109055,0.39211492174,0.404222284356
development,C18_PHYS,27,350,0.26543809239,0.909285714286,2.08402735096,2.54531314839,0.320114505634,0.433361578955,0.44575826033
development,C18_PHYS,28,349,0.291980830258,0.90329512894,2.26371567305,2.79687015256,0.353357246481,0.477174061904,0.489826282862
development,C18_PHYS,29,348,0.320337079534,0.898706896552,2.44576168703,3.06832592598,0.388630055078,0.523834418473,0.536723188835
development,C18_PHYS,30,347,0.350801673358,0.893371757925,2.63784721043,3.36017340151,0.426698636355,0.574021798416,0.587170984516
development,C18_CORE,1,376,0.00239457201333,1,0.0337042622134,0.0337042622134,4.03709730684e-05,8.34242765866e-05,8.63101780267e-05
development,C18_CORE,2,375,0.00261040060522,1,0.0366792761204,0.0366792761204,0.00018504926221,0.00036098351173,0.000373509753271
development,C18_CORE,3,374,0.00309251001851,1,0.0431308737527,0.0431308737527,0.000512059378484,0.000946528014374,0.000978843895747
development,C18_CORE,4,373,0.00385321571947,1,0.0527533717685,0.0527533717685,0.00111484224077,0.00195314158828,0.00201855197798
development,C18_CORE,5,372,0.00501716560326,0.997311827957,0.0666136216693,0.0667911066485,0.00208883033392,0.00350952738061,0.00362422353037
development,C18_CORE,6,371,0.00666916907836,0.991913746631,0.0854331615979,0.0863238692314,0.00353590081532,0.00575471040314,0.00593628141988
development,C18_CORE,7,370,0.00881324373845,0.987837837838,0.108872352171,0.111044123031,0.00559263323226,0.00882702833207,0.00909341701578
development,C18_CORE,8,369,0.0114560179227,0.980352303523,0.136112063815,0.14046620816,0.00834303836816,0.012856152597,0.013225805936
development,C18_CORE,9,368,0.0147165788265,0.978260869565,0.168806273529,0.175852703958,0.0118583212243,0.0179282152715,0.0184229454033
development,C18_CORE,10,367,0.0185324359438,0.974795640327,0.205783504209,0.216349906145,0.0161740508885,0.0239941311892,0.0246501379076
development,C18_CORE,11,366,0.0230209901345,0.971994535519,0.247289844688,0.262606572369,0.0214336950972,0.0313096200183,0.0321548350225
development,C18_CORE,12,365,0.028291876716,0.969178082192,0.294191304178,0.31533739402,0.0277620870514,0.0400358888962,0.041094225314
development,C18_CORE,13,364,0.0344230168379,0.96771978022,0.346606693916,0.37523078994,0.0352605613469,0.0502623579864,0.0515596371206
development,C18_CORE,14,363,0.0415714858338,0.961432506887,0.406570879977,0.444050947719,0.0440209888524,0.0620855359309,0.063649127546
development,C18_CORE,15,362,0.0499125457744,0.960635359116,0.477875494113,0.523981430754,0.0540843934998,0.0756036219686,0.0774622567848
development,C18_CORE,16,361,0.0594070249188,0.958448753463,0.557320293088,0.615314741334,0.0655531288901,0.0909101657633,0.0930938501584
development,C18_CORE,17,360,0.0699600096431,0.951388888889,0.644534940753,0.715166812374,0.0784804666663,0.108086763674,0.110625880545
development,C18_CORE,18,359,0.0816375926335,0.944986072423,0.737369211555,0.825343286341,0.092905896921,0.127198679346,0.130122502345
development,C18_CORE,19,358,0.0946820109244,0.934357541899,0.839430345051,0.949943883339,0.10886837878,0.148293303988,0.151628240995
development,C18_CORE,20,357,0.108963368839,0.929971988796,0.951528726356,1.08638066696,0.126342322932,0.171401197733,0.175169053524
development,C18_CORE,21,356,0.124336809785,0.926264044944,1.06594936619,1.2329607411,0.145400540142,0.196537357277,0.200753841541
development,C18_CORE,22,355,0.140786705904,0.92323943662,1.18695821006,1.38858486668,0.166088286573,0.223706119917,0.2283792921
development,C18_CORE,23,354,0.15865980405,0.917372881356,1.32204779581,1.55865363374,0.188308602489,0.252896091998,0.25802491664
development,C18_CORE,24,353,0.177918913357,0.916430594901,1.46931392066,1.74657166004,0.211987196729,0.284080115241,0.289653039048
development,C18_CORE,25,352,0.198037841927,0.912642045455,1.60929016828,1.93690032341,0.23716680033,0.317216559692,0.323210444325
development,C18_CORE,26,351,0.21962688052,0.909544159544,1.76225454172,2.14467744031,0.263710970065,0.35225859122,0.358638957984
development,C18_CORE,27,350,0.242620578376,0.905714285714,1.92458792832,2.37010835111,0.29163658356,0.389190533092,0.395915179596
development,C18_CORE,28,349,0.266609837035,0.901862464183,2.09446854222,2.60498093291,0.321022318472,0.428120247695,0.435149832389
development,C18_CORE,29,348,0.292201535549,0.895114942529,2.26648853124,2.85906124718,0.352289995253,0.469404729273,0.476733928818
development,C18_CORE,30,347,0.319714629748,0.89265129683,2.44843746923,3.1350988447,0.386451221138,0.513967396439,0.521678330255
development,B_ANCHOR,1,376,0.210715843174,0.93085106383,1.44675965287,2.20579092537,0.247416595157,0.470868978985,0.479988080503
development,B_ANCHOR,2,375,0.418786942121,0.928666666667,2.87233251213,4.42011907381,0.491008081317,0.91929804685,0.935042160378
development,B_ANCHOR,3,374,0.619825083157,0.929812834225,4.23444738827,6.59355361075,0.727465225213,1.34368635255,1.36387459903
development,B_ANCHOR,4,373,0.819472324909,0.929624664879,5.63955212394,8.78703914972,0.957891456127,1.74477177017,1.76792766325
development,B_ANCHOR,5,372,1.01846631631,0.926075268817,7.10075230505,11.0058693441,1.18443301674,2.12500285162,2.15055280846
development,B_ANCHOR,6,371,1.21124581054,0.925202156334,8.44689038638,13.1948418603,1.40657522239,2.4885080159,2.51672697657
development,B_ANCHOR,7,370,1.40437584409,0.925,9.81778402263,15.4346498148,1.62669667356,2.84011743374,2.8718208984
development,B_ANCHOR,8,369,1.5924551667,0.922764227642,11.1314717487,17.6336457105,1.84514393987,3.18345400272,3.2196757793
development,B_ANCHOR,9,368,1.78055219255,0.921875,12.4086603119,19.8884220852,2.06102791006,3.52138801342,3.56314067146
development,B_ANCHOR,10,367,1.96477242334,0.921662125341,13.6078576293,22.0865660015,2.27686674566,3.85617257119,3.9043048265
development,B_ANCHOR,11,366,2.15564056711,0.920081967213,14.9485294488,24.4016591462,2.49356796217,4.18924155585,4.24440532547
development,B_ANCHOR,12,365,2.34318061383,0.919178082192,16.1862854182,26.6888628338,2.71045902803,4.52088141272,4.58361962261
development,B_ANCHOR,13,364,2.53213950873,0.917582417582,17.4535380841,29.0094640055,2.92628388631,4.85063304839,4.92147789299
development,B_ANCHOR,14,363,2.72572881487,0.915289256198,18.8171793712,31.3903963861,3.14168108167,5.17796252708,5.25746731001
development,B_ANCHOR,15,362,2.92382792381,0.912983425414,20.2302657133,33.8736081265,3.3566883439,5.50251972196,5.59125699356
development,B_ANCHOR,16,361,3.12531513078,0.909972299169,21.7207092101,36.4051911472,3.57148362744,5.82388601475,5.92247678399
development,B_ANCHOR,17,360,3.31452189252,0.908333333333,23.0124877569,38.708641901,3.7866092036,6.14195173602,6.25102441554
development,B_ANCHOR,18,359,3.51912719484,0.904596100279,24.6019170481,41.2719878999,4.00163951495,6.45661629443,6.57681131891
development,B_ANCHOR,19,358,3.72590142775,0.901536312849,26.2153086935,43.8097587752,4.21766394519,6.76781918286,6.89978926272
development,B_ANCHOR,20,357,3.92382878795,0.901960784314,27.5506616559,46.1726695605,4.43500667812,7.07594462271,7.22026972821
development,B_ANCHOR,21,356,4.12185540832,0.900280898876,29.0069835455,48.5110986576,4.65407384921,7.38104963491,7.53829787903
development,B_ANCHOR,22,355,4.32168019574,0.898591549296,30.4951216592,50.8532068233,4.87277570064,7.68323276502,7.85395679352
development,B_ANCHOR,23,354,4.51977353102,0.897598870056,31.8761735416,53.137710828,5.08993112576,7.98277688963,8.16746837761
development,B_ANCHOR,24,353,4.73055578032,0.895184135977,33.4821556834,55.6505556111,5.30643232112,8.2800257518,8.47909568104
development,B_ANCHOR,25,352,4.93075560784,0.892755681818,34.9819018866,57.936603536,5.52129268332,8.5748472305,8.78872884031
development,B_ANCHOR,26,351,5.13374664622,0.891025641026,36.4938775086,60.2217238609,5.73492179067,8.86703198237,9.09620408326
development,B_ANCHOR,27,350,5.33210722053,0.89,37.8569101947,62.3914353831,5.94612953785,9.15672079535,9.40162779142
development,B_ANCHOR,28,349,5.4891539195,0.893266475645,38.455715752,63.7973659463,6.1583325462,9.44559723234,9.70627578159
development,B_ANCHOR,29,348,5.65998061312,0.894396551724,39.3109484827,65.5365794654,6.37082641521,9.73410109024,10.0104620341
development,B_ANCHOR,30,347,5.87037018493,0.89265129683,40.7989363254,68.0887194755,6.58561925077,10.022371312,10.3142725914
