phase,model,horizon,n,crps,coverage90,width90,interval_score90,mae,rmse,pooled_rmse
development,C18_PHYS,30,12,0.330146310504,0.895833333333,2.46774659624,2.99599469404,0.443169568577,0.533133942687,0.540673569535
development,C18_CORE,30,12,0.323361461574,0.875,2.40739991068,2.96300558384,0.436429422983,0.523352764824,0.532575602842
development,B_ANCHOR,30,12,5.90485685967,0.875,42.6062423203,66.9581321117,6.50010987169,10.1170846612,10.3705109147
development,DRIFT1,30,12,1.96384666151,0.958333333333,24.3107705881,25.3933795748,1.06354619692,1.42336558504,1.4467407323
development,C16_FAST_PHYS,30,12,0.326884177084,0.854166666667,2.33727882185,2.90542881436,0.443169568577,0.533133942687,0.540673569535
development,C18_TREND,30,12,0.324375583452,0.875,2.46265695123,3.02327724836,0.435404022971,0.521043467314,0.527967894538
development,C16_FAST_CORE,30,12,0.320666006856,0.875,2.33727882185,2.90780181136,0.436429422983,0.523352764824,0.532575602842
later_exploratory,C18_PHYS,30,9,0.57256545611,0.916666666667,3.95534927911,5.31349867679,0.807255406752,1.11967942092,1.40378129801
later_exploratory,C18_CORE,30,9,0.575259610455,0.888888888889,3.87957705665,5.28612274835,0.810361817848,1.16988791991,1.4925500656
later_exploratory,B_ANCHOR,30,9,3.02580999013,0.916666666667,30.1699648173,32.9385593377,2.90546682377,3.73486290747,3.83280255529
later_exploratory,DRIFT1,30,9,2.40749511231,0.861111111111,22.2037057645,27.4724983428,1.9310010647,3.10253909424,3.74606369081
later_exploratory,C16_FAST_PHYS,30,9,0.573139494335,0.888888888889,3.84639767687,5.43882343626,0.807255406752,1.11967942092,1.40378129801
later_exploratory,C18_TREND,30,9,0.655478477168,0.833333333333,3.98627204626,5.51564209761,0.967112088601,1.37882078932,1.72561840036
later_exploratory,C16_FAST_CORE,30,9,0.577519401907,0.888888888889,3.84639767687,5.41733831291,0.810361817848,1.16988791991,1.4925500656
