model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse
B_RAW,1,180,18.3021257067,22.2447948335,,,,,,,,,,,32.0846130777
B_RAW,2,179,18.4034773327,22.3068383059,,,,,,,,,,,32.1741070594
B_RAW,3,178,18.5045831316,22.3693730784,,,,,,,,,,,32.2643370145
B_RAW,4,177,18.6057320629,22.4323919558,,,,,,,,,,,32.3553064828
B_RAW,5,176,18.7066790346,22.4958718326,,,,,,,,,,,32.4470085108
B_RAW,6,175,18.8074594156,22.5598025473,,,,,,,,,,,32.5394447592
B_RAW,7,174,18.9082001135,22.6241804534,,,,,,,,,,,32.6326207337
B_RAW,8,173,19.0086924719,22.6889747551,,,,,,,,,,,32.7265220484
B_RAW,9,172,19.1088226908,22.7541560892,,,,,,,,,,,32.8211366484
B_RAW,10,171,19.2084951643,22.8196894642,,,,,,,,,,,32.9164497451
B_RAW,11,170,19.3075804451,22.8855320282,,,,,,,,,,,33.012438375
B_RAW,12,169,19.406475706,22.9517251466,,,,,,,,,,,33.1091196897
B_RAW,13,168,19.505477714,23.0183001737,,,,,,,,,,,33.2065155233
B_RAW,14,167,19.6049408957,23.0852937546,,,,,,,,,,,33.3046605266
B_RAW,15,166,19.7054262309,23.1527615262,,,,,,,,,,,33.4036103964
B_RAW,16,165,19.8053825817,23.2205104394,,,,,,,,,,,33.5032188686
B_RAW,17,164,19.9056561566,23.2886351408,,,,,,,,,,,33.6035695086
B_RAW,18,163,20.0070776876,23.3572342435,,,,,,,,,,,33.7047537378
B_RAW,19,162,20.1098646615,23.4263237807,,,,,,,,,,,33.8067996508
B_RAW,20,161,20.213968999,23.4959031732,,,,,,,,,,,33.9097233166
B_RAW,21,160,20.3194732297,23.5659634282,,,,,,,,,,,34.0135339874
B_RAW,22,159,20.4264471872,23.6364937466,,,,,,,,,,,34.1182394812
B_RAW,23,158,20.5340218228,23.7074715836,,,,,,,,,,,34.2238372115
B_RAW,24,157,20.6414217491,23.7787956501,,,,,,,,,,,34.3302534496
B_RAW,25,156,20.7485708502,23.8504925298,,,,,,,,,,,34.4375170804
B_RAW,26,155,20.8554661063,23.9225696172,,,,,,,,,,,34.5456465526
B_RAW,27,154,20.9621264113,23.9950228012,,,,,,,,,,,34.6546561498
B_RAW,28,153,21.0685720017,24.0677147597,,,,,,,,,,,34.7644288113
B_RAW,29,152,21.1746529922,24.1406793914,,,,,,,,,,,34.8750050486
B_RAW,30,151,21.2803591525,24.2139319816,,,,,,,,,,,34.9864133191
B_ANCHOR,1,180,0.371283188429,0.477040557453,0.28369216182,0.890277777778,1.59943092499,1.9781642079,0.945833333333,2.0528473678,2.50882517166,0.961111111111,2.44611851214,3.05077530409,0.502051702252
B_ANCHOR,2,179,0.737611396243,0.940467551597,0.565369033234,0.896648044693,3.21343624221,3.97916557332,0.941340782123,4.12440076552,5.05523327973,0.963687150838,4.91452663372,6.15437733456,0.990547107647
B_ANCHOR,3,178,1.09815600171,1.39091283044,0.844567484661,0.898876404494,4.85177394463,5.98228349571,0.936797752809,6.22718444153,7.60655644137,0.959269662921,7.42014792715,9.23756656099,1.46646834594
B_ANCHOR,4,177,1.45215125049,1.82975628827,1.12240989954,0.899717514124,6.52688725304,8.01366544288,0.930790960452,8.37716909682,10.1857988108,0.957627118644,9.98201265641,12.3355321047,1.93160059038
B_ANCHOR,5,176,1.80163669176,2.25786044864,1.39711492069,0.896306818182,8.13721175856,10.0232760395,0.928977272727,10.4439982239,12.7129223678,0.955965909091,12.4447914623,15.3997198866,2.38700745317
B_ANCHOR,6,175,2.14536689992,2.67545025663,1.66588540821,0.897142857143,9.67452222215,11.9762577606,0.93,12.4171148426,15.1714714555,0.954285714286,14.7959049272,18.4498412057,2.83289070603
B_ANCHOR,7,174,2.48871281374,3.08234746199,1.93709907841,0.89367816092,11.3910723673,14.0426736923,0.923850574713,14.6202831022,17.7243479081,0.956896551724,17.4211418296,21.481348204,3.26902366616
B_ANCHOR,8,173,2.82860781349,3.47849804495,2.20587840051,0.888728323699,13.0798034698,16.0521501989,0.919075144509,16.787746007,20.2501366124,0.959537572254,20.0038331777,24.4008231553,3.69534788144
B_ANCHOR,9,172,3.16518817755,3.86429956927,2.46462885994,0.880813953488,14.5923786604,17.9311499996,0.920058139535,18.7291152465,22.6015120001,0.956395348837,22.3171173069,27.0131605739,4.11234370275
B_ANCHOR,10,171,3.49587667173,4.24091216613,2.72869659922,0.877192982456,16.2263932385,19.9178371352,0.916666666667,20.8263502525,25.073372219,0.950292397661,24.8161269523,29.7176988008,4.52135018921
B_ANCHOR,11,170,3.82022991333,4.61005579985,2.99887391464,0.872058823529,17.9215570199,22.0147276344,0.911764705882,23.0020694113,27.6204042613,0.95,27.4086562338,32.63418998,4.92428576463
B_ANCHOR,12,169,4.13758079878,4.97396038007,3.27107726594,0.865384615385,19.6017446612,24.2256477897,0.906804733728,25.1585669024,30.5368429455,0.936390532544,29.9782814856,35.924748202,5.32349929797
B_ANCHOR,13,168,4.45340135016,5.33400535596,3.53712324134,0.861607142857,21.2621084127,26.3297078643,0.903273809524,27.2896207063,33.2563358023,0.934523809524,32.5175887141,39.2918705297,5.72043457012
B_ANCHOR,14,167,4.76516080765,5.69178117948,3.79307383776,0.872754491018,22.859904241,28.3063916326,0.902694610778,29.3403694502,35.7346684965,0.934131736527,34.9612065616,42.3055751961,6.11682513652
B_ANCHOR,15,166,5.074348054,6.0480342183,4.06236916368,0.870481927711,24.6210029184,30.4360572363,0.899096385542,31.6007151318,38.407383404,0.933734939759,37.6545745647,45.4769760161,6.51343334968
B_ANCHOR,16,165,5.37825310166,6.40286524553,4.32529411396,0.868181818182,26.1944860114,32.4594689705,0.898484848485,33.6202588178,41.0214552414,0.930303030303,40.0610092923,48.7250006418,6.91020706795
B_ANCHOR,17,164,5.68155024357,6.75769911433,4.58926465492,0.862804878049,27.6993072796,34.4960960215,0.899390243902,35.5516760057,43.7295113213,0.928353658537,42.3624348206,52.1968525136,7.30861449297
B_ANCHOR,18,163,5.98667591761,7.11331496355,4.85302324966,0.854294478528,29.1704596986,36.5911289588,0.900306748466,37.4398796936,46.6390226018,0.924846625767,44.6123682877,56.1443143006,7.70943228998
B_ANCHOR,19,162,6.2975327361,7.46913797106,5.12036609215,0.850308641975,30.5532696123,38.7242402981,0.902777777778,39.2146970034,49.663629521,0.921296296296,46.727193552,60.3692233919,8.1120236945
B_ANCHOR,20,161,6.61471802557,7.82435723577,5.39659315461,0.841614906832,32.1963079911,41.0381395766,0.902173913043,41.3235139322,52.7712602297,0.920807453416,49.2400039095,64.4516527826,8.5155161581
B_ANCHOR,21,160,6.93819913419,8.17851820896,5.68082958977,0.8421875,34.0257314364,43.4397115869,0.9,43.6715535041,55.9047459583,0.9171875,52.0378656279,68.3217965633,8.91942141082
B_ANCHOR,22,159,7.2617323956,8.53142629708,5.97676632195,0.838050314465,35.9476676779,45.9225298603,0.896226415094,46.1383319642,59.0772792994,0.913522012579,54.9772134583,72.1010840091,9.32353595976
B_ANCHOR,23,158,7.58542929514,8.88251985405,6.2707336753,0.840189873418,37.9569278314,48.4538750753,0.892405063291,48.7171894523,62.3495987085,0.912974683544,58.0501116877,76.063584233,9.7272409605
B_ANCHOR,24,157,7.90762038824,9.23072101156,6.5572382083,0.835987261146,39.7246009562,50.8577169921,0.891719745223,50.9859733458,65.5304563573,0.915605095541,60.7535344404,80.0025508952,10.1293645503
B_ANCHOR,25,156,8.22737379543,9.57535081118,6.85552095957,0.838141025641,41.765250018,53.3658212605,0.887820512821,53.6051180613,68.7580075497,0.915064102564,63.8744378622,83.856401565,10.5292232802
B_ANCHOR,26,155,8.54568444983,9.91580287936,7.14778748428,0.838709677419,43.7037934344,55.7916071849,0.885483870968,56.0932115997,71.8846958719,0.914516129032,66.8391841749,87.645563855,10.9262592763
B_ANCHOR,27,154,8.8621405792,10.251687062,7.42917565107,0.836038961039,45.3626491863,58.0418497708,0.886363636364,58.2223299071,74.8327080407,0.909090909091,69.3761851172,91.1440164234,11.3201991685
B_ANCHOR,28,153,9.17627469012,10.5824170917,7.72141025582,0.834967320261,47.302045675,60.4607151219,0.883986928105,60.7115183521,77.9227106941,0.908496732026,72.3422360915,94.767058752,11.7105174437
