model,horizon,n_per_point,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,mae,rmse,pooled_rmse
B_ANCHOR,1,376,0.195194700702,0.800531914894,0.736607643183,1.47478408915,0.873005319149,0.995032448892,1.97318633629,0.911569148936,1.45621613047,2.87093919673,0.247416595157,0.470868978985,0.479988080503
B_ANCHOR,2,375,0.389251623058,0.800666666667,1.46213221488,2.93926853459,0.874,1.96898811462,3.9548650364,0.904666666667,2.82167031792,5.74608086048,0.491008081317,0.91929804685,0.935042160378
B_ANCHOR,3,374,0.579114735024,0.797459893048,2.19911031323,4.40535710912,0.86564171123,2.89277828811,5.87973389443,0.898395721925,4.33719810954,8.76498547909,0.727465225213,1.34368635255,1.36387459903
B_ANCHOR,4,373,0.765638272918,0.794235924933,2.90816877097,5.84308522485,0.860589812332,3.77238618297,7.81879729622,0.890080428954,5.50081073142,11.5531028922,0.957891456127,1.74477177017,1.76792766325
B_ANCHOR,5,372,0.949849429708,0.790322580645,3.6160573388,7.28489568946,0.855510752688,4.66097217995,9.77026961955,0.885080645161,7.0570589016,14.7989691759,1.18443301674,2.12500285162,2.15055280846
B_ANCHOR,6,371,1.13264914857,0.787061994609,4.26952295789,8.68174330058,0.852425876011,5.60186369234,11.8499774892,0.880053908356,8.00596005609,17.5746952795,1.40657522239,2.4885080159,2.51672697657
B_ANCHOR,7,370,1.31492634232,0.789864864865,4.89985677685,10.058176315,0.849324324324,6.64234696323,14.098898858,0.875,9.36032821497,20.917763501,1.62669667356,2.84011743374,2.8718208984
B_ANCHOR,8,369,1.49723352587,0.783875338753,5.53759499937,11.4400527501,0.842140921409,7.64229986532,16.3417215664,0.869918699187,10.6248751409,24.1798949895,1.84514393987,3.18345400272,3.2196757793
B_ANCHOR,9,368,1.67992580699,0.777173913043,6.17114719476,12.8518624165,0.832201086957,8.8125813832,18.8284952408,0.864809782609,11.5406801722,27.3198356657,2.06102791006,3.52138801342,3.56314067146
B_ANCHOR,10,367,1.86334086247,0.768392370572,6.82283266148,14.317543682,0.825613079019,9.89388382089,21.1948683435,0.854223433243,12.4402619885,30.4626629604,2.27686674566,3.85617257119,3.9043048265
B_ANCHOR,11,366,2.04802991207,0.767076502732,7.44686945578,15.7497763183,0.823770491803,10.9403491622,23.6003007146,0.851775956284,13.2766567486,33.9056595822,2.49356796217,4.18924155585,4.24440532547
B_ANCHOR,12,365,2.23418555023,0.766438356164,8.06742967001,17.1895915284,0.82397260274,11.8520141612,25.9146189674,0.849315068493,14.1357942427,37.2244132494,2.71045902803,4.52088141272,4.58361962261
B_ANCHOR,13,364,2.42188610838,0.760302197802,8.6778809854,18.6397345746,0.817994505495,12.7382795474,28.2707789215,0.846153846154,14.9855053602,40.7760324644,2.92628388631,4.85063304839,4.92147789299
B_ANCHOR,14,363,2.61064905105,0.758953168044,9.31784167504,20.1598563732,0.809917355372,13.5174836242,30.6175595857,0.840909090909,15.8394025157,44.3431734579,3.14168108167,5.17796252708,5.25746731001
B_ANCHOR,15,362,2.80033846547,0.756215469613,9.94527635878,21.7017521684,0.802486187845,14.2738687643,32.963454429,0.834254143646,16.6636911282,48.0149564941,3.3566883439,5.50251972196,5.59125699356
B_ANCHOR,16,361,2.99102354868,0.751385041551,10.6551081694,23.3084395291,0.799168975069,15.0072420192,35.2791423093,0.831024930748,17.4939352047,51.6571813369,3.57148362744,5.82388601475,5.92247678399
B_ANCHOR,17,360,3.1829747847,0.750694444444,11.5504051542,25.1280019495,0.79375,15.7771863079,37.6766765195,0.827083333333,18.2613894026,55.348285937,3.7866092036,6.14195173602,6.25102441554
B_ANCHOR,18,359,3.37649136646,0.74651810585,12.3954723084,26.9018641083,0.788300835655,16.5655540359,40.1176317517,0.822423398329,19.0401190587,59.2523064309,4.00163951495,6.45661629443,6.57681131891
B_ANCHOR,19,358,3.57159850161,0.743016759777,13.2609636735,28.6900051261,0.780027932961,17.3297937465,42.5733530567,0.814245810056,19.7524468491,63.1979362546,4.21766394519,6.76781918286,6.89978926272
B_ANCHOR,20,357,3.76822102096,0.735294117647,14.1859947126,30.5837077507,0.77731092437,18.0498467896,44.9842182967,0.809523809524,20.4518006166,67.1624019681,4.43500667812,7.07594462271,7.22026972821
B_ANCHOR,21,356,3.96596694689,0.729634831461,14.9545160358,32.3451134753,0.770365168539,18.7858909806,47.494809315,0.806179775281,21.2210885437,71.2174340477,4.65407384921,7.38104963491,7.53829787903
B_ANCHOR,22,355,4.16393030759,0.721126760563,15.6117837054,34.04965865,0.767605633803,19.5270438176,50.0743914443,0.800704225352,22.0153754909,75.3457515991,4.87277570064,7.68323276502,7.85395679352
B_ANCHOR,23,354,4.36179148323,0.714689265537,16.2528976439,35.7332602569,0.765536723164,20.2202207691,52.6569713171,0.804378531073,22.8043613361,79.3036059259,5.08993112576,7.98277688963,8.16746837761
