model,horizon,n_per_point,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,mae,rmse,pooled_rmse
B_ANCHOR,1,376,0.207372995695,0.805186170213,0.93814852346,1.59685658067,0.875664893617,1.20410059409,2.21262953528,0.895611702128,1.43477435288,3.05539418407,0.247416595157,0.470868978985,0.479988080503
B_ANCHOR,2,375,0.411591350741,0.800666666667,1.82617740342,3.1811376568,0.87,2.34387332218,4.44638228627,0.886666666667,2.79289732565,6.21669524372,0.491008081317,0.91929804685,0.935042160378
B_ANCHOR,3,374,0.609353277444,0.795454545455,2.66547496188,4.71330990412,0.863636363636,3.42110007625,6.63067754904,0.889705882353,4.07649217358,9.39148937075,0.727465225213,1.34368635255,1.36387459903
B_ANCHOR,4,373,0.801555598679,0.792225201072,3.45963948842,6.21769415676,0.859249329759,4.44039921098,8.81186205373,0.880697050938,5.2910620057,12.56456427,0.957891456127,1.74477177017,1.76792766325
B_ANCHOR,5,372,0.989126516746,0.791666666667,4.21334842082,7.69007883796,0.853494623656,5.40777415277,10.9508700179,0.879032258065,6.44376034578,15.7240921653,1.18443301674,2.12500285162,2.15055280846
B_ANCHOR,6,371,1.17309968198,0.790431266846,4.93454512642,9.1287618733,0.851078167116,6.33342010323,13.0538032852,0.878706199461,7.54673552582,18.8804322492,1.40657522239,2.4885080159,2.51672697657
B_ANCHOR,7,370,1.35478676818,0.785135135135,5.63140020959,10.5486221192,0.846621621622,7.22782391953,15.1476277451,0.877702702703,8.61248340689,22.0948627665,1.62669667356,2.84011743374,2.8718208984
B_ANCHOR,8,369,1.53514979308,0.776422764228,6.30880433039,11.9568904895,0.846883468835,8.09726269591,17.2502802707,0.877371273713,9.64848360808,25.3340360553,1.84514393987,3.18345400272,3.2196757793
B_ANCHOR,9,368,1.71483805414,0.771059782609,6.97141478477,13.3704810112,0.845108695652,8.947714007,19.3585908775,0.882472826087,10.6618588489,28.6197138468,2.06102791006,3.52138801342,3.56314067146
B_ANCHOR,10,367,1.8945094188,0.767711171662,7.62353126534,14.7976682481,0.844005449591,9.78469644852,21.5011986609,0.878065395095,11.6591849418,31.9880378485,2.27686674566,3.85617257119,3.9043048265
B_ANCHOR,11,366,2.07469360037,0.767076502732,8.26691344603,16.2406533916,0.838797814208,10.6104685375,23.6924751998,0.879098360656,12.6431530757,35.425385113,2.49356796217,4.18924155585,4.24440532547
B_ANCHOR,12,365,2.2557384174,0.763698630137,8.90205413228,17.7030706263,0.835616438356,11.4256627829,25.9103569009,0.878767123288,13.6145169315,38.9570793519,2.71045902803,4.52088141272,4.58361962261
B_ANCHOR,13,364,2.43765862447,0.759615384615,9.52939004012,19.1806592128,0.836538461538,12.2308397036,28.1664317275,0.876373626374,14.5739444088,42.5702163133,2.92628388631,4.85063304839,4.92147789299
