phase,model,point,origin,target_date,observed,mean,sigma,lower90,upper90
development,C8_ONLINE_FULL,ATU1,792,2018-09-30,446.479691669,445.438207619,1.39948336399,443.136262332,447.740152906
development,C8_ONLINE_FULL,ATU1,793,2018-10-01,446.5638,445.28611966,1.40324550749,442.977986197,447.594253122
development,C8_ONLINE_FULL,ATU1,794,2018-10-02,446.656359704,445.191481152,1.40771586119,442.875994612,447.506967692
development,C8_ONLINE_FULL,ATU1,795,2018-10-03,446.757053518,445.364995792,1.41183722104,443.042730218,447.687261365
development,C8_ONLINE_FULL,ATU1,796,2018-10-04,446.865412761,445.703676963,1.41544457632,443.375477818,448.031876108
development,C8_ONLINE_FULL,ATU1,797,2018-10-05,446.980968756,446.025406734,1.41868064205,443.691884734,448.358928733
development,C8_ONLINE_FULL,ATU1,798,2018-10-06,447.103252824,446.217718084,1.42157870679,443.879429192,448.556006976
development,C8_ONLINE_FULL,ATU1,799,2018-10-07,447.231796285,446.452922634,1.42411557292,444.110460969,448.7953843
development,C8_ONLINE_FULL,ATU1,800,2018-10-08,447.366130461,446.671718006,1.42622066576,444.325793772,449.017642241
development,C8_ONLINE_FULL,ATU1,801,2018-10-09,447.505786673,446.844337145,1.42779484933,444.495823609,449.192850682
development,C8_ONLINE_FULL,ATU1,802,2018-10-10,447.650296242,446.993563439,1.42878658915,444.643418635,449.343708242
development,C8_ONLINE_FULL,ATU1,803,2018-10-11,447.799190489,447.128703103,1.42917620357,444.777917441,449.479488765
development,C8_ONLINE_FULL,ATU1,804,2018-10-12,447.952000736,447.236921882,1.42895451251,444.88650087,449.587342895
development,C8_ONLINE_FULL,ATU1,805,2018-10-13,448.108258302,447.333764373,1.42811599031,444.984722607,449.682806139
development,C8_ONLINE_FULL,ATU1,806,2018-10-14,448.26749451,447.601667367,1.42665680284,445.255025751,449.948308984
development,C8_ONLINE_FULL,ATU1,807,2018-10-15,448.429240681,447.730252998,1.42457771732,445.387031173,450.073474823
development,C8_ONLINE_FULL,ATU1,808,2018-10-16,448.593028135,447.839402288,1.42191456507,445.500560958,450.178243617
development,C8_ONLINE_FULL,ATU1,809,2018-10-17,448.758388194,447.964400468,1.41882411923,445.630642469,450.298158466
development,C8_ONLINE_FULL,ATU1,810,2018-10-18,448.924852178,448.111674969,1.41552878661,445.78333731,450.440012627
development,C8_ONLINE_FULL,ATU1,811,2018-10-19,449.09195141,448.091305531,1.41228559651,445.768302446,450.414308617
development,C8_ONLINE_FULL,ATU1,812,2018-10-20,449.25921721,447.788226567,1.40937545465,445.470010239,450.106442896
development,C8_ONLINE_FULL,ATU1,813,2018-10-21,449.426180899,447.998666454,1.40709256844,445.68420514,450.313127769
development,C8_ONLINE_FULL,ATU1,814,2018-10-22,449.592373798,448.353513248,1.40573395041,446.041286661,450.665739835
development,C8_ONLINE_FULL,ATU1,815,2018-10-23,449.757327229,448.716113669,1.40558901845,446.404125474,451.028101864
development,C8_ONLINE_FULL,ATU1,816,2018-10-24,449.920572512,448.921758922,1.40692943156,446.607565944,451.235951901
development,C8_ONLINE_FULL,ATU1,817,2018-10-25,450.081640969,449.204757969,1.40999941213,446.885515322,451.524000616
development,C8_ONLINE_FULL,ATU1,818,2018-10-26,450.24006392,449.573301684,1.41500689535,447.24582246,451.900780908
development,C8_ONLINE_FULL,ATU1,819,2018-10-27,450.395372687,450.829787147,1.42211589426,448.49061466,453.168959633
development,C8_ONLINE_FULL,ATU1,820,2018-10-28,450.547098592,451.203565527,1.4314404631,448.849055489,453.558075564
development,C8_ONLINE_FULL,ATU1,821,2018-10-29,450.694772954,451.401953213,1.44304057625,449.028362687,453.775543738
development,C8_ONLINE_FULL,ATU1,822,2018-10-30,450.837927095,451.632322738,1.42421541165,449.289696853,453.974948624
development,C8_ONLINE_FULL,ATU1,823,2018-10-31,450.976092337,451.923700291,1.42892260508,449.573331762,454.274068821
development,C8_ONLINE_FULL,ATU1,824,2018-11-01,451.1088,452.186974695,1.45099609604,449.800298504,454.573650887
development,C8_ONLINE_FULL,ATU1,825,2018-11-02,451.235696265,452.121598483,1.46508111737,449.711754493,454.531442473
development,C8_ONLINE_FULL,ATU1,826,2018-11-03,451.356886746,451.86008618,1.46233247463,449.454763305,454.265409054
development,C8_ONLINE_FULL,ATU1,827,2018-11-04,451.47259192,451.640456992,1.44907694657,449.25693752,454.023976463
development,C8_ONLINE_FULL,ATU1,828,2018-11-05,451.583032261,451.462514024,1.43375785332,449.104192219,453.82083583
development,C8_ONLINE_FULL,ATU1,829,2018-11-06,451.688428243,451.392028738,1.41524558896,449.064156898,453.719900578
development,C8_ONLINE_FULL,ATU1,830,2018-11-07,451.789000341,451.368025867,1.39473206353,449.073895773,453.66215596
development,C8_ONLINE_FULL,ATU1,831,2018-11-08,451.884969031,451.382541528,1.37378474946,449.1228667,453.642216355
