phase,model,horizon,n,crps,coverage90,width90,interval_score90,mae,rmse,pooled_rmse
development,C8_ONLINE_FULL,30,12,0.494602520847,0.9375,3.90357632885,5.17725515211,0.549745429147,0.754742820823,0.866923872749
development,C8_ONLINE_DATA,30,12,0.296643775935,0.875,2.33727882185,2.77775874701,0.38241962123,0.482328123625,0.490646073092
development,B_ANCHOR,30,12,5.90485685967,0.875,42.6062423203,66.9581321117,6.50010987169,10.1170846612,10.3705109147
development,DRIFT1,30,12,1.96384666151,0.958333333333,24.3107705881,25.3933795748,1.06354619692,1.42336558504,1.4467407323
development,C8_STATIC_FULL,30,12,0.514358897252,0.916666666667,4.02700423081,5.32816713724,0.576570223404,0.7823383864,0.901191398838
development,C8_STATIC_DATA,30,12,0.29751232547,0.875,2.34459344274,2.78523518607,0.384703917013,0.483529466431,0.492189614474
later_exploratory,C8_ONLINE_FULL,30,9,0.772748002884,0.805555555556,3.54091216669,7.42781770362,1.05232946029,1.60359436108,1.98587250764
later_exploratory,C8_ONLINE_DATA,30,9,0.738826618755,0.833333333333,3.84639767687,6.9934137379,1.02011671455,1.56585258769,1.93855194007
later_exploratory,B_ANCHOR,30,9,3.02580999013,0.916666666667,30.1699648173,32.9385593377,2.90546682377,3.73486290747,3.83280255529
later_exploratory,DRIFT1,30,9,2.40749511231,0.861111111111,22.2037057645,27.4724983428,1.9310010647,3.10253909424,3.74606369081
later_exploratory,C8_STATIC_FULL,30,9,0.772862909986,0.805555555556,3.54103435749,7.43025680593,1.05199122908,1.60350155674,1.98632090938
later_exploratory,C8_STATIC_DATA,30,9,0.738807340357,0.833333333333,3.8463471368,6.99441818272,1.01981021058,1.56584717049,1.93907930225
