phase,model,horizon,n,crps,coverage90,width90,interval_score90,mae,rmse,pooled_rmse
development,C16_FAST_PHYS,30,12,0.326884177084,0.854166666667,2.33727882185,2.90542881436,0.443169568577,0.533133942687,0.540673569535
development,C16_FAST_CORE,30,12,0.320666006856,0.875,2.33727882185,2.90780181136,0.436429422983,0.523352764824,0.532575602842
development,B_ANCHOR,30,12,5.90485685967,0.875,42.6062423203,66.9581321117,6.50010987169,10.1170846612,10.3705109147
development,DRIFT1,30,12,1.96384666151,0.958333333333,24.3107705881,25.3933795748,1.06354619692,1.42336558504,1.4467407323
development,C8_ONLINE_DATA,30,12,0.296643775935,0.875,2.33727882185,2.77775874701,0.38241962123,0.482328123625,0.490646073092
development,C16_FAST_TREND,30,12,0.319645722979,0.875,2.33727882185,2.92614656371,0.435404022971,0.521043467314,0.527967894538
later_exploratory,C16_FAST_PHYS,30,9,0.573139494335,0.888888888889,3.84639767687,5.43882343626,0.807255406752,1.11967942092,1.40378129801
later_exploratory,C16_FAST_CORE,30,9,0.577519401907,0.888888888889,3.84639767687,5.41733831291,0.810361817848,1.16988791991,1.4925500656
later_exploratory,B_ANCHOR,30,9,3.02580999013,0.916666666667,30.1699648173,32.9385593377,2.90546682377,3.73486290747,3.83280255529
later_exploratory,DRIFT1,30,9,2.40749511231,0.861111111111,22.2037057645,27.4724983428,1.9310010647,3.10253909424,3.74606369081
later_exploratory,C8_ONLINE_DATA,30,9,0.738826618755,0.833333333333,3.84639767687,6.9934137379,1.02011671455,1.56585258769,1.93855194007
later_exploratory,C16_FAST_TREND,30,9,0.657859745868,0.833333333333,3.84639767687,5.66288661328,0.967112088601,1.37882078932,1.72561840036
