model,seed,mae,rmse,crps,interval_score90,phase
TRANSFORMER_DIRECT_COND,0,32.958685801430462,37.068040233539847,23.161211269340519,205.9989800514719,development
TRANSFORMER_DIRECT_COND,1,34.217204836954259,38.150583770918487,23.785569746086615,207.00928851346782,development
TRANSFORMER_DIRECT_COND,2,32.721364673334534,35.723833959295717,22.77556819649001,206.06252889577209,development
TRANSFORMER_BRES_COND,0,38.991132240639558,49.240736637366751,34.788446308469908,525.07172868672569,development
TRANSFORMER_BRES_COND,1,38.057174147362616,46.532463491397728,33.849571761128701,496.47147961361622,development
TRANSFORMER_BRES_COND,2,43.214025375497123,49.846752985233394,37.780346944873138,570.2555932265326,development
CNN_MAMBA_DIRECT_COND,0,40.823528054894105,44.062553396007907,26.570235545860641,202.89068876500096,development
CNN_MAMBA_DIRECT_COND,1,40.658467416126634,45.667377230978445,26.810588387559836,203.34921415236028,development
CNN_MAMBA_DIRECT_COND,2,48.03317852521235,53.492911792849569,31.51677059071266,222.94940996457802,development
CNN_MAMBA_BRES_COND,0,38.36582838316739,45.002568814179426,31.59562615803333,401.73727141680007,development
CNN_MAMBA_BRES_COND,1,47.254167491750465,54.354887381667368,40.072711516137758,555.30535022615391,development
CNN_MAMBA_BRES_COND,2,42.140274935982184,51.453308043978467,36.359247213374616,496.76466223143564,development
TRANSFORMER_DIRECT_COND,0,29.820526356501475,33.26181036707554,21.410193803178839,193.38856241121832,final_exploratory
TRANSFORMER_DIRECT_COND,1,36.133940501130226,39.943699490133199,24.541521925907148,203.86004379048094,final_exploratory
TRANSFORMER_DIRECT_COND,2,32.764449301155345,36.331238748495245,22.757204991363682,197.35582354031578,final_exploratory
TRANSFORMER_BRES_COND,0,8.5387335091195151,11.092461047975965,19.371550714181108,262.83017082444951,final_exploratory
TRANSFORMER_BRES_COND,1,6.8125064105765265,9.008235578215281,19.152842610105427,262.83017082444951,final_exploratory
TRANSFORMER_BRES_COND,2,9.1645639320947474,11.493235091091334,19.429248507263811,262.83017082444951,final_exploratory
CNN_MAMBA_DIRECT_COND,0,38.202790246561577,41.105094003566684,26.895474042455785,247.14316480590236,final_exploratory
CNN_MAMBA_DIRECT_COND,1,35.270728140116191,38.536593940707675,26.500121671064509,252.56891501711777,final_exploratory
CNN_MAMBA_DIRECT_COND,2,35.27724224360432,39.402627497396253,25.720818764062443,245.3495536609276,final_exploratory
CNN_MAMBA_BRES_COND,0,8.1255702682297208,9.8069845345399287,18.937631147153894,259.28243491923439,final_exploratory
CNN_MAMBA_BRES_COND,1,10.117362298389528,11.927508393258629,19.184007296487145,259.28243491923439,final_exploratory
CNN_MAMBA_BRES_COND,2,7.7429593105254231,9.7797984821450132,18.921303611648,259.28243491923439,final_exploratory
