phase,source_family,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse,comparison_status
development,c16_fast_feedback_run3,B_ANCHOR,1,376,0.247416595157,0.470868978985,0.210715843174,0.890957446809,1.12721099782,1.62343853407,0.93085106383,1.44675965287,2.20579092537,0.946143617021,1.72392045556,2.97309477062,0.479988080503,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_ANCHOR,2,375,0.491008081317,0.91929804685,0.418786942121,0.889333333333,2.23791477088,3.23875753077,0.928666666667,2.87233251213,4.42011907381,0.944,3.42259528943,5.98168441404,0.935042160378,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_ANCHOR,3,374,0.727465225213,1.34368635255,0.619825083157,0.891711229947,3.29917665058,4.80278100058,0.929812834225,4.23444738827,6.59355361075,0.943181818182,5.04565527257,9.01515953929,1.36387459903,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_ANCHOR,4,373,0.957891456127,1.74477177017,0.819472324909,0.887399463807,4.39393313483,6.39846491402,0.929624664879,5.63955212394,8.78703914972,0.943029490617,6.71994083288,12.0272789516,1.76792766325,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_ANCHOR,5,372,1.18443301674,2.12500285162,1.01846631631,0.891801075269,5.53239515296,8.0152191157,0.926075268817,7.10075230505,11.0058693441,0.941532258065,8.46106823914,15.0595209258,2.15055280846,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_ANCHOR,6,371,1.40657522239,2.4885080159,1.21124581054,0.890835579515,6.581209064,9.5856323524,0.925202156334,8.44689038638,13.1948418603,0.940026954178,10.0650906971,18.0985500911,2.51672697657,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_ANCHOR,7,370,1.62669667356,2.84011743374,1.40437584409,0.891891891892,7.64931072177,11.1799493352,0.925,9.81778402263,15.4346498148,0.937837837838,11.6986112181,21.2226955805,2.8718208984,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_RAW,1,376,33.265136852,41.3683718719,,,,,,,,,,,41.6044798801,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_RAW,2,375,33.3535737912,41.4234925988,,,,,,,,,,,41.6599152291,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_RAW,3,374,33.4422844787,41.4788335383,,,,,,,,,,,41.7155720636,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_RAW,4,373,33.5312708629,41.5343957076,,,,,,,,,,,41.7714514104,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_RAW,5,372,33.6205367556,41.5901801236,,,,,,,,,,,41.8275542939,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_RAW,6,371,33.7100823187,41.6461877496,,,,,,,,,,,41.8838816846,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_RAW,7,370,33.7997669552,41.7024172558,,,,,,,,,,,41.9404322634,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_TREND14,1,376,0.144352792056,0.306691533288,0.139325608207,0.920212765957,0.80829949476,1.14975150251,0.947473404255,1.03744117004,1.5631656669,0.956781914894,1.23618740053,2.09514239884,0.370021926972,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_TREND14,2,375,0.290911066584,0.610343515522,0.280594144971,0.917333333333,1.6210935128,2.32121190946,0.946666666667,2.08065099825,3.17632640571,0.956666666667,2.47924858124,4.31269047262,0.730638868227,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_TREND14,3,374,0.440190105674,0.905547681415,0.423922357757,0.918449197861,2.46060979263,3.50506861923,0.945187165775,3.15815847815,4.79915786827,0.954545454545,3.76317793464,6.50706281426,1.07483077551,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_TREND14,4,373,0.590888300969,1.18984642947,0.568456403192,0.911528150134,3.31418747731,4.69797885379,0.94235924933,4.25371357581,6.40302759428,0.953753351206,5.06861235099,8.64462412607,1.39956388556,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_TREND14,5,372,0.741653406045,1.46338141487,0.716943139224,0.916666666667,4.23773698473,5.94324991393,0.938844086022,5.43907653567,8.09499144788,0.950940860215,6.48105943556,10.8465963554,1.70540048281,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,B_TREND14,6,371,0.895092872758,1.72862166944,0.866525371413,0.915094339623,5.13813819464,7.20070104846,0.937331536388,6.59472897732,9.8025371026,0.949460916442,7.85810425412,13.1091325879,1.99610935195,historical_native_scale_not_main_ranking
