model,horizon,point,n,mae,rmse,interpretation
CL_DIRECT,1,ATU1,354,0.277143767145661,0.709781082810481,fitting_only_not_issued_forecast
CL_DIRECT,1,ATU5,354,0.216586892560929,0.537934992644673,fitting_only_not_issued_forecast
CL_DIRECT,1,MJ3,354,0.0312245594914164,0.0397025920765299,fitting_only_not_issued_forecast
CL_DIRECT,1,MJ1,354,0.0230816967812172,0.029480480292801,fitting_only_not_issued_forecast
CL_DIRECT,2,ATU1,354,0.519007103834681,1.4060207120208,fitting_only_not_issued_forecast
CL_DIRECT,2,ATU5,354,0.400034688971183,1.06196580926546,fitting_only_not_issued_forecast
CL_DIRECT,2,MJ3,354,0.0589326298671176,0.0758455704823493,fitting_only_not_issued_forecast
CL_DIRECT,2,MJ1,354,0.0463418334473797,0.058791160790086,fitting_only_not_issued_forecast
CL_DIRECT,3,ATU1,354,0.742968555322238,2.09704159447616,fitting_only_not_issued_forecast
CL_DIRECT,3,ATU5,354,0.570215701010525,1.58020899727449,fitting_only_not_issued_forecast
CL_DIRECT,3,MJ3,354,0.085495633456375,0.11167982359773,fitting_only_not_issued_forecast
CL_DIRECT,3,MJ1,354,0.0715033625082338,0.0900989330343029,fitting_only_not_issued_forecast
CL_DIRECT,4,ATU1,354,0.98424290962632,2.78961782899864,fitting_only_not_issued_forecast
CL_DIRECT,4,ATU5,354,0.755721104429759,2.09860142474632,fitting_only_not_issued_forecast
CL_DIRECT,4,MJ3,354,0.114966950816662,0.149771403898245,fitting_only_not_issued_forecast
CL_DIRECT,4,MJ1,354,0.0975708909759768,0.122875848505081,fitting_only_not_issued_forecast
CL_DIRECT,5,ATU1,354,1.26362090161903,3.49034872522794,fitting_only_not_issued_forecast
CL_DIRECT,5,ATU5,354,0.967503975042538,2.62276218909269,fitting_only_not_issued_forecast
CL_DIRECT,5,MJ3,354,0.147738254062634,0.190447575150329,fitting_only_not_issued_forecast
CL_DIRECT,5,MJ1,354,0.124726514650228,0.155720257450908,fitting_only_not_issued_forecast
CL_DIRECT,6,ATU1,354,1.60672996185129,4.2076226103557,fitting_only_not_issued_forecast
CL_DIRECT,6,ATU5,354,1.2233323935682,3.15890122492369,fitting_only_not_issued_forecast
CL_DIRECT,6,MJ3,354,0.183757532346413,0.233377217050899,fitting_only_not_issued_forecast
CL_DIRECT,6,MJ1,354,0.150961023793116,0.18850231552927,fitting_only_not_issued_forecast
CL_DIRECT,7,ATU1,354,2.01630965593384,4.95156157163053,fitting_only_not_issued_forecast
CL_DIRECT,7,ATU5,354,1.52516952442607,3.7164160285422,fitting_only_not_issued_forecast
CL_DIRECT,7,MJ3,354,0.223039381863943,0.283221363341555,fitting_only_not_issued_forecast
CL_DIRECT,7,MJ1,354,0.176480840582925,0.22507188526568,fitting_only_not_issued_forecast
