model,horizon,point,n,mae,rmse,interpretation
RR_BRES,1,ATU1,354,0.00525395436622338,0.0134227667742863,fitting_only_not_issued_forecast
RR_BRES,1,ATU5,354,0.00357136513265695,0.00633249041281705,fitting_only_not_issued_forecast
RR_BRES,1,MJ3,354,0.000535471882007878,0.000792356719467008,fitting_only_not_issued_forecast
RR_BRES,1,MJ1,354,0.00035296445500919,0.000538585900731182,fitting_only_not_issued_forecast
RR_BRES,2,ATU1,354,0.0138458996114101,0.0276027865200586,fitting_only_not_issued_forecast
RR_BRES,2,ATU5,354,0.0102031343133144,0.0165833226721272,fitting_only_not_issued_forecast
RR_BRES,2,MJ3,354,0.00155793363034209,0.00226690064388531,fitting_only_not_issued_forecast
RR_BRES,2,MJ1,354,0.000941077707382179,0.00134370885463117,fitting_only_not_issued_forecast
RR_BRES,3,ATU1,354,0.0288756984864978,0.0521516382604118,fitting_only_not_issued_forecast
RR_BRES,3,ATU5,354,0.0228376830301122,0.0365398216046211,fitting_only_not_issued_forecast
RR_BRES,3,MJ3,354,0.00351301463859794,0.00511192389222152,fitting_only_not_issued_forecast
RR_BRES,3,MJ1,354,0.00209029305120235,0.0029644831128066,fitting_only_not_issued_forecast
RR_BRES,4,ATU1,354,0.0527062719130183,0.0926712842074431,fitting_only_not_issued_forecast
RR_BRES,4,ATU5,354,0.0434113306123513,0.0688486715644812,fitting_only_not_issued_forecast
RR_BRES,4,MJ3,354,0.00674356178370965,0.00976518509932493,fitting_only_not_issued_forecast
RR_BRES,4,MJ1,354,0.00402605608402742,0.00570061102144585,fitting_only_not_issued_forecast
RR_BRES,5,ATU1,354,0.0881688581088394,0.152205749009203,fitting_only_not_issued_forecast
RR_BRES,5,ATU5,354,0.0732830101474033,0.11563935791498,fitting_only_not_issued_forecast
RR_BRES,5,MJ3,354,0.0115903095718038,0.0166223000403618,fitting_only_not_issued_forecast
RR_BRES,5,MJ1,354,0.00698925087411291,0.00982678370354782,fitting_only_not_issued_forecast
RR_BRES,6,ATU1,354,0.136813250546556,0.232996703602809,fitting_only_not_issued_forecast
RR_BRES,6,ATU5,354,0.114680020637464,0.179134148240235,fitting_only_not_issued_forecast
RR_BRES,6,MJ3,354,0.0184792807189076,0.0260664376695884,fitting_only_not_issued_forecast
RR_BRES,6,MJ1,354,0.011170997556037,0.0156162895266251,fitting_only_not_issued_forecast
RR_BRES,7,ATU1,354,0.200399416598443,0.336993947447117,fitting_only_not_issued_forecast
RR_BRES,7,ATU5,354,0.168852510080142,0.261389940653291,fitting_only_not_issued_forecast
RR_BRES,7,MJ3,354,0.0276528146655097,0.0384718077125685,fitting_only_not_issued_forecast
RR_BRES,7,MJ1,354,0.0168275596694059,0.0233382637721926,fitting_only_not_issued_forecast
