model,horizon,point,n,mae,rmse,interpretation
RR_DIRECT,1,ATU1,354,0.00246080269631567,0.00469575604876741,fitting_only_not_issued_forecast
RR_DIRECT,1,ATU5,354,0.00207943568813135,0.00360845708452114,fitting_only_not_issued_forecast
RR_DIRECT,1,MJ3,354,0.000416053279201475,0.000569405439653683,fitting_only_not_issued_forecast
RR_DIRECT,1,MJ1,354,0.000219443860755605,0.000292210152628585,fitting_only_not_issued_forecast
RR_DIRECT,2,ATU1,354,0.00996270381857407,0.0185807158336231,fitting_only_not_issued_forecast
RR_DIRECT,2,ATU5,354,0.00827386542620188,0.0143122193527484,fitting_only_not_issued_forecast
RR_DIRECT,2,MJ3,354,0.00140326701486467,0.00204042245610649,fitting_only_not_issued_forecast
RR_DIRECT,2,MJ1,354,0.000804740292393924,0.00112514875067541,fitting_only_not_issued_forecast
RR_DIRECT,3,ATU1,354,0.0248124065031669,0.0452195326671439,fitting_only_not_issued_forecast
RR_DIRECT,3,ATU5,354,0.0205693627830996,0.0348176591302288,fitting_only_not_issued_forecast
RR_DIRECT,3,MJ3,354,0.0033709683608909,0.00490663935619487,fitting_only_not_issued_forecast
RR_DIRECT,3,MJ1,354,0.00196583936704911,0.00278979789636982,fitting_only_not_issued_forecast
RR_DIRECT,4,ATU1,354,0.0492776606098556,0.0876827758659016,fitting_only_not_issued_forecast
RR_DIRECT,4,ATU5,354,0.0408758558785267,0.0674422594531498,fitting_only_not_issued_forecast
RR_DIRECT,4,MJ3,354,0.00671149819588451,0.00958211963019915,fitting_only_not_issued_forecast
RR_DIRECT,4,MJ1,354,0.00389915795753655,0.00555971294345229,fitting_only_not_issued_forecast
RR_DIRECT,5,ATU1,354,0.0855290927777207,0.148635600453159,fitting_only_not_issued_forecast
RR_DIRECT,5,ATU5,354,0.0707948496114409,0.114382319818986,fitting_only_not_issued_forecast
RR_DIRECT,5,MJ3,354,0.0117022158501002,0.0164605567974682,fitting_only_not_issued_forecast
RR_DIRECT,5,MJ1,354,0.00685795278584728,0.0097126991436448,fitting_only_not_issued_forecast
RR_DIRECT,6,ATU1,354,0.135149014872245,0.230423067657993,fitting_only_not_issued_forecast
RR_DIRECT,6,ATU5,354,0.112091321800843,0.177922137713986,fitting_only_not_issued_forecast
RR_DIRECT,6,MJ3,354,0.0186690848136696,0.0259251156986851,fitting_only_not_issued_forecast
RR_DIRECT,6,MJ1,354,0.0110314137174395,0.0155245046781274,fitting_only_not_issued_forecast
RR_DIRECT,7,ATU1,354,0.199936084312591,0.335121463184076,fitting_only_not_issued_forecast
RR_DIRECT,7,ATU5,354,0.166249699839318,0.260168862013017,fitting_only_not_issued_forecast
RR_DIRECT,7,MJ3,354,0.0278961614775175,0.0383498759249996,fitting_only_not_issued_forecast
RR_DIRECT,7,MJ1,354,0.0166596484120199,0.0232655257144999,fitting_only_not_issued_forecast
