model,horizon,point,n,mae,rmse,interpretation
CL_DIRECT,1,ATU1,910,0.169929690759297,0.636041120967832,fitting_only_not_issued_forecast
CL_DIRECT,1,ATU5,910,0.136905408364292,0.502848023994327,fitting_only_not_issued_forecast
CL_DIRECT,1,MJ3,910,0.0245207953027425,0.0344652007767487,fitting_only_not_issued_forecast
CL_DIRECT,1,MJ1,910,0.0157682577505566,0.0207227797781998,fitting_only_not_issued_forecast
CL_DIRECT,2,ATU1,910,0.328793653940595,1.26135236500955,fitting_only_not_issued_forecast
CL_DIRECT,2,ATU5,910,0.258971769695335,1.00068343413448,fitting_only_not_issued_forecast
CL_DIRECT,2,MJ3,910,0.0467356025617548,0.0658483921651019,fitting_only_not_issued_forecast
CL_DIRECT,2,MJ1,910,0.0306766222094582,0.0402509930262352,fitting_only_not_issued_forecast
CL_DIRECT,3,ATU1,910,0.483844834785954,1.88045792090874,fitting_only_not_issued_forecast
CL_DIRECT,3,ATU5,910,0.378240727452932,1.49661137117728,fitting_only_not_issued_forecast
CL_DIRECT,3,MJ3,910,0.0689949859091277,0.0969893188988058,fitting_only_not_issued_forecast
CL_DIRECT,3,MJ1,910,0.0476167607235812,0.0616462347761568,fitting_only_not_issued_forecast
CL_DIRECT,4,ATU1,910,0.639754120599048,2.49973300026636,fitting_only_not_issued_forecast
CL_DIRECT,4,ATU5,910,0.504368612526259,1.99256572013509,fitting_only_not_issued_forecast
CL_DIRECT,4,MJ3,910,0.0917578310456176,0.129174239035035,fitting_only_not_issued_forecast
CL_DIRECT,4,MJ1,910,0.0665349988446588,0.08523977730941,fitting_only_not_issued_forecast
CL_DIRECT,5,ATU1,910,0.812065618106821,3.12270613701473,fitting_only_not_issued_forecast
CL_DIRECT,5,ATU5,910,0.648946666884065,2.49006954795563,fitting_only_not_issued_forecast
CL_DIRECT,5,MJ3,910,0.115883871013452,0.163648001562753,fitting_only_not_issued_forecast
CL_DIRECT,5,MJ1,910,0.0867515639342513,0.111180329033324,fitting_only_not_issued_forecast
CL_DIRECT,6,ATU1,910,1.00649071606007,3.75194244681297,fitting_only_not_issued_forecast
CL_DIRECT,6,ATU5,910,0.8111783024737,2.99066826627372,fitting_only_not_issued_forecast
CL_DIRECT,6,MJ3,910,0.143356086356889,0.201772452227316,fitting_only_not_issued_forecast
CL_DIRECT,6,MJ1,910,0.109788873071474,0.141226829929495,fitting_only_not_issued_forecast
CL_DIRECT,7,ATU1,910,1.21851237060045,4.3894884180062,fitting_only_not_issued_forecast
CL_DIRECT,7,ATU5,910,0.985635081867874,3.49628463557135,fitting_only_not_issued_forecast
CL_DIRECT,7,MJ3,910,0.174275029495218,0.245288482897221,fitting_only_not_issued_forecast
CL_DIRECT,7,MJ1,910,0.139089099364129,0.179567426318552,fitting_only_not_issued_forecast
