model,point,n,mean_complete,mae,rmse,probability_complete,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
B_ANCHOR,ATU1,293,True,6.12943943558042,11.3776042323069,True,6.51800671056766,1,61.2975684234914,61.2975684234914,1,78.674577329114,78.674577329114,1,93.7465410522661,93.7465410522661
B_ANCHOR,ATU5,293,True,4.05915866724097,7.7643788967785,True,10.5844600092755,1,112.655717468594,112.655717468594,1,144.592047996361,144.592047996361,1,172.292051937163,172.292051937163
B_ANCHOR,MJ3,293,True,10.2567471805486,15.0261529201891,True,8.54728536816881,0.778156996587031,39.569206141212,62.2513153442153,0.832764505119454,50.7865262599127,76.2579545243363,0.866894197952218,60.5158785793061,86.3102262385538
B_ANCHOR,MJ1,293,True,5.83980593616974,6.51060588894484,True,5.51125273609993,1,51.0022329591315,51.0022329591315,1,65.4606573164315,65.4606573164315,1,78.0011842040395,78.0011842040395
DRIFT1,ATU1,293,True,12.8723641511973,19.2441978951135,True,9.9262257270088,0.610921501706485,17.1659882494574,75.522134706857,0.631399317406143,22.0323073932085,112.31914078687,0.651877133105802,26.2531135168773,162.777192631341
DRIFT1,ATU5,293,True,4.21421486464426,6.98170341729271,True,3.87119186399793,0.959044368600683,28.9058014988368,32.8180953001633,0.969283276450512,37.1001945716451,41.6003681463782,0.979522184300341,44.2076084998644,49.1636776377201
DRIFT1,MJ3,293,True,10.867921588627,12.3348736893467,True,7.84182161349155,0.37542662116041,21.7263715730089,54.2781757412489,0.436860068259386,27.8854960215141,72.4107345060244,0.494880546075085,33.2276179458581,92.7761236005276
DRIFT1,MJ1,293,True,8.48488051188253,13.350163123557,True,5.90865503683328,0.959044368600683,33.1055999966495,33.6906384923164,1,42.4905775865157,42.4905775865157,1,50.6306460266769,50.6306460266769
RR_DIRECT,ATU1,293,True,140.357261744544,163.778111804045,True,96.8737913664903,0.63481228668942,284.587740043713,613.130066742581,0.689419795221843,365.264409940383,909.114914032304,0.726962457337884,435.239389442978,1370.85492105113
RR_DIRECT,ATU5,293,True,192.206719887359,235.229988396642,True,131.722150421043,0.631399317406143,431.973272179708,866.146136514725,0.675767918088737,554.431692484371,1280.72223197613,0.709897610921502,660.646109387224,1908.24424352716
RR_DIRECT,MJ3,293,True,84.9494636865344,107.727563066142,True,60.2017911144784,0.0716723549488055,122.886245721252,368.955805897699,0.484641638225256,157.722788853335,389.460480665945,0.750853242320819,187.938294708136,432.296615436534
RR_DIRECT,MJ1,293,True,35.3349988734885,44.8469368475076,True,21.5154886306597,0.795221843003413,86.0051704823905,87.0483012505417,0.948805460750853,110.386441254452,110.453713600422,1,131.533557573299,131.533557573299
TCN_DIRECT,ATU1,293,True,113.746077819181,127.800071644401,True,88.1843204179181,0.0989761092150171,123.401321771288,654.647627890412,0.232081911262799,158.383881806467,930.301148583052,0.447098976109215,188.726035548622,1347.74526420238
TCN_DIRECT,ATU5,293,True,126.831334376519,145.870866882327,True,101.68552254968,0.0921501706484642,119.01407812995,798.530590120406,0.160409556313993,152.752915554471,1213.82297225178,0.249146757679181,182.016325413182,1860.5428790546
TCN_DIRECT,MJ3,293,True,53.2913491052145,62.6691912026307,True,35.3412005681146,0.477815699658703,107.935839624981,199.276140367904,0.583617747440273,138.534150367767,216.250507108116,0.767918088737201,165.073621689312,209.956167473852
TCN_DIRECT,MJ1,293,True,22.5460560399777,26.5856915475094,True,13.8668254288714,1,87.6134005011216,87.6134005011216,1,112.450582136803,112.450582136803,1,133.993133138041,133.993133138041
TCN_BRES,ATU1,293,True,244.237528644654,280.187423315744,True,205.152413587153,0.191126279863481,187.13014109286,1718.84364528052,0.235494880546075,240.178935880532,2828.83037080365,0.300341296928328,286.190853981007,4719.22584587479
TCN_BRES,ATU5,293,True,272.062583792756,315.031848594112,True,223.006744343138,0.174061433447099,230.316651290457,1815.53255639839,0.215017064846416,295.608221633623,2854.34879425926,0.279863481228669,352.238921714661,4467.41795844267
TCN_BRES,MJ3,293,True,151.54968253857,179.189251160666,True,109.377090898185,0.0238907849829352,211.578309430634,669.903093968322,0.283276450511945,271.557820229691,863.966368161826,0.324232081911263,323.581100864788,1193.87753613667
TCN_BRES,MJ1,293,True,60.6984425318413,72.9029344212759,True,45.240375394482,0.348122866894198,76.4795152848146,314.016134895489,0.47098976109215,98.1603951693194,410.812432587296,0.546075085324232,116.965325113249,526.493566699503
