phase,seed,horizon,point,mae_difference,rmse_difference
inner,0,1,ATU1,-0.0334928361159986,-0.101403320584119
inner,0,1,ATU5,-0.0704738437242731,-0.0815531904491269
inner,0,1,MJ3,-0.126924950166283,-0.14169103582642
inner,0,1,MJ1,-0.0599739171099537,-0.0619884029390714
inner,0,2,ATU1,-0.0130685312596115,-0.126986827416382
inner,0,2,ATU5,-0.0782514311145268,-0.0940157752854327
inner,0,2,MJ3,-0.257114952822396,-0.285099419111944
inner,0,2,MJ1,-0.120454765309517,-0.124063230936241
inner,0,3,ATU1,0.0527492075799052,-0.0869304237124078
inner,0,3,ATU5,-0.0249602581857697,-0.0453866295954102
inner,0,3,MJ3,-0.371429449069351,-0.41404511625249
inner,0,3,MJ1,-0.182544124404817,-0.187403964119807
inner,0,4,ATU1,0.159116487026429,0.0138622858045245
inner,0,4,ATU5,0.0786353108385909,0.059024517010843
inner,0,4,MJ3,-0.468388988257103,-0.52608480996437
inner,0,4,MJ1,-0.248048437381672,-0.254614658535588
inner,0,5,ATU1,0.307496811416627,0.175368674058699
inner,0,5,ATU5,0.233660711055242,0.209317189126641
inner,0,5,MJ3,-0.549235544008233,-0.621416056921226
inner,0,5,MJ1,-0.313711895359974,-0.323783334594705
inner,0,6,ATU1,0.499072691131404,0.401152721530286
inner,0,6,ATU5,0.412229965989805,0.393664989966505
inner,0,6,MJ3,-0.616895461802857,-0.702472665750108
inner,0,6,MJ1,-0.380156348105322,-0.394024923721421
inner,0,7,ATU1,0.730472313176599,0.692902455069802
inner,0,7,ATU5,0.591094178136059,0.597866408897585
inner,0,7,MJ3,-0.672258279234552,-0.769765026343224
inner,0,7,MJ1,-0.448663387874339,-0.465692493679519
inner,1,1,ATU1,-0.174717076551204,-0.232772956278141
inner,1,1,ATU5,0.0383352286891835,0.00902509448157174
inner,1,1,MJ3,-0.289028587575974,-0.329927186558101
inner,1,1,MJ1,-0.0338444114876956,-0.0442023192156227
inner,1,2,ATU1,-0.255102402139025,-0.32564205455316
inner,1,2,ATU5,0.178694726152034,0.150672112069346
inner,1,2,MJ3,-0.572138442711223,-0.653463306155616
inner,1,2,MJ1,-0.0721651145929964,-0.0948085775410492
inner,1,3,ATU1,-0.27394072946745,-0.314395595000682
inner,1,3,ATU5,0.398581579772661,0.410952497000326
inner,1,3,MJ3,-0.828043512714793,-0.945607033310871
inner,1,3,MJ1,-0.104899730245004,-0.138915967691128
inner,1,4,ATU1,-0.222428562492798,-0.219919318177398
inner,1,4,ATU5,0.682507623158638,0.762385482922014
inner,1,4,MJ3,-1.05296841031362,-1.20139664142012
inner,1,4,MJ1,-0.133173032021139,-0.178332700370348
inner,1,5,ATU1,-0.105709232203236,-0.0710286226439492
inner,1,5,ATU5,0.963337215650999,1.16234469843596
inner,1,5,MJ3,-1.24937009211949,-1.42357659481082
inner,1,5,MJ1,-0.158423452518018,-0.214687276506661
inner,1,6,ATU1,0.0766944366507119,0.0882026351940624
inner,1,6,ATU5,1.24497660840237,1.57030344596835
inner,1,6,MJ3,-1.4186688058912,-1.61377823306746
inner,1,6,MJ1,-0.179373849228429,-0.245959079743459
inner,1,7,ATU1,0.20065727421554,0.215433407091319
inner,1,7,ATU5,1.50948759336465,1.95544473063336
inner,1,7,MJ3,-1.56154262928869,-1.77306143481972
inner,1,7,MJ1,-0.198523074915514,-0.274824481432308
inner,2,1,ATU1,-0.183267637908273,-0.209065558726791
inner,2,1,ATU5,-0.0533358555780665,-0.0740017801983129
inner,2,1,MJ3,-0.207269971252759,-0.220178399982213
inner,2,1,MJ1,-0.0345033465656362,-0.0404717839845342
inner,2,2,ATU1,-0.345715070238069,-0.38180067373977
inner,2,2,ATU5,-0.0828886894707905,-0.126745140820463
inner,2,2,MJ3,-0.397046480114117,-0.419399767091504
inner,2,2,MJ1,-0.0577133047655586,-0.0740495559978123
inner,2,3,ATU1,-0.499942819148956,-0.552625868314783
inner,2,3,ATU5,-0.103712528520604,-0.177170587791889
inner,2,3,MJ3,-0.561515015838734,-0.592364240451085
inner,2,3,MJ1,-0.0780355573986659,-0.104262844475246
inner,2,4,ATU1,-0.635656989586308,-0.71732085135147
inner,2,4,ATU5,-0.116566426627736,-0.231056861439809
inner,2,4,MJ3,-0.70319189572925,-0.741480319186637
inner,2,4,MJ1,-0.096158397783793,-0.132262989912056
inner,2,5,ATU1,-0.704045724619691,-0.814627833166271
inner,2,5,ATU5,-0.120117722987464,-0.285102614271686
inner,2,5,MJ3,-0.826436761891152,-0.87079981558333
inner,2,5,MJ1,-0.112789411596361,-0.158733842232571
inner,2,6,ATU1,-0.752858608121802,-0.888974799805176
inner,2,6,ATU5,-0.113365392325099,-0.332424982980434
inner,2,6,MJ3,-0.93545188526404,-0.984322126181683
inner,2,6,MJ1,-0.128055707303615,-0.184257749674934
inner,2,7,ATU1,-0.776946631433681,-0.912012133628087
inner,2,7,ATU5,-0.0916000407165045,-0.372368392693859
inner,2,7,MJ3,-1.03391942291484,-1.08592398841393
inner,2,7,MJ1,-0.141875830169948,-0.208736499747026
development,0,1,ATU1,-0.0435435354301494,-0.119421903744957
development,0,1,ATU5,-0.0540834937143281,-0.10924018540971
development,0,1,MJ3,-0.0313393926262452,-0.0354932140895372
development,0,1,MJ1,-0.0552118091746861,-0.0506105985223305
development,0,2,ATU1,-0.119245314706474,-0.352426591825584
development,0,2,ATU5,-0.0958941024426012,-0.210314263031438
development,0,2,MJ3,-0.0551497152288236,-0.0611668966885241
development,0,2,MJ1,-0.112083680449414,-0.103455030755322
development,0,3,ATU1,-0.207283347377512,-0.596129481043193
development,0,3,ATU5,-0.0934472754923832,-0.207321001182662
development,0,3,MJ3,-0.0829497221705164,-0.0908008872180243
development,0,3,MJ1,-0.166472961373807,-0.153451250187814
development,0,4,ATU1,-0.250754687973744,-0.728449213272113
development,0,4,ATU5,-0.0503702067922419,-0.11384915888136
development,0,4,MJ3,-0.114748135974161,-0.126557549128827
development,0,4,MJ1,-0.220376845091486,-0.202807254921324
development,0,5,ATU1,-0.281327274176557,-0.744647490327161
development,0,5,ATU5,0.011937078515758,0.0320854849674235
development,0,5,MJ3,-0.148586425681922,-0.166669873269568
development,0,5,MJ1,-0.273434989087699,-0.250309380760409
development,0,6,ATU1,-0.299311177010006,-0.686043090276341
development,0,6,ATU5,0.0858939494242974,0.22780833744029
development,0,6,MJ3,-0.18359835364441,-0.210042778999426
development,0,6,MJ1,-0.326804893545164,-0.297977638810657
development,0,7,ATU1,-0.310725496912059,-0.576433092795006
