phase,model,seed,horizon,point,n,mae,rmse
inner,TCN_DIRECT,0,1,ATU1,180,0.544951761895468,0.679397036378323
inner,TCN_DIRECT,0,1,ATU5,180,0.466772667861899,0.597270056665375
inner,TCN_DIRECT,0,1,MJ3,180,0.601735720937684,0.647113376181484
inner,TCN_DIRECT,0,1,MJ1,180,0.270601440499779,0.299182541060871
inner,TCN_DIRECT,0,2,ATU1,179,1.04416779295958,1.27901646871153
inner,TCN_DIRECT,0,2,ATU5,179,0.914427085917262,1.1846465210765
inner,TCN_DIRECT,0,2,MJ3,179,1.20511592893524,1.29480028609251
inner,TCN_DIRECT,0,2,MJ1,179,0.540469872443354,0.596599028206233
inner,TCN_DIRECT,0,3,ATU1,178,1.49704431043099,1.80000603172795
inner,TCN_DIRECT,0,3,ATU5,178,1.34396385621417,1.76829342242513
inner,TCN_DIRECT,0,3,MJ3,178,1.81077810952707,1.94382393983529
inner,TCN_DIRECT,0,3,MJ1,178,0.809513609592553,0.89231466131772
inner,TCN_DIRECT,0,4,ATU1,177,1.90064398492482,2.24355154003322
inner,TCN_DIRECT,0,4,ATU5,177,1.76182003356903,2.34790799488399
inner,TCN_DIRECT,0,4,MJ3,177,2.42011883029811,2.59569193885261
inner,TCN_DIRECT,0,4,MJ1,177,1.07815747383602,1.18707611586915
inner,TCN_DIRECT,0,5,ATU1,176,2.25516349251764,2.61380599614058
inner,TCN_DIRECT,0,5,ATU5,176,2.17232308624301,2.93094144599624
inner,TCN_DIRECT,0,5,MJ3,176,3.03365106477121,3.25105517516022
inner,TCN_DIRECT,0,5,MJ1,176,1.34564351465318,1.47997652038393
inner,TCN_DIRECT,0,6,ATU1,175,2.56282124564006,2.91939166860777
inner,TCN_DIRECT,0,6,ATU5,175,2.60228193393073,3.52888778714631
inner,TCN_DIRECT,0,6,MJ3,175,3.65188723995015,3.91060300738559
inner,TCN_DIRECT,0,6,MJ1,175,1.61188556380321,1.7712607460309
inner,TCN_DIRECT,0,7,ATU1,174,2.82746902273842,3.17396683241751
inner,TCN_DIRECT,0,7,ATU5,174,3.07085700810447,4.15518838864284
inner,TCN_DIRECT,0,7,MJ3,174,4.27595234645035,4.5756372219073
inner,TCN_DIRECT,0,7,MJ1,174,1.87680826019278,2.06088890176518
inner,TCN_DIRECT,1,1,ATU1,180,0.422585544137063,0.519090149357389
inner,TCN_DIRECT,1,1,ATU5,180,0.36366061755275,0.476260125678399
inner,TCN_DIRECT,1,1,MJ3,180,0.674801284948847,0.73483979859465
inner,TCN_DIRECT,1,1,MJ1,180,0.22150396616236,0.244729137193249
inner,TCN_DIRECT,1,2,ATU1,179,0.753460202440886,0.904931922782478
inner,TCN_DIRECT,1,2,ATU5,179,0.668825312641628,0.882990342520004
inner,TCN_DIRECT,1,2,MJ3,179,1.34484140047685,1.46301357529552
inner,TCN_DIRECT,1,2,MJ1,179,0.442933522258869,0.48819186882696
inner,TCN_DIRECT,1,3,ATU1,178,1.00108324173067,1.17391386478551
inner,TCN_DIRECT,1,3,ATU5,178,0.949124143002328,1.24168356586069
inner,TCN_DIRECT,1,3,MJ3,178,2.01026429366958,2.1845712098794
inner,TCN_DIRECT,1,3,MJ1,178,0.663828541177169,0.730255494852995
inner,TCN_DIRECT,1,4,ATU1,177,1.18891682146298,1.35671815207788
inner,TCN_DIRECT,1,4,ATU5,177,1.21774217432091,1.57758914418749
inner,TCN_DIRECT,1,4,MJ3,177,2.6710116024695,2.899526211527
inner,TCN_DIRECT,1,4,MJ1,177,0.884340455915942,0.971633498844806
inner,TCN_DIRECT,1,5,ATU1,176,1.35092730118581,1.50271991505423
inner,TCN_DIRECT,1,5,ATU5,176,1.53877342053322,1.93007182283909
inner,TCN_DIRECT,1,5,MJ3,176,3.32702511945697,3.60800454816169
inner,TCN_DIRECT,1,5,MJ1,176,1.10472446028891,1.21294675867943
inner,TCN_DIRECT,1,6,ATU1,175,1.49774819187621,1.68257392470445
inner,TCN_DIRECT,1,6,ATU5,175,1.90699051923277,2.34022663157507
inner,TCN_DIRECT,1,6,MJ3,175,3.97817339970922,4.31000339760643
inner,TCN_DIRECT,1,6,MJ1,175,1.32262758072373,1.45181552664848
inner,TCN_DIRECT,1,7,ATU1,174,1.76447351195076,1.96779176922799
inner,TCN_DIRECT,1,7,ATU5,174,2.34530287540212,2.84299160314139
inner,TCN_DIRECT,1,7,MJ3,174,4.62522927533917,5.00643999146328
inner,TCN_DIRECT,1,7,MJ1,174,1.53973314301486,1.69054727005558
inner,TCN_DIRECT,2,1,ATU1,180,0.496138558607461,0.571838755168566
inner,TCN_DIRECT,2,1,ATU5,180,0.579875132451177,0.763630657211957
inner,TCN_DIRECT,2,1,MJ3,180,0.626624304608389,0.669572237265394
inner,TCN_DIRECT,2,1,MJ1,180,0.202853067535226,0.22068142915471
inner,TCN_DIRECT,2,2,ATU1,179,0.978773180112108,1.11584316698693
inner,TCN_DIRECT,2,2,ATU5,179,1.16057495402238,1.53571950355117
inner,TCN_DIRECT,2,2,MJ3,179,1.25384485990225,1.33850461940491
inner,TCN_DIRECT,2,2,MJ1,179,0.405790674238463,0.441223786034059
inner,TCN_DIRECT,2,3,ATU1,178,1.44837537946122,1.63965760909897
inner,TCN_DIRECT,2,3,ATU5,178,1.74870298061998,2.32150451624405
inner,TCN_DIRECT,2,3,MJ3,178,1.88214535175751,2.00733807794484
inner,TCN_DIRECT,2,3,MJ1,178,0.608272812107066,0.661353612459646
inner,TCN_DIRECT,2,4,ATU1,177,1.90491073740136,2.14852286881947
inner,TCN_DIRECT,2,4,ATU5,177,2.33896877342489,3.11724634481928
inner,TCN_DIRECT,2,4,MJ3,177,2.51208907215674,2.67672971949639
inner,TCN_DIRECT,2,4,MJ1,177,0.810393999193916,0.881637710097693
inner,TCN_DIRECT,2,5,ATU1,176,2.35057469495999,2.6503018642769
inner,TCN_DIRECT,2,5,ATU5,176,2.93201870943297,3.9262918757955
inner,TCN_DIRECT,2,5,MJ3,176,3.14371164846307,3.34676127373145
inner,TCN_DIRECT,2,5,MJ1,176,1.01152313504853,1.10168477397746
inner,TCN_DIRECT,2,6,ATU1,175,2.78868312242618,3.15369633952189
inner,TCN_DIRECT,2,6,ATU5,175,3.53264364438931,4.75485672074855
inner,TCN_DIRECT,2,6,MJ3,175,3.77748728514823,4.01799785639593
inner,TCN_DIRECT,2,6,MJ1,175,1.21110219128229,1.32116931556149
inner,TCN_DIRECT,2,7,ATU1,174,3.2317769821506,3.6740922763583
inner,TCN_DIRECT,2,7,ATU5,174,4.14532413226216,5.61359506301728
inner,TCN_DIRECT,2,7,MJ3,174,4.413616585843,4.69069564272881
inner,TCN_DIRECT,2,7,MJ1,174,1.40837622192063,1.53938383014777
inner,TCN_BRES,0,1,ATU1,180,0.511458925779469,0.577993715794203
inner,TCN_BRES,0,1,ATU5,180,0.396298824137625,0.515716866216248
inner,TCN_BRES,0,1,MJ3,180,0.474810770771401,0.505422340355064
inner,TCN_BRES,0,1,MJ1,180,0.210627523389825,0.2371941381218
inner,TCN_BRES,0,2,ATU1,179,1.03109926169996,1.15202964129515
inner,TCN_BRES,0,2,ATU5,179,0.836175654802735,1.09063074579107
inner,TCN_BRES,0,2,MJ3,179,0.948000976112844,1.00970086698057
inner,TCN_BRES,0,2,MJ1,179,0.420015107133837,0.472535797269992
