model,horizon,point,n,mae,rmse,interpretation
TCN_BRES,1,ATU1,534,0.0549854504776054,0.0775622580783524,fitting_only_not_issued_forecast
TCN_BRES,1,ATU5,534,0.0671110337763203,0.0874719833416902,fitting_only_not_issued_forecast
TCN_BRES,1,MJ3,534,0.0177340256281701,0.0250381932855954,fitting_only_not_issued_forecast
TCN_BRES,1,MJ1,534,0.0122507865519468,0.0173601646973854,fitting_only_not_issued_forecast
TCN_BRES,2,ATU1,534,0.09020688190279,0.124504471704952,fitting_only_not_issued_forecast
TCN_BRES,2,ATU5,534,0.126131368525393,0.163753948355775,fitting_only_not_issued_forecast
TCN_BRES,2,MJ3,534,0.0318687116187634,0.0438735992439914,fitting_only_not_issued_forecast
TCN_BRES,2,MJ1,534,0.0198045693734595,0.0265686882760018,fitting_only_not_issued_forecast
TCN_BRES,3,ATU1,534,0.128442996574676,0.176089945530807,fitting_only_not_issued_forecast
TCN_BRES,3,ATU5,534,0.183337160061226,0.23666905875491,fitting_only_not_issued_forecast
TCN_BRES,3,MJ3,534,0.044816305223181,0.0627925583116892,fitting_only_not_issued_forecast
TCN_BRES,3,MJ1,534,0.0282219097850869,0.037334106432203,fitting_only_not_issued_forecast
TCN_BRES,4,ATU1,534,0.183800166927518,0.245456501355569,fitting_only_not_issued_forecast
TCN_BRES,4,ATU5,534,0.243929857583252,0.308579054387226,fitting_only_not_issued_forecast
TCN_BRES,4,MJ3,534,0.0575462250297803,0.0805204743016027,fitting_only_not_issued_forecast
TCN_BRES,4,MJ1,534,0.0375115233630634,0.0494355122285436,fitting_only_not_issued_forecast
TCN_BRES,5,ATU1,534,0.252640896096117,0.338669832994093,fitting_only_not_issued_forecast
TCN_BRES,5,ATU5,534,0.307303308437078,0.382497977602172,fitting_only_not_issued_forecast
TCN_BRES,5,MJ3,534,0.0724270361383547,0.100839181675559,fitting_only_not_issued_forecast
TCN_BRES,5,MJ1,534,0.0494542376886933,0.0646177744836762,fitting_only_not_issued_forecast
TCN_BRES,6,ATU1,534,0.336836953767644,0.458590049846497,fitting_only_not_issued_forecast
TCN_BRES,6,ATU5,534,0.373888352929466,0.463551667692488,fitting_only_not_issued_forecast
TCN_BRES,6,MJ3,534,0.0919560189040441,0.126458079296266,fitting_only_not_issued_forecast
TCN_BRES,6,MJ1,534,0.0649104560727064,0.0840032365146433,fitting_only_not_issued_forecast
TCN_BRES,7,ATU1,534,0.444012072072652,0.608009827668943,fitting_only_not_issued_forecast
TCN_BRES,7,ATU5,534,0.457359838120668,0.560245396615232,fitting_only_not_issued_forecast
TCN_BRES,7,MJ3,534,0.116201005335631,0.158446511082184,fitting_only_not_issued_forecast
TCN_BRES,7,MJ1,534,0.0837958639476804,0.108098675573974,fitting_only_not_issued_forecast
