model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse
B_ANCHOR,1,370,0.220813832333364,0.468816431309053,0.187195333101204,0.814864864864865,0.869474777879827,1.44079147864869,0.896621621621622,1.11595879587624,2.01836601157772,0.931081081081081,1.32974692234584,2.86085066917745,0.482723312379829
B_ANCHOR,2,370,0.442302273452997,0.955049826917835,0.380683243614423,0.82027027027027,1.76406800091702,2.97200023308986,0.902702702702703,2.26415676708594,4.23230967070025,0.931756756756757,2.69790919151008,6.13174998503344,0.991819506438312
B_ANCHOR,3,370,0.665107201252805,1.45579517679267,0.580967487046882,0.826351351351351,2.6804875146729,4.59601468523759,0.903378378378378,3.44036847915225,6.6295183957058,0.929054054054054,4.09945189176653,9.77059298125239,1.52602073231278
B_ANCHOR,4,370,0.888789345663484,1.96846828221046,0.787011412172045,0.826351351351351,3.61266148804784,6.29820320170966,0.900675675675676,4.63680082122813,9.18386177730603,0.927702702702703,5.52508895878855,13.7142756362514,2.08315654017227
B_ANCHOR,5,370,1.11358601662981,2.4909618716541,0.99810213163089,0.829054054054054,4.55606158905077,8.06530682321275,0.899324324324324,5.84764174212516,11.8658727290917,0.925675675675676,6.96789490643018,17.9066084923665,2.66075195861452
B_ANCHOR,6,370,1.33932828017239,3.02120066650962,1.21355639751258,0.825,5.50693947259712,9.89098024576634,0.894594594594595,7.06808029301132,14.6505765672425,0.923648648648649,8.42213713557882,22.2941000455354,3.25592874733582
B_ANCHOR,7,370,1.5656945771687,3.55703560971604,1.43230546149746,0.817567567567568,6.46381499311425,11.7618395294814,0.893918918918919,8.29621672761108,17.5160817399976,0.921621621621622,9.88555195892587,26.8453277509284,3.86545130971596
DRIFT1,1,370,0.00246126875387309,0.00323351682929165,0.00182850774350734,0.775675675675676,0.00835547779898343,0.0123938803264646,0.858108108108108,0.0107241396538959,0.0153985862966486,0.899324324324324,0.0127786005650697,0.0184101872422088,0.00329394671209998
DRIFT1,2,370,0.00737062420101063,0.00968372393012403,0.00549785449807448,0.776351351351351,0.0251065442584373,0.0375395139538356,0.85472972972973,0.0322239006950625,0.0469458950792622,0.898648648648649,0.0383971459641463,0.0568241635144508,0.00986514866573637
DRIFT1,3,370,0.0147086778639252,0.0193250338982412,0.0110168772326449,0.771621621621622,0.0502821161252563,0.0757773662902413,0.852027027027027,0.0645363973663197,0.0953900480846693,0.893918918918919,0.0768998605452769,0.116805641424875,0.019687820441423
