model,horizon,point,n,mae,rmse,interpretation
TCN_DIRECT,1,ATU1,354,0.0635397103856998,0.0808840557111732,fitting_only_not_issued_forecast
TCN_DIRECT,1,ATU5,354,0.0705246156993238,0.0902928712238884,fitting_only_not_issued_forecast
TCN_DIRECT,1,MJ3,354,0.0203764347646133,0.0259837612675343,fitting_only_not_issued_forecast
TCN_DIRECT,1,MJ1,354,0.0139486804683723,0.0183704626259074,fitting_only_not_issued_forecast
TCN_DIRECT,2,ATU1,354,0.1156911019294,0.143708095900354,fitting_only_not_issued_forecast
TCN_DIRECT,2,ATU5,354,0.133129962262894,0.169524724597826,fitting_only_not_issued_forecast
TCN_DIRECT,2,MJ3,354,0.0401975103164803,0.05147386282238,fitting_only_not_issued_forecast
TCN_DIRECT,2,MJ1,354,0.0273176894520452,0.0364504066318707,fitting_only_not_issued_forecast
TCN_DIRECT,3,ATU1,354,0.164936767377836,0.198613294406073,fitting_only_not_issued_forecast
TCN_DIRECT,3,ATU5,354,0.191488666256361,0.242449289424747,fitting_only_not_issued_forecast
TCN_DIRECT,3,MJ3,354,0.0604717963057377,0.0775140158687073,fitting_only_not_issued_forecast
TCN_DIRECT,3,MJ1,354,0.0405794544632012,0.0549679803993838,fitting_only_not_issued_forecast
TCN_DIRECT,4,ATU1,354,0.21738353458977,0.259082853514825,fitting_only_not_issued_forecast
TCN_DIRECT,4,ATU5,354,0.24860230588308,0.314890181090407,fitting_only_not_issued_forecast
TCN_DIRECT,4,MJ3,354,0.0824315927156305,0.105088028708844,fitting_only_not_issued_forecast
TCN_DIRECT,4,MJ1,354,0.0541064504681441,0.0746915823430337,fitting_only_not_issued_forecast
TCN_DIRECT,5,ATU1,354,0.278058729538377,0.339216720381194,fitting_only_not_issued_forecast
TCN_DIRECT,5,ATU5,354,0.310268032077094,0.393392282424496,fitting_only_not_issued_forecast
TCN_DIRECT,5,MJ3,354,0.10638073055965,0.135060433690195,fitting_only_not_issued_forecast
TCN_DIRECT,5,MJ1,354,0.0682961762899696,0.0963490549176761,fitting_only_not_issued_forecast
TCN_DIRECT,6,ATU1,354,0.357251271483683,0.44988181786523,fitting_only_not_issued_forecast
TCN_DIRECT,6,ATU5,354,0.384406960565893,0.484614182344333,fitting_only_not_issued_forecast
TCN_DIRECT,6,MJ3,354,0.132857872355766,0.168152230068144,fitting_only_not_issued_forecast
TCN_DIRECT,6,MJ1,354,0.0832498746616456,0.120540686912433,fitting_only_not_issued_forecast
TCN_DIRECT,7,ATU1,354,0.465440290844416,0.597421946194277,fitting_only_not_issued_forecast
TCN_DIRECT,7,ATU5,354,0.476732162656596,0.594580790538385,fitting_only_not_issued_forecast
TCN_DIRECT,7,MJ3,354,0.16206144911411,0.204946051604762,fitting_only_not_issued_forecast
TCN_DIRECT,7,MJ1,354,0.0998488031755296,0.147775837532864,fitting_only_not_issued_forecast
