model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse
B_ANCHOR,1,180,0.308476616315764,0.372295747403468,0.220947479185099,0.604166666666667,0.784196677563779,1.40920099608995,0.7125,1.00650553907749,1.78689268327764,0.786111111111111,1.19932532263563,2.29248204464652,0.395170915654636
B_ANCHOR,2,179,0.608985440500811,0.732440600750352,0.438506361536362,0.608938547486033,1.53027818764292,2.82277585976516,0.709497206703911,1.96409079030663,3.6147119657722,0.787709497206704,2.34035852691796,4.69611445293479,0.778947162095222
B_ANCHOR,3,178,0.908803058998548,1.08868624538644,0.656877586901825,0.60252808988764,2.2581746710548,4.25811033705265,0.706460674157303,2.89833581249304,5.51337930857259,0.780898876404494,3.45358013291269,7.23648255835695,1.15905834113772
B_ANCHOR,4,177,1.20595176917615,1.44076624166379,0.875478820335799,0.598870056497175,2.96997189268648,5.71583532354348,0.701977401129944,3.81191765588715,7.47177980318468,0.774011299435028,4.54218004274223,9.89075838470284,1.53529565693335
B_ANCHOR,5,176,1.50004490203078,1.78814677918233,1.09349427195373,0.603693181818182,3.66733280115464,7.19582596427222,0.697443181818182,4.70697069193145,9.47678392959247,0.769886363636364,5.60870151684531,12.6216652592225,1.90707066639463
B_ANCHOR,6,175,1.79057055310636,2.13068046465686,1.31037686269746,0.607142857142857,4.35211817720791,8.6903821924687,0.697142857142857,5.5858832068609,11.5121706565416,0.761428571428571,6.65599037379723,15.3923912471075,2.27419824064287
B_ANCHOR,7,174,2.07899635473534,2.46956110572079,1.52664116005487,0.603448275862069,5.02531765481801,10.1946975710895,0.691091954022988,6.44992538212696,13.569943221256,0.758620689655172,7.68556012814906,18.1867909642383,2.63789789948729
DRIFT1,1,180,0.00549584912837228,0.00707521704212007,0.00412186161149574,0.783333333333333,0.0190316697287674,0.0276731805170071,0.855555555555556,0.0244268836478721,0.034098633200183,0.890277777777778,0.0291064271129776,0.0397257658095885,0.00782899912969781
DRIFT1,2,179,0.0164724576443842,0.0211806527788357,0.0123911569417728,0.782122905027933,0.057198443320643,0.0835367987291769,0.857541899441341,0.0734134072177985,0.103447906688937,0.892458100558659,0.0874774701964948,0.122018273272152,0.0234756026512414
DRIFT1,3,178,0.0329173536338099,0.0422675922159676,0.0248258304953579,0.782303370786517,0.114566581828523,0.167952212579903,0.859550561797753,0.147044615850476,0.208919350669609,0.89185393258427,0.175214466786091,0.249068735951701,0.046924431863661
DRIFT1,4,177,0.0548097676085118,0.0702837108868292,0.0414361959903595,0.779661016949152,0.191174236302424,0.281260082810684,0.865819209039548,0.245369475888468,0.351279453217836,0.896892655367232,0.292375763877651,0.422614622067439,0.0781561680525794
DRIFT1,5,176,0.082131978943229,0.105173198867022,0.0622224499175587,0.78125,0.28709230885284,0.423670465369763,0.867897727272727,0.368478989205404,0.530681926115924,0.896306818181818,0.439069796891787,0.64322725144099,0.117147610067424
DRIFT1,6,175,0.114878254294361,0.146876886871581,0.0871713359678666,0.781428571428571,0.402397887597104,0.595229066760219,0.865714285714286,0.516472097328707,0.747490162981597,0.897142857142857,0.615414461930108,0.910292430494207,0.1638717301192
DRIFT1,7,174,0.153010131356864,0.195332377092496,0.116254103188393,0.783045977011494,0.537147884465778,0.795811172966128,0.867816091954023,0.689421845930471,1.00093030706498,0.89367816091954,0.821496798279366,1.22194816071846,0.218297729944144
RR_DIRECT,1,180,0.00201375582091825,0.00225876698634497,0.00159831200353057,0.798611111111111,0.00906802162607679,0.0107997703564537,0.911111111111111,0.0116386797550356,0.0131133717198627,0.945833333333333,0.0138683423094251,0.0151600717580605,0.00246901821552196
RR_DIRECT,2,179,0.00618992567252871,0.00714598537682756,0.00496257408401851,0.810055865921788,0.0280514156200306,0.0346167202443585,0.921787709497207,0.0360036021680687,0.0429136609971639,0.941340782122905,0.0429009380572745,0.050789071183461,0.00795732853126575
RR_DIRECT,3,178,0.0141206450346576,0.0164605381921321,0.0111022260405869,0.823033707865168,0.0602950577080738,0.0764855585956632,0.917134831460674,0.077387868755979,0.0948743605164245,0.943820224719101,0.0922133332211036,0.11227548084537,0.0187918009596036
RR_DIRECT,4,177,0.0274337357533751,0.0321198981437371,0.0210794146261205,0.826271186440678,0.109238805554287,0.142764154540509,0.903954802259887,0.140206489033047,0.17620106328667,0.94774011299435,0.16706633611703,0.206540157439496,0.0373823233564093
RR_DIRECT,5,176,0.0477565295699545,0.0560148373968522,0.0359545818780819,0.8125,0.178152942611963,0.239975005566278,0.899147727272727,0.228656826370339,0.295167732807687,0.944602272727273,0.272461413685604,0.344999474172026,0.0660286417705646
RR_DIRECT,6,175,0.0765381249267987,0.08987308031107,0.0566976952226277,0.814285714285714,0.269741664124417,0.374546487407761,0.892857142857143,0.346209677787278,0.45864453995632,0.938571428571429,0.412534275660682,0.538045067970128,0.106742179585997
RR_DIRECT,7,174,0.115346724190453,0.135629557627718,0.0843699917992409,0.808908045977011,0.386350032370322,0.551514352935351,0.89367816091954,0.495874898133415,0.675153440589294,0.936781609195402,0.590871385303898,0.79649887479486,0.161761338892957
TCN_DIRECT,1,180,0.442273123962049,0.522406442051024,0.308439807729386,0.511111111111111,0.955052881483436,1.89422256084806,0.663888888888889,1.22579710272595,2.33676167435243,0.730555555555556,1.46062733749092,2.79756442030972,0.547302648268706
TCN_DIRECT,2,179,0.861657573531252,1.0146055975502,0.60223215602892,0.508379888268156,1.81714676533964,3.7035649173336,0.650837988826816,2.33228262368194,4.59987963140818,0.723463687150838,2.77908615653376,5.5996358223428,1.06443169594082
TCN_DIRECT,3,178,1.26255361195583,1.47961023041984,0.882589802089863,0.492977528089888,2.59395002990586,5.41418076661823,0.64747191011236,3.32929881991006,6.75728656902418,0.720505617977528,3.96710422974795,8.37319978242116,1.55681164568829
TCN_DIRECT,4,177,1.64794522545526,1.91956537298326,1.15048239481822,0.490112994350283,3.29613945959573,7.05320790049184,0.639830508474576,4.23054919584913,8.82956697432445,0.72316384180791,5.04101028980728,11.0603189972745,2.02879459854648
TCN_DIRECT,5,176,2.01966387303318,2.33960369215101,1.40902030588124,0.473011363636364,3.93783057113362,8.63361229443556,0.634943181818182,5.05415082107681,10.7907074983784,0.723011363636364,6.02239215662219,13.6724573773001,2.48773523703155
TCN_DIRECT,6,175,2.38304549368154,2.74719105766498,1.66317805948055,0.471428571428571,4.53535742453018,10.1793059311341,0.634285714285714,5.82106823465165,12.7455944955222,0.728571428571429,6.93623061926348,16.2406291980084,2.9426525920973
TCN_DIRECT,7,174,2.74969651608161,3.1535930352714,1.92021028325757,0.471264367816092,5.10589579694246,11.7700256036454,0.632183908045977,6.5533463078937,14.7047041537001,0.73419540229885,7.80879376209025,18.7687778576383,3.4045377234666
TCN_BRES,1,180,0.346195081389092,0.394974836712461,0.236207369315513,0.5,0.692559131274279,1.34973920357401,0.661111111111111,0.888890021737645,1.5532167651972,0.7875,1.05917778960778,1.80584038961246,0.414646695291188
TCN_BRES,2,179,0.708102896432193,0.80524511319014,0.483839604376279,0.490223463687151,1.38878845817458,2.77814216135785,0.653631284916201,1.78249068856317,3.24327434351074,0.784916201117318,2.12396865904523,3.78784212889096,0.849312989882166
TCN_BRES,3,178,1.08369598581548,1.22976626839366,0.742143136071021,0.474719101123596,2.08344167931454,4.28100419466825,0.633426966292135,2.67406844554561,5.0309703068271,0.773876404494382,3.1863490827315,5.93065272836968,1.30370887427367
TCN_BRES,4,177,1.47120715667899,1.66880714022742,1.01138954202158,0.467514124293785,2.78172094111719,5.86997425844896,0.632768361581921,3.57030017533402,6.90867881712904,0.761299435028249,4.25427505705841,8.26176700288499,1.77821046912869
TCN_BRES,5,176,1.88073831534794,2.12878247270188,1.29569140685502,0.457386363636364,3.49737577790141,7.54438972076387,0.629261363636364,4.48883321417405,8.909628045428,0.757102272727273,5.34877468014841,10.8328377897839,2.27790301661159
TCN_BRES,6,175,2.31008336001676,2.61020301416635,1.59515855713261,0.454285714285714,4.23312520035798,9.30228192373123,0.63,5.43315737450612,11.0514849267168,0.752857142857143,6.47400632000696,13.6555965891469,2.80342988940326
TCN_BRES,7,174,2.76372322025443,3.12216945112283,1.91456492582746,0.44683908045977,4.99795715640617,11.1932161560738,0.629310344827586,6.41480856259517,13.3786981769884,0.747126436781609,7.64371585677672,16.7297409007066,3.36312956913661
